time [s],flow rate [kg],fill mass [kg],fill temperature [K],fill pressure [Pa],run temperature [K],run mass [kg],run pressure [Pa],head loss [Pa]
6.919999999999897,1.4317841257398543,77.77438204186002,288.5231876671744,4549825.088637117,286.0065212364101,22.225617958139892,4289160.416161071,0
6.929999999999897,1.4279554985479008,77.76006420060263,288.5200686877621,4549494.840103329,286.01706935932,22.23993579939729,4290228.962968488,0
6.9399999999998965,1.4241291475990212,77.74578464561715,288.5169579128369,4549165.478307251,286.0275784641012,22.25421535438277,4291293.755473502,0
6.949999999999896,1.4203050643718507,77.73154335414115,288.51385533845814,4548837.002688479,286.03804866908445,22.26845664585876,4292354.803493743,0
6.959999999999896,1.4164832403705339,77.71734030349744,288.5107609607012,4548509.412688777,286.048480091971,22.282659696502478,4293412.116799445,0
6.969999999999896,1.4126636671246493,77.70317547109373,288.50767477565705,4548182.707752054,286.05887284983623,22.296824528906182,4294465.705113638,0
6.979999999999896,1.408846336189102,77.68904883442248,288.50459677943275,4547856.88732438,286.06922705913325,22.31095116557743,4295515.5781123955,0
6.989999999999895,1.4050312391439157,77.67496037106059,288.5015269681511,4547531.950853988,286.07954283569666,22.32503962893932,4296561.745425093,0
6.999999999999895,1.4012183675940608,77.66091005866916,288.4984653379506,4547207.897791236,286.089820294746,22.33908994133076,4297604.216634624,0
7.009999999999895,1.3974077131693832,77.64689787499321,288.4954118849854,4546884.727588607,286.1000595508891,22.3531021250067,4298643.001277606,0
7.019999999999895,1.3935992675244593,77.63292379786152,288.49236660542533,4546562.439700728,286.1102607181258,22.367076202138392,4299678.108844639,0
7.0299999999998946,1.3897930223384274,77.61898780518628,288.48932949545565,4546241.033584331,286.12042390985107,22.381012194813636,4300709.548780506,0
7.039999999999894,1.3859889693147243,77.6050898749629,288.4863005512773,4545920.508698269,286.1305492388593,22.39491012503702,4301737.330484466,0
7.049999999999894,1.3821871001812602,77.59122998526975,288.4832797691064,4545600.864503481,286.1406368173464,22.408770014730166,4302761.4633103395,0
7.059999999999894,1.3783874066900443,77.57740811426794,288.48026714517493,4545282.100463051,286.1506867569142,22.42259188573198,4303781.956566873,0
