,alpha around [rad s^-2],stability [m],x position [m],theta down [rad],omega around [rad s^-1],y acceleration [m s^-2],y lift [N],heading [rad],z position [m],thrust [N],time [s],z net force [N],CD [],x velocity [m s^-1],theta around [rad],z drag [N],stability [cal],x lift [N],z velocity [m s^-1],alpha down [rad s^-2],x acceleration [m s^-2],omega down [rad s^-1],y velocity [m s^-1],x drag [N],z acceleration [m s^-2],y net force [N],z lift [N],AOA [rad],mass [kg],x net force [N],y position [m],y drag [N],CL []
0,0.0,-0.04140521717137122,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.8832524535465174,0.0,1.5707963267948966,,-1.1800486893840796,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.5707963267948966,120.244,0.0,0.0,,12.19897985773132
1,0.0,-0.04140521717137122,0.0,0.0,0.0,0.0,,0.0,0.017696318302203418,4579.0698934444445,0.05,0.0,0.8832524535465174,0.0,1.5707963267948966,,-1.1800486893840796,,0.7078527320881367,0.0,0.0,0.0,0.0,,28.314109283525468,0.0,,1.5707963267948966,120.12397814950128,0.0,0.0,,12.19897985773132
2,0.0,0.09949107017022082,0.0,0.0,0.0,0.0,0.0,0.0,0.09277581252579015,5398.054294,0.1,0.0,0.8832524535465174,0.0,1.5707963267948966,-0.007744604979507545,2.8354954998512936,0.0,2.2953270368553325,0.0,0.0,0.0,0.0,-0.0,35.18486290716236,0.0,-0.0,0.0,119.98248992579325,0.0,0.0,-0.0,0.0
3,0.0,0.09958487549584748,0.0,0.0,0.0,0.0,0.0,0.0,0.25583306877355094,6217.038694555556,0.15000000000000002,0.0,0.8832524535465174,0.0,1.5707963267948966,-0.08143280204733139,2.8381689516316535,0.0,4.2269632130551,0.0,0.0,0.0,0.0,-0.0,42.08058414082834,0.0,-0.0,0.0,119.81953532887587,0.0,0.0,-0.0,0.0
4,0.0,0.09969318732561108,0.0,0.0,0.0,0.0,0.0,0.0,0.5231411546941238,6850.946569666667,0.2,0.0,0.8832524535465174,0.0,1.5707963267948966,-0.27615963222176715,2.8412558387799156,0.0,6.465360223767814,0.0,0.0,0.0,0.0,-0.0,47.45529628768016,0.0,-0.0,0.0,119.63996539347559,0.0,0.0,-0.0,0.0
5,0.0,0.0998128846642393,0.0,0.0,0.0,0.0,0.0,0.0,0.9052226627883683,6744.5483429999995,0.25,0.0,0.8832524535465174,0.0,1.5707963267948966,-0.6460665834836898,2.84466721293082,0.0,8.817900100001964,0.0,0.0,0.0,0.0,-0.0,46.64629876168582,0.0,-0.0,0.0,119.46318425849798,0.0,0.0,-0.0,0.0
6,0.0,0.09993107455472267,0.0,0.0,0.0,0.0,0.0,0.0,1.4039166331268,6638.150116333333,0.3,0.0,0.8832524535465174,0.0,1.5707963267948966,-1.2017270259625126,2.848035624809596,0.0,11.12985871353531,0.0,0.0,0.0,0.0,-0.0,45.832045779648034,0.0,-0.0,0.0,119.28919192394305,0.0,0.0,-0.0,0.0
7,0.0,0.10004774200585198,0.0,0.0,0.0,0.0,0.0,0.0,2.0171876053905793,6531.751889666666,0.35,0.0,0.8832524535465174,0.0,1.5707963267948966,-1.9144033601556498,2.8513606471667816,0.0,13.400980177015862,0.0,0.0,0.0,0.0,-0.0,45.01281275957405,0.0,-0.0,0.0,119.1179883898108,0.0,0.0,-0.0,0.0
8,0.0,0.10016287215198785,0.0,0.0,0.0,0.0,0.0,0.0,2.742987566112176,6425.353663,0.39999999999999997,0.0,0.8832524535465174,0.0,1.5707963267948966,-2.7752431377073346,2.854641856331654,0.0,15.631018251848008,0.0,0.0,0.0,0.0,-0.0,44.188710233711795,0.0,-0.0,0.0,118.94957365610124,0.0,0.0,-0.0,0.0
9,0.0,0.10027645025746483,0.0,0.0,0.0,0.0,0.0,0.0,3.5792563284660526,6318.955436333334,0.44999999999999996,0.0,0.8832524535465174,0.0,1.5707963267948966,-3.775473223780736,2.857878832337748,0.0,17.819732242307055,0.0,0.0,0.0,0.0,-0.0,43.35984938465008,0.0,-0.0,0.0,118.78394772281435,0.0,0.0,-0.0,0.0
10,0.0,0.10038846172098706,0.0,0.0,0.0,0.0,0.0,0.0,4.52434710143913,6293.162841858695,0.49999999999999994,0.0,0.8832524535465174,0.0,1.5707963267948966,-4.906405282984766,2.861071159048131,0.0,19.983898676616022,0.0,0.0,0.0,0.0,-0.0,43.206807987708586,0.0,-0.0,0.0,118.61899783837363,0.0,0.0,-0.0,0.0
11,0.0,0.10050032686550464,0.0,0.0,0.0,0.0,0.0,0.0,5.577560212190988,6287.521655432065,0.5499999999999999,0.0,0.8832524535465174,0.0,1.5707963267948966,-6.169941784617163,2.8642593156668825,0.0,22.144625753458325,0.0,0.0,0.0,0.0,-0.0,43.22227508598358,0.0,-0.0,0.0,118.45419581488495,0.0,0.0,-0.0,0.0
12,0.0,0.10061240286439989,0.0,0.0,0.0,0.0,0.0,0.0,6.7388282458779285,6281.880469005435,0.6,0.0,0.8832524535465174,0.0,1.5707963267948966,-7.575516425275013,2.8674534816353967,0.0,24.306095594019286,0.0,0.0,0.0,0.0,-0.0,43.23651853645482,0.0,-0.0,0.0,118.28954165234833,0.0,0.0,-0.0,0.0
