Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
16.4000,216.650,9658.61,0.155308,295.070,0.0000143226
16.5000,216.650,9507.50,0.152878,295.070,0.0000143226
16.6000,216.650,9358.76,0.150487,295.070,0.0000143226
16.7000,216.650,9212.34,0.148132,295.070,0.0000143226
16.8000,216.650,9068.21,0.145815,295.070,0.0000143226
16.9000,216.650,8926.34,0.143533,295.070,0.0000143226
17.0000,216.650,8786.68,0.141288,295.070,0.0000143226
17.1000,216.650,8649.21,0.139077,295.070,0.0000143226
17.2000,216.650,8513.89,0.136901,295.070,0.0000143226
17.3000,216.650,8380.69,0.134759,295.070,0.0000143226
17.4000,216.650,8249.58,0.132651,295.070,0.0000143226
17.5000,216.650,8120.51,0.130576,295.070,0.0000143226
17.6000,216.650,7993.46,0.128533,295.070,0.0000143226
17.7000,216.650,7868.40,0.126522,295.070,0.0000143226
17.8000,216.650,7745.30,0.124543,295.070,0.0000143226
17.9000,216.650,7624.13,0.122594,295.070,0.0000143226
18.0000,216.650,7504.84,0.120676,295.070,0.0000143226
18.1000,216.650,7387.43,0.118788,295.070,0.0000143226
18.2000,216.650,7271.85,0.116930,295.070,0.0000143226
18.3000,216.650,7158.08,0.115100,295.070,0.0000143226
18.4000,216.650,7046.09,0.113299,295.070,0.0000143226
18.5000,216.650,6935.86,0.111527,295.070,0.0000143226
18.6000,216.650,6827.34,0.109782,295.070,0.0000143226
18.7000,216.650,6720.53,0.108064,295.070,0.0000143226
18.8000,216.650,6615.39,0.106374,295.070,0.0000143226
18.9000,216.650,6511.89,0.104710,295.070,0.0000143226
19.0000,216.650,6410.01,0.103071,295.070,0.0000143226
19.1000,216.650,6309.72,0.101459,295.070,0.0000143226
19.2000,216.650,6211.00,0.0998714,295.070,0.0000143226
19.3000,216.650,6113.83,0.0983089,295.070,0.0000143226
19.4000,216.650,6018.18,0.0967709,295.070,0.0000143226
19.5000,216.650,5924.03,0.0952569,295.070,0.0000143226
19.6000,216.650,5831.34,0.0937666,295.070,0.0000143226
