index,speed
69706,-0.15840384
69707,-0.2223939
69708,-0.25148275
69709,-0.27289343
69710,-0.2818703
69711,-0.23107347
69712,-0.1771305
69713,-0.17868188
69714,0.027350584
69715,-0.04948737
69716,-0.22289267
69717,-0.07741991
69718,-0.14858137
69719,-0.05196027
69720,-0.069200836
69721,-0.008886803
69722,0.16209084
69723,0.15031317
69724,-0.3128818
69725,-0.27297547
69726,-0.2739396
69727,-0.32755044
69728,-0.67238927
69729,-0.43668187
69730,-0.32115534
69731,-0.30235526
69732,-0.5383666
69733,-0.6611488
69734,-0.6887148
69735,-0.55674183
69736,-0.33572608
69737,-0.41910526
69738,-0.059317164
69739,-0.1506702
69740,-0.12565488
69741,0.059054855
69742,0.152096
69743,0.074134886
69744,-0.07551148
69745,-0.026656387
69746,0.027866874
69747,0.035669655
69748,0.08210119
69749,0.0768929
69750,0.08096482
69751,0.09761111
69752,0.08961823
69753,0.04889253
69754,0.19991729
69755,0.13912117
69756,0.23423618
69757,0.32435936
69758,0.46086568
69759,0.52388597
69760,0.41685486
69761,0.25573018
69762,0.29002446
69763,0.26336524
69764,0.15764779
69765,0.22177598
69766,0.30171195
69767,0.20409411
69768,0.43013412
69769,0.32573602
69770,0.2694842
69771,0.090249196
69772,0.13847727
69773,0.3661466
69774,0.29136452
69775,0.32536897
69776,0.17537493
69777,0.2766491
69778,0.1783501
69779,0.16613881
69780,0.23005159
69781,0.18837866
69782,0.14003924
69783,-0.04874351
69784,-0.07672681
69785,0.13432623
69786,0.08786104
69787,0.005047824
69788,-0.06490424
69789,-0.06729003
69790,0.068814255
69791,0.20584567
69792,0.24708381
69793,0.16687682
69794,0.1766733
69795,0.011118132
69796,-0.2223941
69797,-0.17200187
69798,0.09678299
69799,0.11077307
69800,0.14313862
69801,0.15110959
69802,0.25398192
69803,0.28055465
69804,0.29919606
69805,0.6547482
69806,0.89241004
69807,0.7468626
69808,0.5771251
69809,0.6074904
69810,0.3680825
69811,0.07128393
69812,0.24197589
69813,0.3084856
69814,0.2278506
69815,0.4068469
69816,0.47728837
69817,0.23895434
69818,0.21092674
69819,0.31343418
69820,0.51668626
69821,0.49673113
69822,0.52591544
69823,0.4601545
69824,0.42314306
