,time,altitude,velocity,mach,acceleration,drag,thrust,CP,CG,custom CG,RASAero CP
0,0.0,0.0,0.0,0.04868369291748129,7.746779826831814,4.9580435139941925e-05,234.98543388474357,,3.0696520785556785,2.8990730467323607,4.422165024215356
1,0.01,0.0,0.0,0.04914443981107665,4.947872448976297,5.050529134212977e-05,556.9868864767133,,3.0696520785556785,2.899477334293411,4.422165024215356
2,0.02,0.0,0.0,0.049605186704672,3.1086570505379107,5.143834913047289e-05,1483.6496872059017,,3.070062093926843,2.900100684396116,4.422165024215356
3,0.03,0.0001555276535064523,0.031116127978366156,0.05006759518281658,12.69332167532369,7.053762446190755e-05,2585.4588218888503,,3.0708819213493226,2.900830483393985,4.422165024215356
4,0.04,0.001101418651966625,0.15810087617241972,0.050536816570867324,20.082195967767348,0.00018889214224708357,3434.2198668174806,,3.071701477492239,2.9015154901176867,4.422165024215356
5,0.05,0.0036864217104385375,0.35899131298526255,0.051016438940144154,25.701556277460256,0.0005602093101801649,4079.1352476944758,,3.0725207621316533,2.9021631839790274,4.422165024215356
6,0.060000000000000005,0.008561003789959238,0.6160882375847704,0.05069745610494917,29.831514276485798,0.0014867897154771537,4552.558842080573,,3.0733397750433835,2.902778493445344,4.422165024215356
7,0.07,0.01621267250973145,0.9144941980237391,0.05039831619352835,32.96681213884581,0.003432790916745938,4911.464177526198,,3.074158516002998,2.903371559970713,4.422165024215356
8,0.08,0.02700472130000566,1.2442602904102924,0.05012301454779656,35.18038824630081,0.006999896352265506,5164.322453278007,,3.07497698478582,2.9039435886340104,4.422165024215356
9,0.09,0.04120467388988479,1.5961814920681303,0.04987423972274047,36.84200388319529,0.01285668320434727,5353.46868878781,,3.075908744633522,2.904502697771186,4.422165024215356
10,0.09999999999999999,0.05900645326830571,1.9647379764202377,0.04965424592019778,38.03035901589459,0.02172816581435656,5487.973236586773,,3.0769536659486576,2.905050548671645,4.422165024215356
11,0.10999999999999999,0.08055266476320105,2.345181384036153,0.049073214111129554,38.894030351039554,0.034502630820752576,5585.136952870894,,3.077998141711023,2.905590547536496,4.422165024215356
12,0.11999999999999998,0.1059459240461529,2.734263893704298,0.04852626164795308,39.521621098382944,0.051908836213994974,5655.161169996262,,3.079042171449669,2.906124716736958,4.422165024215356
13,0.12999999999999998,0.13526080399590876,3.1296239744707393,0.04801489439993976,39.96552144057878,0.07471057747344241,5704.081394036446,,3.0800857546929854,2.906654246796356,4.422165024215356
14,0.13999999999999999,0.1685508854707237,3.5294241518786715,0.0475403273723099,40.29443608513821,0.10363419251805533,5739.794300168068,,3.0811288909686954,2.9071807600202915,4.422165024215356
15,0.15,0.2058548128783222,3.9325142008385785,0.047103751211750054,40.52198048146437,0.13938320659487047,5763.874334618816,,3.0821715798038563,2.907704528296207,4.422165024215356
16,0.16,0.2472004111544465,4.337880158794634,0.04728915440118596,40.691092462934215,0.18095612592417254,5781.2500663616665,,3.0832138207248585,2.908226596946237,4.422165024215356
17,0.17,0.2926075139190328,4.7449374753438835,0.0475052429505411,40.811421060380404,0.22970264498134185,5793.034554551177,,3.084255613257422,2.908747162354018,4.422165024215356
18,0.18000000000000002,0.3420905927798966,5.1531981568209195,0.04775149577808465,40.89909493159658,0.2859911931482561,5801.079847224108,,3.085296956926598,2.9092666166333903,4.422165024215356
19,0.19000000000000003,0.3956600357039244,5.562332808355198,0.048027369017526966,40.96306610505967,0.3501475729166303,5806.45194600677,,3.0863187665936795,2.909785177120363,4.422165024215356
20,0.20000000000000004,0.45332339575807257,5.972104310732139,0.04833228327971888,41.00872310277377,0.42245506786815706,5809.770336707854,,3.0873210660881094,2.9103029553359905,4.422165024215356
21,0.21000000000000005,0.5150861360035672,6.38233231388997,0.04903705509340987,41.04322092922514,0.5003059816029481,5811.814969028743,,3.0883229477401013,2.910820140265043,4.422165024215356
22,0.22000000000000006,0.5809522624656052,6.792905103655881,0.049762743255286526,41.06791908222143,0.5858935641886981,5812.744707740419,,3.0893244111227105,2.911336719698128,4.422165024215356
23,0.23000000000000007,0.6509247324515991,7.203724649868775,0.05050839450942833,41.08696813093938,0.6793486522751119,5813.035008954496,,3.0903254558084114,2.9118528354283284,4.422165024215356
24,0.24000000000000007,0.7250057306607085,7.614734440853268,0.051273114653215775,41.10326502537152,0.7807511843182048,5813.0174609837195,,3.0913260813690973,2.9119856538654574,4.422165024215356
25,0.25000000000000006,0.8031970216278327,8.025906944728154,0.052056064612025166,41.11937413251512,0.8901596265257862,5812.985209645679,,3.0923262873760744,2.912075898706778,4.422165024215356
26,0.26000000000000006,0.8855002213790578,8.437239834825315,0.05212175266435335,41.135334930252135,1.0181618558981278,5812.953370278704,,3.0933260734000663,2.9121661392805818,4.422165024215356
27,0.2700000000000001,0.9719169272477642,8.848731973999842,0.05222113583743721,41.151219720357204,1.1564918683685432,5812.921943042831,,3.09432543901121,2.912256375586195,4.422165024215356
28,0.2800000000000001,1.06244872766776,9.260382597178594,0.05235405298571071,41.15476807779857,1.305245818621417,5811.492729190332,,3.0953243837790554,2.9127290490322735,4.422165024215356
29,0.2900000000000001,1.1570965903677728,9.672068304054074,0.05252008173578651,41.15686837242436,1.4644299688000653,5809.908572290939,,3.096322907272564,2.9132440834186544,4.422165024215356
30,0.3000000000000001,1.2558607937215096,10.08377460952115,0.05271889205023982,41.15888226673703,1.6340388313290757,5808.324827806641,,3.0973210090601113,2.913758978382115,4.422165024215356
