Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,3.2722e-4,0.065446,6.5453,0.065446,6.5453,0,0,0,0,0,0,32,-106,9.7911,89.076,0,0,0,120097,59990,243.65,0.77316,NaN,347.22,NaN,0.012096,1397462,1961.9,2.2002e-6,0.72491,7.5667e-6,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0944e-6,20.32,324.29,90,0,4.0587,7.0765,875.45,335.59,0.01,0.01692
0.02,0.0022087,0.31087,24.545,0.31087,24.545,0,0,0,0,0,0,32,-106,9.7911,85.588,0,0,0,120075,59968,243.62,0.77307,NaN,347.22,NaN,0.012042,1391267,4122.9,2.2893e-4,0.72491,7.9435e-4,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8449e-5,20.32,324.29,90,0,4.0293,7.0765,875.45,335.59,0.01,0.017412
0.03,0.0067837,0.60415,29.332,0.60415,29.332,0,0,0,0,0,0,32,-106,9.7911,81.411,0,0,0,120050,59943,243.6,0.77297,NaN,347.22,NaN,0.012054,1392626,4696.7,0.0016166,0.72491,0.0055983,0.59772,0.0071667,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4722e-5,20.32,324.29,90,0,3.9998,7.0765,875.45,335.59,0.01,0.017759
0.04,0.014542,0.94759,34.349,0.94759,34.349,0,0,0,0,0,0,32,-106,9.7911,76.577,0,0,0,120023,59916,243.57,0.77286,NaN,347.21,NaN,0.012163,1405260,5297.9,0.0059407,0.72491,0.020205,0.59772,0.0071668,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.172e-4,20.32,324.29,90,0,3.9704,7.0764,875.45,335.59,0.01,0.018088
0.05,0.025895,1.3229,37.535,1.3229,37.535,0,0,0,0,0,0,32,-106,9.7911,71.444,0,0,0,119993,59886,243.54,0.77274,NaN,347.21,NaN,0.012387,1431130,5678.8,0.01528,0.72491,0.050106,0.59772,0.007167,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6362e-4,20.32,324.29,90,0,3.9409,7.0763,875.45,335.59,0.01,0.018417
0.06,0.041116,1.7214,39.86,1.7214,39.86,0,0,0,0,0,0,32,-106,9.7911,66.448,0,0,0,119962,59855,243.5,0.77261,NaN,347.21,NaN,0.012837,1483090,5956.3,0.031428,0.72491,0.095964,0.59772,0.0071674,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1291e-4,20.32,324.29,90,0,3.9491,7.0762,875.45,335.59,0.01,0.019181
0.07,0.06041,2.1375,41.614,2.1375,41.614,0,0,0,0,0,0,32,-106,9.7911,61.625,0,0,0,119929,59822,243.47,0.77248,NaN,347.21,NaN,0.013402,1548382,6165,0.055989,0.72491,0.15684,0.59772,0.0071678,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6437e-4,20.32,324.29,90,0,3.9573,7.0761,875.44,335.59,0.01,0.019558
0.08,0.08393,2.5664,42.9,2.5664,42.9,0,0,0,0,0,0,32,-106,9.7911,57.089,0,0,0,119896,59789,243.43,0.77235,NaN,347.21,NaN,0.014075,1626122,6317.6,0.090012,0.72491,0.22862,0.59772,0.0071684,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1742e-4,20.32,324.29,90,0,3.9654,7.076,875.44,335.59,0.01,0.019892
0.09,0.11179,3.0055,43.916,3.0055,43.916,0,0,0,0,0,0,32,-106,9.7911,52.897,0,0,0,119862,59755,243.39,0.77221,NaN,347.2,NaN,0.014846,1715196,6437.6,0.13415,0.72491,0.30626,0.59772,0.0071692,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7172e-4,20.32,324.29,90,0,3.9736,7.0758,875.44,335.59,0.01,0.020224
0.1,0.14408,3.4527,44.731,3.4527,44.731,0,0,0,0,0,0,32,-106,9.7911,49.07,0,0,0,119828,59721,243.36,0.77207,NaN,347.2,NaN,0.015705,1814358,6533.5,0.18872,0.72492,0.38503,0.59771,0.00717,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2704e-4,20.32,324.29,90,0,3.9817,7.0756,875.44,335.59,0.01,0.02058
0.11,0.18088,3.9066,45.395,3.9066,45.395,0,0,0,0,0,0,32,-106,9.7911,46.315,0,0,0,119793,59686,243.32,0.77193,NaN,347.2,NaN,0.016854,1947164,6611.1,0.25137,0.72492,0.44527,0.59771,0.0071712,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8317e-4,20.32,324.29,90,0,4.0901,7.0753,875.43,335.59,0.01,0.020922
0.12,0.22224,4.3659,45.939,4.3659,45.939,0,0,0,0,0,0,32,-106,9.7911,43.88,0,0,0,119758,59651,243.28,0.77179,NaN,347.2,NaN,0.018049,2085243,6674.5,0.32382,0.72492,0.50016,0.59771,0.0071726,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3998e-4,20.32,324.29,90,0,4.1986,7.0751,875.43,335.59,0.01,0.021317
0.13,0.26822,4.8308,46.491,4.8308,46.491,0,0,0,0,0,0,32,-106,9.7911,41.719,0,0,0,119723,59616,243.24,0.77165,NaN,347.2,NaN,0.019285,2228030,6738.6,0.40623,0.72493,0.54961,0.59771,0.0071741,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9747e-4,20.32,324.29,90,0,4.307,7.0748,875.42,335.59,0.01,0.021657
0.14,0.31888,5.3003,46.967,5.3003,46.967,0,0,0,0,0,0,32,-106,9.7911,39.795,0,0,0,119687,59580,243.2,0.7715,NaN,347.19,NaN,0.020557,2374860,6793.7,0.49859,0.72493,0.59373,0.5977,0.0071758,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5555e-4,20.32,324.29,90,0,4.4154,7.0744,875.42,335.59,0.01,0.022025
0.15,0.37424,5.7731,47.28,5.7731,47.28,0,0,0,0,0,0,32,-106,9.7911,38.082,0,0,0,119651,59544,243.17,0.77136,NaN,347.19,NaN,0.021855,2524900,6829.3,0.60062,0.72494,0.63274,0.5977,0.0071776,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1402e-4,20.32,324.29,90,0,4.5238,7.0741,875.41,335.59,0.01,0.022471
0.16,0.43434,6.2455,47.252,6.2455,47.252,0,0,0,0,0,0,32,-106,9.7911,36.105,0,0,0,119616,59509,243.13,0.77121,NaN,347.19,NaN,0.023035,2661154,6824,0.71388,0.72494,0.67701,0.5977,0.0071793,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7245e-4,20.32,324.29,90,0,4.5551,7.0737,875.4,335.59,0.01,0.022898
0.17,0.49915,6.7175,47.205,6.7175,47.205,0,0,0,0,0,0,32,-106,9.7911,34.324,0,0,0,119580,59473,243.09,0.77107,NaN,347.19,NaN,0.024238,2800129,6816.4,0.83564,0.72495,0.71577,0.59769,0.0071812,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3083e-4,20.32,324.29,90,0,4.5865,7.0733,875.4,335.59,0.01,0.023264
0.18,0.5687,7.1917,47.432,7.1917,47.432,0,0,0,0,0,0,32,-106,9.7911,32.705,0,0,0,119544,59437,243.05,0.77092,NaN,347.19,NaN,0.025468,2942208,6841.7,0.96638,0.72496,0.74974,0.59769,0.0071832,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8948e-4,20.32,324.29,90,0,4.6179,7.0728,875.39,335.59,0.01,0.023638
0.19,0.643,7.6679,47.624,7.6679,47.624,0,0,0,0,0,0,32,-106,9.7911,31.23,0,0,0,119508,59401,243.01,0.77078,NaN,347.18,NaN,0.026721,3086981,6862.7,1.1058,0.72496,0.77935,0.59769,0.0071853,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4837e-4,20.32,324.29,90,0,4.6493,7.0723,875.38,335.58,0.01,0.02401
0.2,0.72205,8.1434,47.558,8.1434,47.558,0,0,0,0,0,0,32,-106,9.7911,29.889,0,0,0,119472,59365,242.97,0.77063,NaN,347.18,NaN,0.027989,3233418,6852.9,1.2531,0.72497,0.80492,0.59768,0.0071876,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010072,20.32,324.29,90,0,4.6807,7.0718,875.37,335.58,0.01,0.02448
0.21,0.80586,8.6187,47.542,8.6187,47.542,0,0,0,0,0,0,32,-106,9.7911,28.368,0,0,0,119436,59329,242.93,0.77049,NaN,347.18,NaN,0.029188,3371878,6849.1,1.4088,0.72498,0.83214,0.59768,0.0071898,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001066,20.32,324.29,90,0,4.654,7.0713,875.36,335.58,0.01,0.024932
0.22,0.89443,9.0941,47.55,9.0941,47.55,0,0,0,0,0,0,32,-106,9.7911,26.968,0,0,0,119400,59293,242.89,0.77034,NaN,347.18,NaN,0.030406,3512545,6848.1,1.5712,0.72499,0.85526,0.59767,0.0071922,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011248,20.32,324.29,90,0,4.6273,7.0707,875.36,335.58,0.01,0.025402
0.23,0.98773,9.5669,47.279,9.5669,47.279,0,0,0,0,0,0,32,-106,9.7911,25.683,0,0,0,119364,59257,242.86,0.7702,NaN,347.18,NaN,0.031633,3654305,6813.8,1.7391,0.72499,0.87461,0.59767,0.0071947,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011832,20.32,324.29,90,0,4.6006,7.0701,875.35,335.58,0.01,0.025814
0.24,1.0858,10.037,47.016,10.037,47.016,0,0,0,0,0,0,32,-106,9.7911,24.499,0,0,0,119329,59222,242.82,0.77005,NaN,347.17,NaN,0.032868,3796941,6780.7,1.912,0.725,0.89068,0.59766,0.0071973,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012414,20.32,324.29,90,0,4.574,7.0694,875.33,335.58,0.01,0.026262
0.25,1.1885,10.504,46.763,10.504,46.763,0,0,0,0,0,0,32,-106,9.7911,23.407,0,0,0,119293,59186,242.78,0.76991,NaN,347.17,NaN,0.034109,3940276,6748.7,2.0896,0.72501,0.90388,0.59766,0.0072,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012992,20.32,324.29,90,0,4.5473,7.0688,875.32,335.58,0.01,0.026697
0.26,1.2958,10.97,46.519,10.97,46.519,0,0,0,0,0,0,32,-106,9.7911,22.814,0,0,0,119258,59151,242.74,0.76977,NaN,347.17,NaN,0.035463,4096579,6717.7,2.2749,0.72502,0.91034,0.59765,0.0072031,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013567,20.32,324.29,90,0,4.6145,7.0681,875.31,335.58,0.01,0.027073
0.27,1.4078,11.432,46.283,11.432,46.283,0,0,0,0,0,0,32,-106,9.7911,22.269,0,0,0,119223,59116,242.7,0.76962,NaN,347.17,NaN,0.036813,4252533,6687.8,2.4662,0.72503,0.91583,0.59765,0.0072062,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001414,20.32,324.29,90,0,4.6816,7.0673,875.3,335.58,0.01,0.027453
0.28,1.5245,11.893,46.056,11.893,46.056,0,0,0,0,0,0,32,-106,9.7911,21.767,0,0,0,119188,59081,242.67,0.76948,NaN,347.17,NaN,0.03816,4408114,6658.9,2.6634,0.72504,0.92049,0.59764,0.0072096,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014709,20.32,324.29,90,0,4.7488,7.0666,875.29,335.58,0.01,0.027833
0.29,1.6457,12.351,45.837,12.351,45.837,0,0,0,0,0,0,32,-106,9.7911,21.302,0,0,0,119153,59046,242.63,0.76934,NaN,347.16,NaN,0.039504,4563304,6631.1,2.8665,0.72505,0.92443,0.59763,0.007213,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015276,20.32,324.29,90,0,4.816,7.0658,875.28,335.58,0.01,0.028176
0.3,1.7715,12.807,45.625,12.807,45.625,0,0,0,0,0,0,32,-106,9.7911,20.871,0,0,0,119119,59012,242.59,0.7692,NaN,347.16,NaN,0.040845,4718090,6604.2,3.0754,0.72506,0.92778,0.59763,0.0072165,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001584,20.32,324.29,90,0,4.8832,7.065,875.26,335.58,0.01,0.028515
0.31,1.9018,13.261,45.422,13.261,45.422,0,0,0,0,0,0,32,-106,9.7911,20.369,0,0,0,119084,58977,242.55,0.76906,NaN,347.16,NaN,0.042154,4869272,6578.3,3.288,0.72507,0.93128,0.59762,0.00722,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016402,20.32,324.29,90,0,4.9238,7.0641,875.25,335.58,0.01,0.028851
0.32,2.0367,13.714,45.215,13.714,45.215,0,0,0,0,0,0,32,-106,9.7911,19.9,0,0,0,119050,58943,242.52,0.76892,NaN,347.16,NaN,0.043461,5020129,6551.9,3.5057,0.72508,0.93415,0.59762,0.0072237,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016961,20.32,324.29,90,0,4.9644,7.0633,875.23,335.58,0.01,0.029181
0.33,2.1761,14.165,45.141,14.165,45.141,0,0,0,0,0,0,32,-106,9.7911,19.46,0,0,0,119015,58908,242.48,0.76878,NaN,347.16,NaN,0.044768,5171056,6541.4,3.729,0.7251,0.93649,0.59761,0.0072275,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017519,20.32,324.29,90,0,5.0049,7.0624,875.22,335.58,0.01,0.029524
0.34,2.32,14.616,45.073,14.616,45.073,0,0,0,0,0,0,32,-106,9.7911,19.045,0,0,0,118981,58874,242.44,0.76864,NaN,347.15,NaN,0.046076,5322047,6531.7,3.9579,0.72511,0.93836,0.5976,0.0072314,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018077,20.32,324.29,90,0,5.0455,7.0614,875.2,335.58,0.01,0.029858
0.35,2.4684,15.064,44.897,15.064,44.897,0,0,0,0,0,0,32,-106,9.7911,18.656,0,0,0,118947,58840,242.4,0.76851,NaN,347.15,NaN,0.047381,5472721,6509.1,4.1918,0.72512,0.93983,0.59759,0.0072354,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018632,20.32,324.29,90,0,5.0861,7.0605,875.19,335.58,0.01,0.03029
0.36,2.6213,15.512,44.727,15.512,44.727,0,0,0,0,0,0,32,-106,9.7911,18.162,0,0,0,118913,58806,242.37,0.76837,NaN,347.15,NaN,0.048647,5618964,6487.4,4.4256,0.72513,0.94127,0.59759,0.0072393,0.12031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019185,20.32,324.29,90,0,5.0885,7.0595,875.17,335.58,0.01,0.030764
0.37,2.7786,15.957,44.554,15.957,44.554,0,0,0,0,0,0,32,-106,9.7911,17.695,0,0,0,118879,58772,242.33,0.76823,NaN,347.15,NaN,0.049913,5765030,6465.1,4.6633,0.72515,0.94219,0.59758,0.0072434,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019736,20.32,324.29,90,0,5.0909,7.0584,875.15,335.58,0.01,0.03199
0.38,2.9404,16.401,44.397,16.401,44.397,0,0,0,0,0,0,32,-106,9.7911,17.252,0,0,0,118845,58738,242.29,0.76809,NaN,347.14,NaN,0.051177,5910940,6444.9,4.9047,0.72516,0.94264,0.59757,0.0072476,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020285,20.32,324.29,90,0,5.0933,7.0574,875.14,335.58,0.01,0.032523
0.39,3.1066,16.843,44.247,16.843,44.247,0,0,0,0,0,0,32,-106,9.7911,16.832,0,0,0,118811,58704,242.26,0.76796,NaN,347.14,NaN,0.052439,6056685,6425.5,5.1497,0.72517,0.94266,0.59756,0.0072519,0.12036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020832,20.32,324.29,90,0,5.0957,7.0563,875.12,335.58,0.01,0.033011
0.4,3.2773,17.284,44.093,17.284,44.093,0,0,0,0,0,0,32,-106,9.7911,16.434,0,0,0,118778,58671,242.22,0.76782,NaN,347.14,NaN,0.0537,6202225,6405.6,5.3967,0.72519,0.94203,0.59756,0.0072563,0.12037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021377,20.32,324.29,90,0,5.0981,7.0552,875.1,335.57,0.01,0.033472
0.41,3.4523,17.724,43.944,17.724,43.944,0,0,0,0,0,0,32,-106,9.7911,16.151,0,0,0,118744,58637,242.19,0.76768,NaN,347.14,NaN,0.054986,6350652,6386.4,5.653,0.7252,0.94119,0.59755,0.0072608,0.12039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021921,20.32,324.29,90,0,5.1329,7.0541,875.08,335.57,0.01,0.033934
0.42,3.6317,18.162,43.812,18.162,43.812,0,0,0,0,0,0,32,-106,9.7911,15.883,0,0,0,118711,58604,242.15,0.76755,NaN,347.14,NaN,0.05627,6498782,6369.2,5.913,0.72522,0.94009,0.59754,0.0072655,0.12041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022463,20.32,324.29,90,0,5.1677,7.0529,875.06,335.57,0.01,0.034393
0.43,3.8155,18.599,43.685,18.599,43.685,0,0,0,0,0,0,32,-106,9.7911,15.628,0,0,0,118677,58570,242.11,0.76741,NaN,347.14,NaN,0.057551,6646621,6352.6,6.1765,0.72523,0.93878,0.59753,0.0072703,0.12043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023003,20.32,324.29,90,0,5.2026,7.0517,875.04,335.57,0.01,0.034849
0.44,4.0037,19.034,43.554,19.034,43.554,0,0,0,0,0,0,32,-106,9.7911,15.385,0,0,0,118644,58537,242.08,0.76728,NaN,347.13,NaN,0.058829,6794143,6335.5,6.4437,0.72525,0.9373,0.59752,0.0072752,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023541,20.32,324.29,90,0,5.2374,7.0505,875.02,335.57,0.01,0.035284
0.45,4.1962,19.468,43.427,19.468,43.427,0,0,0,0,0,0,32,-106,9.7911,15.153,0,0,0,118611,58504,242.04,0.76715,NaN,347.13,NaN,0.060105,6941355,6319,6.7145,0.72526,0.93569,0.59751,0.0072801,0.12047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024079,20.32,324.29,90,0,5.2723,7.0492,875,335.57,0.01,0.035728
0.46,4.3931,19.901,43.316,19.901,43.316,0,0,0,0,0,0,32,-106,9.7911,14.762,0,0,0,118578,58471,242.01,0.76701,NaN,347.13,NaN,0.06133,7082742,6304.3,6.9673,0.72528,0.93254,0.5975,0.007285,0.12049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024614,20.32,324.29,90,0,5.2441,7.0479,874.98,335.57,0.01,0.036185
0.47,4.5942,20.333,43.21,20.333,43.21,0,0,0,0,0,0,32,-106,9.7911,14.387,0,0,0,118545,58438,241.97,0.76688,NaN,347.13,NaN,0.062555,7224084,6290.2,7.2211,0.72529,0.92904,0.59749,0.00729,0.12051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025149,20.32,324.29,90,0,5.2159,7.0466,874.96,335.57,0.01,0.036654
0.48,4.7997,20.764,43.098,20.764,43.098,0,0,0,0,0,0,32,-106,9.7911,14.028,0,0,0,118512,58405,241.93,0.76674,NaN,347.13,NaN,0.06378,7365344,6275.5,7.4758,0.72531,0.92527,0.59749,0.0072951,0.12053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025681,20.32,324.29,90,0,5.1877,7.0453,874.94,335.57,0.01,0.037139
0.49,5.0095,21.194,42.992,21.194,42.992,0,0,0,0,0,0,32,-106,9.7911,13.682,0,0,0,118479,58372,241.9,0.76661,NaN,347.12,NaN,0.065004,7506520,6261.4,7.7319,0.72533,0.92129,0.59748,0.0073002,0.12055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026213,20.32,324.29,90,0,5.1596,7.0439,874.92,335.57,0.01,0.03776
0.5,5.2236,21.623,42.899,21.623,42.899,0,0,0,0,0,0,32,-106,9.7911,13.35,0,0,0,118446,58339,241.86,0.76648,NaN,347.12,NaN,0.066227,7647640,6248.9,7.9894,0.72534,0.91716,0.59747,0.0073055,0.12057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026744,20.32,324.29,90,0,5.1314,7.0425,874.89,335.57,0.01,0.038337
0.51,5.442,22.051,42.81,22.051,42.81,0,0,0,0,0,0,32,-106,9.7911,12.941,0,0,0,118414,58307,241.83,0.76635,NaN,347.12,NaN,0.067426,7785901,6236.9,8.2315,0.72536,0.91167,0.59746,0.0073108,0.12059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027273,20.32,324.29,90,0,5.0669,7.0411,874.87,335.57,0.01,0.03874
0.52,5.6646,22.479,42.828,22.479,42.828,0,0,0,0,0,0,32,-106,9.7911,12.546,0,0,0,118381,58274,241.79,0.76621,NaN,347.12,NaN,0.068628,7924598,6237.6,8.4745,0.72538,0.906,0.59745,0.0073161,0.12061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027803,20.32,324.29,90,0,5.0025,7.0397,874.85,335.56,0.01,0.039073
0.53,5.8915,22.908,42.849,22.908,42.849,0,0,0,0,0,0,32,-106,9.7911,12.165,0,0,0,118348,58241,241.76,0.76608,NaN,347.12,NaN,0.069834,8063722,6238.6,8.7187,0.72539,0.90021,0.59744,0.0073216,0.12063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028333,20.32,324.29,90,0,4.9381,7.0382,874.82,335.56,0.01,0.039567
0.54,6.1228,23.335,42.761,23.335,42.761,0,0,0,0,0,0,32,-106,9.7911,11.797,0,0,0,118315,58209,241.72,0.76595,NaN,347.11,NaN,0.071041,8202887,6226.7,8.9636,0.72541,0.89435,0.59743,0.0073272,0.12066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028861,20.32,324.29,90,0,4.8737,7.0367,874.8,335.56,0.01,0.039894
0.55,6.3582,23.762,42.677,23.762,42.677,0,0,0,0,0,0,32,-106,9.7911,11.442,0,0,0,118283,58176,241.69,0.76582,NaN,347.11,NaN,0.072248,8342088,6215.3,9.2096,0.72543,0.88848,0.59742,0.0073329,0.12068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029389,20.32,324.29,90,0,4.8093,7.0352,874.77,335.56,0.01,0.040222
0.56,6.598,24.188,42.605,24.188,42.605,0,0,0,0,0,0,32,-106,9.7911,11.28,0,0,0,118250,58143,241.65,0.76568,NaN,347.11,NaN,0.073502,8486663,6205.4,9.5025,0.72545,0.88575,0.59741,0.0073389,0.1207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029916,20.32,324.29,90,0,4.8245,7.0336,874.75,335.56,0.01,0.040546
0.57,6.842,24.613,42.536,24.613,42.536,0,0,0,0,0,0,32,-106,9.7911,11.124,0,0,0,118218,58111,241.62,0.76555,NaN,347.11,NaN,0.074754,8631064,6195.8,9.7991,0.72547,0.88308,0.59739,0.007345,0.12073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030442,20.32,324.29,90,0,4.8397,7.032,874.72,335.56,0.01,0.040874
0.58,7.0903,25.038,42.462,25.038,42.462,0,0,0,0,0,0,32,-106,9.7911,10.974,0,0,0,118185,58078,241.58,0.76542,NaN,347.11,NaN,0.076005,8775268,6185.7,10.1,0.72549,0.88047,0.59738,0.0073512,0.12075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030967,20.32,324.29,90,0,4.8549,7.0304,874.7,335.56,0.01,0.041198
0.59,7.3428,25.462,42.391,25.462,42.391,0,0,0,0,0,0,32,-106,9.7911,10.828,0,0,0,118153,58046,241.55,0.76529,NaN,347.1,NaN,0.077254,8919281,6175.9,10.404,0.7255,0.87792,0.59737,0.0073574,0.12078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031491,20.32,324.29,90,0,4.8701,7.0288,874.67,335.56,0.01,0.041525
0.6,7.5995,25.885,42.324,25.885,42.324,0,0,0,0,0,0,32,-106,9.7911,10.688,0,0,0,118121,58014,241.51,0.76516,NaN,347.1,NaN,0.078502,9063113,6166.5,10.712,0.72552,0.87544,0.59736,0.0073638,0.1208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032015,20.32,324.29,90,0,4.8853,7.0271,874.64,335.56,0.01,0.041849
0.61,7.8604,26.307,42.259,26.307,42.259,0,0,0,0,0,0,32,-106,9.7911,10.344,0,0,0,118088,57981,241.48,0.76503,NaN,347.1,NaN,0.079695,9200619,6157.5,10.961,0.72554,0.86924,0.59735,0.00737,0.12083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032537,20.32,324.29,90,0,4.8019,7.0254,874.61,335.56,0.01,0.042174
0.62,8.1256,26.729,42.198,26.729,42.198,0,0,0,0,0,0,32,-106,9.7911,10.011,0,0,0,118056,57949,241.44,0.7649,NaN,347.1,NaN,0.080889,9338230,6148.8,11.212,0.72556,0.86312,0.59734,0.0073763,0.12085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033059,20.32,324.29,90,0,4.7185,7.0237,874.59,335.56,0.01,0.042501
0.63,8.395,27.151,42.139,27.151,42.139,0,0,0,0,0,0,32,-106,9.7911,9.6881,0,0,0,118024,57917,241.41,0.76477,NaN,347.1,NaN,0.082084,9475940,6140.5,11.465,0.72558,0.85709,0.59733,0.0073827,0.12088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003358,20.32,324.29,90,0,4.6352,7.0219,874.56,335.55,0.01,0.042829
0.64,8.6686,27.572,42.092,27.572,42.092,0,0,0,0,0,0,32,-106,9.7911,9.3744,0,0,0,117992,57885,241.37,0.76464,NaN,347.09,NaN,0.08328,9613772,6133.5,11.72,0.7256,0.85118,0.59731,0.0073892,0.1209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034101,20.32,324.29,90,0,4.5518,7.0202,874.53,335.55,0.01,0.04315
