Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
2.69,0,0.8969389814,0.8969389814,0.8471492635,0.8969389814,0.8471492635,0,0,0,0,9.168145049,144.3157299,140.4613527,348592000
2.7,0,0.8956666043,0.8956666043,0.8461371157,0.8956666043,0.8461371157,0,0,0,0,9.151469931,144.1712102,140.3565743,349887900
2.71,0,0.8943996487,0.8943996487,0.8451303894,0.8943996487,0.8451303894,0,0,0,0,9.134793126,144.0265617,140.2515489,351183800
2.72,0,0.893138107,0.893138107,0.844129077,0.893138107,0.844129077,0,0,0,0,9.118113508,143.881835,140.1463183,352479700
2.73,0,0.8918819468,0.8918819468,0.8431331461,0.8918819468,0.8431331461,0,0,0,0,9.101431082,143.7370341,140.0408854,353775600
2.74,0,0.8906310387,0.8906310387,0.8421424672,0.8906310387,0.8421424672,0,0,0,0,9.084749183,143.592116,139.9352133,355071400
2.75,0,0.889385466,0.889385466,0.8411571239,0.889385466,0.8411571239,0,0,0,0,9.068069587,143.4471647,139.8293743,356367300
2.76,0,0.888145087,0.888145087,0.8401769741,0.888145087,0.8401769741,0,0,0,0,9.051389389,143.3020867,139.7232857,357663200
2.77,0,0.8869099756,0.8869099756,0.839202092,0.8869099756,0.839202092,0,0,0,0,9.034715685,143.1570077,139.6170578,358959100
2.78,0,0.8856799106,0.8856799106,0.8382322562,0.8856799106,0.8382322562,0,0,0,0,9.018222168,143.0094969,139.5086539,360254900
2.79,0,0.8844550501,0.8844550501,0.837267625,0.8844550501,0.837267625,0,0,0,0,9.004149954,142.8285364,139.3720655,361550800
2.8,0,0.8832352876,0.8832352876,0.8363080918,0.8832352876,0.8363080918,0,0,0,0,8.990083943,142.6476705,139.2353432,362846700
2.81,0,0.8820205791,0.8820205791,0.8353536126,0.8820205791,0.8353536126,0,0,0,0,8.976025207,142.4669056,139.0984921,364142600
2.82,0,0.8808108968,0.8808108968,0.8344041596,0.8808108968,0.8344041596,0,0,0,0,8.96197786,142.2862186,138.9614926,365438500
2.83,0,0.879606219,0.879606219,0.8334597111,0.879606219,0.8334597111,0,0,0,0,8.947934914,142.105608,138.8243401,366734300
2.84,0,0.8784064088,0.8784064088,0.8325201301,0.8784064088,0.8325201301,0,0,0,0,8.933903357,141.9251343,138.6870887,368030200
2.85,0,0.8772115403,0.8772115403,0.8315854909,0.8772115403,0.8315854909,0,0,0,0,8.919885311,141.7447571,138.5497031,369326100
2.86,0,0.8760214923,0.8760214923,0.8306556722,0.8760214923,0.8306556722,0,0,0,0,8.905883681,141.5645629,138.4122589,370622000
2.87,0,0.8748362703,0.8748362703,0.8297306796,0.8748362703,0.8297306796,0,0,0,0,8.89188882,141.3844029,138.2746217,371917900
2.88,0,0.8736558369,0.8736558369,0.8288104754,0.8736558369,0.8288104754,0,0,0,0,8.877910644,141.2044874,138.1369779,373213800
2.89,0,0.8724801422,0.8724801422,0.82789501,0.8724801422,0.82789501,0,0,0,0,8.863945174,141.0246602,137.9991887,374509700
2.9,0,0.8713091579,0.8713091579,0.826984255,0.8713091579,0.826984255,0,0,0,0,8.849999339,140.8450468,137.8613653,375805500
2.91,0,0.8701428458,0.8701428458,0.8260781721,0.8701428458,0.8260781721,0,0,0,0,8.836066308,140.665526,137.7233984,377101400
2.92,0,0.8689811314,0.8689811314,0.8251766871,0.8689811314,0.8251766871,0,0,0,0,8.822150252,140.4861883,137.5853677,378397300
2.93,0,0.8678240299,0.8678240299,0.8242798148,0.8678240299,0.8242798148,0,0,0,0,8.808254097,140.3070682,137.4473037,379693200
2.94,0,0.8666714577,0.8666714577,0.8233874719,0.8666714577,0.8233874719,0,0,0,0,8.79437478,140.1280786,137.3091278,380989100
2.95,0,0.8655233929,0.8655233929,0.8224996364,0.8655233929,0.8224996364,0,0,0,0,8.780515471,139.9493659,137.170969,382284900
2.96,0,0.8643797902,0.8643797902,0.8216162629,0.8643797902,0.8216162629,0,0,0,0,8.766673105,139.7707852,137.0326981,383580800
2.97,0,0.8632406168,0.8632406168,0.8207373188,0.8632406168,0.8207373188,0,0,0,0,8.75285499,139.5923993,136.8943717,384876700
2.98,0,0.8621058172,0.8621058172,0.8198627486,0.8621058172,0.8198627486,0,0,0,0,8.739053841,139.4142706,136.7560415,386172600
