Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.12,0,0.5752334209922201804277161345,0.57523342099222,0.572353407541014,0.57523342099222,0.572353407541014,0,0.0000000,0.0000000,0,7.5623270585776330547114346229,87.94500159558292866029559914,99.0171380529608246132852313,1559850000
12.13,0,0.5752133191912813716200676482,0.575213319191281,0.572337787750047,0.575213319191281,0.572337787750047,0,0.0000000,0.0000000,0,7.5589058898151686872588363191,87.92767900307485429287356799,99.0072216085477955873473545,1561137000
12.14,0,0.5751930715028804479833513903,0.57519307150288,0.572322011608495,0.57519307150288,0.572322011608495,0,0.0000000,0.0000000,0,7.5554899106941635981655849906,87.9103784558287735392190573,98.99732016224003284213388277,1562424000
12.15,0,0.5751728553785139275919663182,0.575172855378514,0.572306256600392,0.575172855378514,0.572306256600392,0,0.0000000,0.0000000,0,7.5520795157446891350613837384,87.89310181149041775147123959,98.98743427463632878727444129,1563711000
12.16,0,0.5751528835669870573806863288,0.575152883566987,0.572290735506956,0.575152883566987,0.572290735506956,0,0.0000000,0.0000000,0,7.5486745738861866455759356635,87.8758357120610115485797479,98.97755585339385745203428071,1564998000
12.17,0,0.5751327568281397910546520205,0.57513275682814,0.572275049120313,0.57513275682814,0.572275049120313,0,0.0000000,0.0000000,0,7.5452748494585031533819666692,87.85855146601447811118492962,98.96766746677165916987518569,1566285000
12.18,0,0.5751126696026484503854146637,0.575112669602648,0.572259391913301,0.575112669602648,0.572259391913301,0,0.0000000,0.0000000,0,7.5418808110253427102812710593,87.84130237193881419022759241,98.95780142196580171757879195,1567572000
12.19,0,0.5750928353014589318217028399,0.575092835301459,0.572243977328902,0.575092835301459,0.572243977328902,0,0.0000000,0.0000000,0,7.5384924524399896357744835333,87.82407689948153451463587982,98.94795057419481426781212035,1568859000
12.20,0,0.5750728238330756103839166572,0.575072823833076,0.572228375307534,0.575072823833076,0.572228375307534,0,0.0000000,0.0000000,0,7.5351091789520223056203755953,87.80682728156652303719984044,98.93808621198241591332012623,1570146000
12.21,0,0.5750530622593601766686953709,0.57505306225936,0.572213012942847,0.57505306225936,0.572213012942847,0,0.0000000,0.0000000,0,7.5317314838423077434916731469,87.78962891009298999827257279,98.92825427961795407235402422,1571433000
