,Apogee,Lateral Velocity,Total Impulse,Max Mach,Max Velocity,Landing Velocity,Landing Distance,Mean Wind Speed,Wind Speed Deviation
0,11550.806970543432,13.795972704746305,84198.11656315075,1.7612263312882988,554.1039093663686,41.44398761888458,261.151194000149,7.062521447966343,0.41333344793081767
1,15331.468293238278,23.13498006770802,97358.15910337154,2.048908885860805,630.2142125421293,41.48504899409229,1127.5955689667358,14.146425511150253,1.5238471764455077
2,13370.044634231614,91.55608467648146,94141.31586345093,1.7042895107721294,517.2459900077766,7.532699345172511,8215.095885051276,10.910292984458312,0.8779601881807946
3,10326.222121190434,3.6547982026721804,84198.11656315075,1.6290267697567313,519.6712846790535,39.26175491280216,974.9564825948817,6.725060106644966,0.5616430364763495
4,15345.055597177507,24.75441905982738,94920.12095721046,1.7442889099550176,527.1031771674357,40.7535416835059,225.5868982272494,10.373493306865555,1.3409605090463617
5,779.625557717593,64.6595911736965,103441.44914608909,0.4241697134833529,140.09441507331613,9.389490288064012,2278.703809738834,25.82485701513722,1.854385161626794
6,10035.60843102715,19.331019237679797,75928.94066482435,1.5495027879640406,488.9159014410553,41.479082314347,367.20787753975964,10.198978749778242,0.895348985147463
7,9709.633087301221,15.097266189350833,79878.52711014017,1.5253664120233692,489.1464090486429,7.6598513570429185,12824.224456901706,11.71526472017897,1.127780273867917
8,8544.55993602941,32.609273578582005,70123.57012795017,1.252700796515534,397.7039528834529,39.28211508734196,107.12033191920165,11.844477999506312,0.9416593316514
9,17471.361949803904,15.29054020982764,102837.50108188692,2.1899560016937865,669.4734408900857,41.4442193546015,2026.640488954452,3.0377722472650106,0.4376449570768275
10,12799.509290266004,14.373847280363814,94230.49755916068,1.7765937145209165,554.2942767924699,39.743825579906165,2847.4169478999693,19.237621190146793,2.9110043783987782
11,11675.459813238405,38.17950874455081,89071.44062778821,1.663011615619498,526.4383230726038,40.504823113078274,740.3966713411102,9.778926922933245,0.7479922933426558
