,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Combustion Efficiency,Launch Temperature,Average OF,Average Regression,Discharge Coefficient
0,112532.98621120377,174.97800200259675,188.88015432716497,21.54599999999972,5222.91776715888,0.8661715272426836,285.49874804567906,5.818751694024834,0.0006989278752436837,0.7857252468712975
1,109153.77457805965,169.72365196871644,181.21259172666086,24.637999999999654,4430.301752498627,0.8515248959717301,281.552314366999,5.0161873493573275,0.0006720338507544919,0.6450022183373747
2,85976.7272848283,133.6855660329364,157.68779539901445,26.342999999999616,3263.7409287032438,0.8308773991473357,284.1634742054015,14.006751521758188,0.0002543347964686684,0.521480582666386
3,107128.59215301757,166.57468750633595,177.38524347682758,23.180999999999685,4621.396495104569,0.7962140199852168,285.16608018602903,6.052944099322983,0.0006990034942409929,0.6737357614755023
4,92229.49250471014,143.40801632953506,154.12065045932692,18.143999999999792,5083.195133637081,0.7213200295403245,288.2802173634595,5.996863246339549,0.0008386400304147149,0.7407770670368555
5,83975.8227608179,130.57435137848657,141.1015469396593,26.265999999999618,3197.130235316345,0.810537667656689,277.3928616618228,4.533153363921667,0.0005817406332644148,0.4617192896594611
6,112319.91741819873,174.6467004620942,186.06061330145008,23.521999999999675,4775.10064697731,0.8683104869653583,288.96646402908954,5.465149926306165,0.0006990179406513249,0.628421741996978
7,83191.1208172489,129.35421510665992,143.61617937644147,16.815999999999818,4947.140866867852,0.7566889849223615,299.31746030324916,7.051200376824033,0.0006986263082778504,0.5722672922118024
8,93090.73245820169,144.7471618670393,169.13493430431748,17.6189999999998,5283.542338282691,0.8059665475021167,289.7636647436651,14.75044764794246,0.0003951172996236521,0.8933169807453106
9,105919.82110742434,164.69516444774112,178.1012358561251,20.437999999999743,5182.494427410983,0.8498642380003412,289.11156239951964,5.248271443762174,0.0007499418522419305,0.720923758223272
10,72752.7985958958,113.12362505439106,134.11313435410042,18.479999999999784,3936.8397508602084,0.7664746306508774,283.91334967144195,14.385662751297394,0.00032190987933343885,0.6938401127907737
