,Chamber Pressure [psia],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [kg/mol],Throat Velocity [m/s],Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
0,14.0,0.1,883.4087767045921,2.8837891945205305,1595.5721924831876,0.01926745381609313,23.565706772987753,575.0588691263941,0.44813452812451526,1.1195129943153854,694.6757905789292,1.5175668987064241
1,23.95959595959596,0.1,887.5963663982999,47.30602288329509,1641.971105551979,0.03267993181685455,24.03448833467184,577.5690954279563,0.7673960237775834,1.1192390427513095,770.2482935223212,1.517626162626186
2,33.91919191919192,0.1,890.1489670374071,64.1138969761017,1673.0245108474553,0.046018873028374103,24.359058812365813,579.0445842733226,1.0870319618023827,1.118954539777389,910.4884632201536,1.5176691316811106
3,43.87878787878788,0.1,891.9497361774226,74.08476589777791,1696.5194631871407,0.05931321077110392,24.610666594347357,580.0519854008579,1.406996655361182,1.1186821454515572,999.2925834491065,1.5177039500745448
4,53.83838383838384,0.1,893.3215340305807,80.97584921094911,1715.4727649537658,0.07257709176325777,24.817560715515963,580.7962368135259,1.7272549679311031,1.1184251953783075,1063.1872716646553,1.517733688608228
5,63.7979797979798,0.1,894.4177154776592,86.14956192991731,1731.3821436045455,0.08581875136448054,24.99400872457967,581.3737316890524,2.0477796835272657,1.1181831253194652,1112.5490200881918,1.5177599645947255
6,73.75757575757576,0.1,895.3229153726619,90.24294667273641,1745.1037466323255,0.09904349486136428,25.14828026133911,581.8371805694792,2.3685487622226966,1.1179546223972165,1152.4624414481589,1.5177836068893553
7,83.71717171717172,0.1,896.0885077342824,93.6011052872512,1757.174318270106,0.11225497964794778,25.285621523724192,582.2183012458593,2.6895443205907723,1.117738228350459,1185.7824700007632,1.517805241528816
8,93.67676767676768,0.1,896.7480613675639,96.43025492252595,1767.9531768572633,0.1254558466267368,25.409579941178848,582.5372116723406,3.0107509581791647,1.117532663446537,1214.2607771481014,1.5178251304112418
9,103.63636363636364,0.1,897.3243811148864,98.8625985444708,1777.692975473019,0.13864807899658402,25.522673510047333,582.809568380014,3.3321563629540503,1.1173367820002524,1239.0466286695146,1.5178438453706884
10,113.5959595959596,0.1,897.8340113938547,100.98756886479394,1786.5782990350037,0.15183320698584904,25.626757138889932,583.0425449797449,3.6537489288382634,1.1171496045535998,1260.931470441698,1.5178613639980376
