,Chamber Pressure [bar],O/F Ratio,C-star [m/s],Specific Impulse [s],Chamber Temperature [K],Chamber Density [kg/m^3],Molar Mass [g/mol],Throat Velocity [m/s],Exit Pressure [bar],gamma,Exit Velocity [m/s],Thrust Coefficient
0,1.0,0.1,846.8603575141727,9.383834534440947,871.893284134056,0.34880219140416424,25.286043780674902,550.2076828818348,0.040444825672719203,1.1171377669064977,550.2075856157257,0.6497038156590187
1,1.595959595959596,0.1,850.2275369440378,44.68394905857156,893.4846250069875,0.5525178923655559,25.71875205058512,552.206133037262,0.06458898314840388,1.1321636228936047,552.2060485237815,0.6494812829498992
2,2.191919191919192,0.1,852.389806304509,59.640164873575515,908.5357344952714,0.7552775003003563,26.029293350630766,553.4494672674715,0.0887592611367977,1.1308086170518425,553.4493905625114,0.6492923909835596
3,2.7878787878787876,0.1,853.9243494961951,68.80080836352128,920.1436762119248,0.9574273028993917,26.273983573873164,554.3242647055374,0.11295629552740173,1.1297471757847175,554.3312182835803,0.6491582594497993
4,3.3838383838383836,0.1,855.1677698815795,75.24496066165936,929.6118188222322,1.1591473726813804,26.477016006039364,554.9842888632423,0.13716500181688354,1.1288700240564618,554.9842185150854,0.6489779727108943
5,3.9797979797979797,0.1,856.1475147355953,80.13286413700666,937.6161615687591,1.3605461739618772,26.65113410120181,555.504227270375,0.16139592226458593,1.1158006723352711,555.5041570632122,0.6488426064286464
6,4.575757575757575,0.1,856.9634869762568,84.02832192257598,944.5538498136668,1.5616952407905167,26.80392259446169,555.9268357687772,0.18564333963868693,1.1155833371481152,555.9267643154074,0.6487179457225509
7,5.171717171717171,0.1,857.6583691870421,87.24105027470316,950.6786099814743,1.7626447743061027,26.94028019146546,556.2782952352941,0.20990597817881712,1.115378594932492,556.2782214473142,0.6486021363185113
8,5.767676767676767,0.1,858.2603842755556,89.95859718174918,956.1626507348061,1.9634315600721413,27.063563771676183,556.5757824896879,0.23418277291227435,1.1151849032547188,556.575705518564,0.6484937965190636
9,6.363636363636363,0.1,858.7890974181454,92.3024163488134,961.1283401178572,2.16408349557615,27.176179173877316,556.831118624609,0.2584728286979908,1.1150009662621392,556.8310377820848,0.6483918686425683
10,6.959595959595959,0.1,859.2586281797633,94.35530051188047,965.6658200744722,2.3646223104992843,27.279912431902147,557.0527727939954,0.2827753693877942,1.1148257144683895,557.0526875225328,0.6482955183070397
11,7.555555555555555,0.1,859.6794751033891,95.84936490011627,969.843452480592,2.5650653231881133,27.376127671261408,557.2469982950598,0.30708971738386626,1.114658249947992,557.2469081389921,0.6482040746110528
12,8.15151515151515,0.1,860.0596443970597,98.32334688704938,973.7143375343874,2.7654265006871928,27.465891423274936,557.4185315170075,0.3314152748974355,1.1144978123851186,557.4184361022701,0.6481169887132598
13,8.747474747474747,0.1,860.4053338634582,100.5519126478716,977.3205609875743,2.9657173919859168,27.55005414369927,557.5710227798306,0.3557515310602612,1.114343734543847,557.5709218011857,0.6480338171114508
14,9.343434343434343,0.1,860.7215664384536,102.57423200493078,980.6960532943475,3.1659475985842835,27.62930538960283,557.7073892353969,0.380097969371225,1.1141954918597037,557.7072824356499,0.6479541530625226
15,9.93939393939394,0.1,861.0122918298223,104.42118700264332,983.8685767620084,3.366125207385931,27.704212380083504,557.8299294635849,0.40445416700867853,1.1140525644546364,557.8298166323364,0.6478776822083202
16,10.535353535353535,0.1,861.2807659997034,106.23794917304187,986.8611405164537,3.5662570951116677,27.77524759007042,557.9405202689982,0.42881975165820296,1.1139145644314354,1315.4075649970189,1.5272715700390014
17,11.13131313131313,0.1,861.5296800189043,108.43555813232106,989.6930310995866,3.7663491818771573,27.842808944614653,558.0407034006078,0.45319435692615945,1.1137811023478856,992.1464845286725,1.151612301416873
18,11.727272727272727,0.1,861.7612820050949,110.4122205784017,992.3805760061838,3.96640651590224,27.907234840473922,558.1317589333655,0.47757765485342296,1.113651849141848,880.2126626885499,1.021411036201226
19,12.323232323232322,0.1,861.9774679527928,112.19980046012165,994.9377232097163,4.166433550810109,27.96881560796188,558.2147599259613,0.5019693433132231,1.1135265122710314,806.1811084327934,0.9352688504697504
20,12.919191919191919,0.1,862.1798504383846,113.82430512273166,997.3764826757935,4.366434162469618,28.027802266908814,558.2906136027165,0.5263691428634503,1.1134048304194764,750.100311813185,0.8700014032875917
21,13.515151515151514,0.1,862.3698115760668,115.30717292008163,999.7072709067501,4.566411759691892,28.0844133912778,558.3600929486955,0.5507767941517769,1.1132865690810738,704.7969254312519,0.8172804362482147
22,14.11111111111111,0.1,862.5485394997447,116.6662354249068,1001.9391853600837,4.766369309875836,28.13884035813657,558.4238612182361,0.5751920588945145,1.1131715169010055,666.7927220939185,0.7730522744723731
23,14.707070707070706,0.1,862.7170792596709,117.91644541722926,1004.0802202797886,4.9663094160128525,28.191251840939234,558.4824911496502,0.5996147057308016,1.1130594826969027,634.1062628511991,0.7350047923254659
24,15.303030303030301,0.1,862.8763310410369,119.07043668386298,1006.1374270428311,5.166234485932383,28.24179749257546,558.5364802650037,0.6240445268612196,1.1129502928106665,605.4461865496831,0.701676423925252
25,15.898989898989898,0.1,863.0270895644614,120.1389567150504,1008.1170638037217,5.3661466074542625,28.290610583789125,558.5862630351285,0.6484813243847942,1.1128437890643728,580.1547730094684,0.6722334033860701
26,16.494949494949495,0.1,863.1700337839006,121.13120678712514,1010.0247113179655,5.566047719075857,28.33781034707652,558.6322087812179,0.6729249352490315,1.1127398105400184,560.5983034173872,0.6490942156308277
