x,y,x_acc,y_acc
0.0,0.0,0.0,0.0,
0.004821202584977653,0.004754065246383642,96.42405169955306,95.08130492767283,
0.019351383544354152,0.019083065069016407,97.75551578842389,96.41738659730962,
0.04372318577388319,0.04312064641405751,99.07690961462681,97.75424385085704,
0.07806822129624136,0.07700053271070037,100.38775624195571,99.09185518117822,
0.12251702343443734,0.12085652168453592,101.68757607480059,100.43019836267568,
0.1771989987414086,0.17482248309894352,102.97588730070481,101.76925044876512,
0.2422423787307289,0.23903235642425957,104.25220634627648,103.1089877694036,
0.3177741714546627,0.3136201484344795,105.51604834599283,104.44938592867486,
0.40392011297706565,0.39871993073125495,106.76692762339042,105.79041980243495,
0.5008046187898425,0.4944658371949532,108.00435818408836,107.13206353602129,
0.6085507352228261,0.6009920613625539,109.2278542200451,108.47429054202824,
0.727280090898032,0.7184328537321636,110.43693062440336,109.817073498152,
0.8571057858367324,0.8469154565670731,111.48985464548274,111.01913580784404,
0.9980687449814154,0.986496492070039,111.25542947417222,110.94951755328248,
1.1501447446759498,1.137168913962203,111.00538152285569,110.8782102306785,
1.3133080042625316,1.2989255070907741,110.73981631809008,110.80521449746618,
1.4875311970702336,1.4717588875002627,110.4588481043157,110.73053112088144,
1.672785462269189,1.6556615025146946,110.1625997207492,110.65416097798679,
1.8690404175775892,1.85062563083081,109.85120246815315,110.57610505568134,
2.0762641728076843,2.0566433826222443,109.52479596573903,110.49636445069474,
2.29442334423599,2.2737066996546917,109.18352799848054,110.41494036956597,
2.523483069781977,2.5018073554120477,108.82755435513242,110.3318341286067,
2.7634070249785836,2.740936955233526,108.45703865726782,110.24704715384894,
3.014157439717037,2.991086936461746,108.07215217966456,110.16058098097744,
3.2756951157475926,3.252248568601777,107.67307366238626,110.07243725524653,
3.5479794449170137,3.5244129534911397,107.25998911491875,109.98261773138117,
3.8309684281228176,3.8075710254807444,106.83309161273712,109.89112427346326,
4.124618694963592,4.101713551626762,106.39258108669011,109.79795885480152,
4.428885524063983,4.4068311318934095,105.93866410560145,109.70312355778675,
4.743722864052278,4.722914199366633,105.47155365249708,109.60662057373118,
5.069083355167941,5.049953020478677,104.9914688948772,109.50845220269241,
5.404918351475821,5.3879376952435205,104.49863494945987,109.40862085328233,
5.751177943663266,5.736858157503151,103.99328264182977,109.3071290424601,
6.107810982395874,6.096704175184669,103.47564826143143,109.20397939531036,
6.47476510220717,6.467465350568194,102.9459733123508,109.09917464480581,
6.8519867458971015,6.849131120565536,102.40450426033186,108.99271763155444,
7.239421189413873,7.241690757009633,101.851492276478,108.88461130353204,
7.637012567193373,7.645133366954696,101.28719297808735,108.77485871579887,
8.044705742483627,8.059449737614127,100.7487572370007,108.70035557152768,
8.462446326727827,8.484632338748952,100.19942184190847,108.62425393636379,
8.89017885406912,8.920673480359735,99.63944009995399,108.54655558280996,
9.327846806864523,9.367565312868933,99.06906898224085,108.46726238549898,
9.775392641552523,9.82529982731346,98.48856886972472,108.38637632105501,
10.232757814848924,10.293868855547435,97.8982032982628,108.30389946794075,
10.699882810245398,10.773264070455124,97.2982387032316,108.21983400629072,
11.176707164785242,11.263476986174012,96.68894416411784,108.13418221773048,
11.663169496090765,11.764498958328048,96.07059114948055,108.0469464851818,
12.159207529616895,12.276321184270975,95.44345326267532,107.95812929265398,
12.664758126105594,12.798934703339786,94.80780598872202,107.86773322502118,
13.179757309215866,13.332330397118236,94.16392644268988,107.77576096778579,
13.704140293304269,13.876498989710417,93.51209311996203,107.6822153068282,
14.237841511331107,14.431431048024345,92.85258564873236,107.58709912814248,
14.780794642867635,14.99711698206556,92.18568454507576,107.49041541755848,
15.332932642179964,15.573547045240675,91.51167097092069,107.39216726045018,
15.8941877663656,16.160711334670882,90.83082649524088,107.2923578414304,
16.464491603518937,16.758599791515365,90.14343285877047,107.19099044403185,
17.043775100902337,17.36720220130457,89.44977174253238,107.0880684503748,
17.631968593099888,17.98650819428333,88.75012454045736,106.98359534082104,
18.22900183013128,18.616507245763817,88.044772136356,106.87757469361473,
18.834804005503766,19.25718867648821,87.33399468549203,106.7700101845096,
19.449303784180575,19.908541653001144,86.61807140099098,106.66090558638315,
20.0724293304447,20.57055518803184,85.89728034530249,106.55026476883755,
20.704108335637432,21.243218140885865,85.17189822692053,106.43809169778736,
21.344267985019616,21.926519157107844,84.44098556208768,106.32317566124108,
21.992834978864252,22.62044666209447,83.70590368689658,106.20659963166128,
22.64973562091378,23.32498892220593,82.96706041102,106.08850286506912,
23.314895852258058,24.040134051949003,82.22472548391055,105.9688897672031,
23.988241278194288,24.765870014422333,81.4791663551562,105.84776483789652,
24.66969719484858,25.502184621771086,80.73064800609606,105.72513267058042,
25.359188615542564,26.249065535650956,79.97943278772468,105.60099795177393,
26.05664029688918,27.006500267701444,79.22578026496913,105.47536546056241,
26.76197676460242,27.774476180028362,78.4699470674089,105.34824006806319,
27.47512233900635,28.552980485695528,77.7121867464945,105.21962673687935,
28.196001160229574,29.342000249225563,76.95274963930757,105.0895305205412,
28.924537213071705,30.141522387109774,76.19188273889088,104.95795656293619,
29.66065435152934,30.951533668327016,75.42982957116463,104.82491009772653,
30.404276322969455,31.772020714871534,74.66683007843227,104.69039644775559,
31.155326791938965,32.60297000228966,73.9031205094672,104.55442102444248,
31.913729363599757,33.44436786022537,73.13893331615937,104.4169893271652,
32.67940760677919,34.29620047297457,72.37449705669015,104.27810694263275,
33.45228507662672,35.158453880048114,71.61003630519245,104.1377795442456,
34.2322853368679,36.03111397674344,70.84577156784295,103.99601289144553,
