LengthRegressed,PortVolume,PortArea,BurnArea
0,0.008339895013,0.05485564304,0.6345144357
0.005,0.01106299213,0.07349081365,0.4704724409
0.01,0.01307742782,0.08727034121,0.4468503937
0.015,0.01501968504,0.1003937008,0.4566929134
0.02,0.01700131234,0.1141732283,0.4757217848
0.025,0.01904855643,0.1272965879,0.5052493438
0.03,0.02119422572,0.1351706037,0.5236220472
