time,thrust,OF,ox_tank.pressure,ox_tank.temperature,combustion_chamber.temperature,propellant_mass,propellant_CG,combustion_chamber.fuel_grain.geometry.length_regressed,nozzle.exit_pressure,ox_tank.ox_mass,ox_tank.oxidizer_center_of_mass,fuel_grain.fuel_mass,fuel_grain.total_CG
14.82899999999986,4089.2021316095797,9.768409018166297,3011216.6269936166,271.6907676446347,3051.0799596709257,17.660430371584862,2.4886834917706726,0.013418398772420157,69644.91267446602,11.112258264792931,1.9870242538009495,6.54817210679193,3.34
14.86899999999986,4080.853477712963,9.770280512031219,3005288.1341025173,271.61469178835637,3050.8480521073757,17.573702818065318,2.4895208394341157,0.01344386739214417,69524.6831035376,11.033018790971946,1.985332859128953,6.540684027093372,3.34
14.908999999999859,4072.478894030408,9.772121343954385,2999342.82854566,271.5382896769418,3050.6168972060836,17.48712107084937,2.4903527036875603,0.013469286043310547,69404.14932883058,10.953910432099228,1.983599906148944,6.53321063875014,3.34
14.948999999999858,4064.078113706901,9.773931895322402,2993380.536411416,271.46155775623816,3050.3864741967277,17.40068563224497,2.491179118128337,0.013494654679862,69283.30679132238,10.87493367694134,1.9818247906328434,6.525751955303627,3.34
14.988999999999857,4055.6508097887727,9.775712116933192,2987401.080845379,271.38449240989377,3050.156778116915,17.314397010305974,2.492000117711047,0.013519973254095027,69162.15076017234,10.79608901952674,1.9800068950814103,6.518307990779236,3.34
15.028999999999856,4047.1966902755457,9.777461761635236,2981404.2818923136,271.30708995671097,3049.927812445071,17.22825571771181,2.492815738804681,0.013545241716928011,69040.67730097965,10.71737695810426,1.9781455883328907,6.510878759607552,3.34
15.068999999999855,4038.7154510293803,9.779180658895498,2975389.9564718152,271.22934664969944,3049.6995774049205,17.142262272581455,2.493626019230713,0.013570460017706284,68918.88218637432,10.638797995899804,1.9762402251995366,6.503464276681653,3.34
15.108999999999854,4030.2071137213657,9.780868626160467,2969357.918292502,271.15125867431857,3049.4693285140465,17.056417198450017,2.494430998311719,0.0135956281042076,68796.73223089038,10.56035264109451,1.9742901460743811,6.496064557355507,3.34
15.148999999999853,4021.6696887957196,9.782529166839055,2963307.9777705064,271.07282214675354,3049.236943666795,16.970721024344932,2.4952307169205628,0.013620745922623686,68674.19430241347,10.482041406895542,1.9722946765268514,6.488679617449392,3.34
15.188999999999853,4013.1030754713934,9.784158042137168,2957239.9396411944,270.99403308219513,3049.00526619932,16.885174253156464,2.4960252178590667,0.013645813425115567,68551.30591891543,10.403864782127926,1.9702531261075549,6.48130947102854,3.34
15.228999999999852,4004.508538207319,9.785752370338722,2951153.605830339,270.9148874312699,3048.774433217054,16.79977740299135,2.4968145454792348,0.013670830559925079,68428.08904696009,10.325823269680876,1.9681647888569058,6.473954133310473,3.34
15.268999999999851,3995.885237457807,9.787315841947583,2945048.776928658,270.83538109858995,3048.5442825526147,16.71453102836601,2.497598745523284,0.013695797266318045,68304.52598267939,10.247917406214247,1.966028943427342,6.4666136221517645,3.34
15.30899999999985,3987.23286734149,9.788847380284823,2938925.249241292,270.75550990370397,3048.3148496965064,16.62943568080208,2.498377865589646,0.013720713484001192,68180.6138531936,10.170147725522718,1.9638448516737739,6.45928795527936,3.34
15.34899999999985,3978.5511082511493,9.790346757919101,2932782.8153643664,270.6752695877946,3048.08613650663,16.54449191820432,2.499151955094992,0.013745579150880172,68056.34828281357,10.09251476725457,1.961611758398935,6.451977150949748,3.34
15.388999999999848,3969.83960081116,9.791813827843736,2926621.264095123,270.59465581170315,3047.8581408948844,16.459700305068246,2.4999210653335373,0.01377039420300944,67931.72421073704,10.015019077104565,1.9593288908633182,6.444681227963682,3.34
15.428999999999848,3961.097988821356,9.793248359331633,2920440.3802835946,270.51366415316113,3047.63086410756,16.375061411951542,2.500685249545949,0.013795158574717683,67806.73674506732,9.937661206322227,1.9569954582575015,6.4374002056293165,3.34
15.468999999999847,3952.325909085772,9.794650133497685,2914239.9447400477,270.43229010472,3047.4043067759035,16.290575815755314,2.501444562982212,0.013819872198539768,67681.3808736524,9.860441711973106,1.954610651177554,6.430134103782208,3.34
15.508999999999846,3943.522991106905,9.796018928029124,2908019.7341262326,270.3505290714392,3047.1784695089837,16.206244099837882,2.5021990629685544,0.013844535005188584,67555.65148303942,9.783361157044283,1.9521736410775075,6.422882942793599,3.34
15.548999999999845,3934.6888575977273,9.797354514857066,2901779.520842196,270.2683763684853,3046.953352994588,16.122066854124693,2.5029488089768415,0.013869146923527722,67429.5433690872,9.706420110546244,1.9496835797023209,6.415646743578449,3.34
15.588999999999844,3925.8231241087083,9.798656661666577,2895519.0729100946,270.1858272186582,3046.7289579323105,16.038044675234683,2.5036938626963394,0.013893707880540125,67303.05122931408,9.629619147630034,1.9471395985011424,6.408425527604648,3.34
15.628999999999843,3916.925398833517,9.799925131487907,2889238.1538535524,270.1028767498254,3046.505285045359,15.95417816660682,2.504434288108115,0.013918217801296585,67176.16966067004,9.55295884970454,1.9445408080195912,6.401219316902281,3.34
15.668999999999842,3907.9952824151123,9.801159682553212,2882936.5225726375,270.0195199922632,3046.282335081938,15.87046793863013,2.5051701515621527,0.013942676608923314,67048.89315690396,9.476439804556966,1.9418862972702944,6.394028134073164,3.34
15.708999999999842,3899.03236772965,9.802360068203628,2876613.9332142216,269.9357518758998,3046.0601088142253,15.786914608777487,2.505901521857294,0.013967084224568492,66921.21610554133,9.400062606476808,1.9391751330807863,6.386852002300678,3.34
15.74899999999984,3890.036239666271,9.80352603675872,2870270.1350375735,269.85156722745705,3045.8386070387055,15.7035188017431,2.506628470324121,0.013991440567367824,66793.13278485475,9.3238278563832,1.9364063594178058,6.379690945359899,3.34
15.78899999999984,3881.006474898354,9.80465733138799,2863904.8722748635,269.7669607674849,3045.6178305762596,15.620281149583832,2.5073510709109175,0.014015745554409053,66664.63736070793,9.247736161955814,1.9335789966870494,6.372544987628017,3.34
15.828999999999839,3871.943109841695,9.805753689977823,2857517.8839864433,269.68192710728454,3045.3937922579594,15.53720229186456,2.5080694002728268,0.01403999910069539,66535.64307439091,9.171788137769447,1.9306920410073025,6.365414154095114,3.34
15.868999999999838,3862.84501996188,9.806815954946368,2851108.903910561,269.59646074571447,3045.1682253914655,15.454282875807658,2.5087835378643506,0.014064201119107824,66406.17204864539,9.095984405432436,1.9277444634579177,6.358298470375223,3.34
15.908999999999837,3853.7118432159796,9.80784218984096,2844677.6595736896,269.51055605606626,3044.943382008528,15.371523547239503,2.509493566124691,0.014088351522556927,66276.26960596893,9.020325585165823,1.924735208954929,6.35119796207368,3.34
15.948999999999836,3844.5433068835705,9.808832277416034,2838223.8733635577,269.4242072990778,3044.7192601160787,15.288924966417671,2.5101995704245046,0.014112450220212538,66145.93177436944,8.944812310522032,1.9216631960005335,6.34411265589564,3.34
15.988999999999836,3835.338861436204,9.809786480896445,2831747.262160768,269.3374086167273,3044.4958372531164,15.2064878055415,2.5109016391958425,0.014136497118095328,66015.1501263527,8.869445226069342,1.9185273157664908,6.3370425794721585,3.34
16.028999999999836,3826.098040283035,9.810704343499044,2825247.536742784,269.2501540228918,3044.2731207476477,15.124212743621518,2.511599864091062,0.014160492120295253,65883.91846100177,8.794224982619584,1.9153264310279554,6.329987761001934,3.34
16.068999999999836,3816.820358543818,9.8115855779068,2818724.401734593,269.16243740125236,3044.0511109164086,15.042100468324236,2.512294340078109,0.014184435128529566,65752.23006332367,8.719152238942963,1.9120593753212083,6.322948229381274,3.34
16.108999999999835,3807.5053170366423,9.812429888982152,2812177.5554100126,269.07425250114767,3043.8298080714576,14.960151676034634,2.51298516555752,0.014208326042124911,65620.07802270338,8.644227661825282,1.9087249520013583,6.315924014209353,3.34
16.148999999999834,3798.152407530273,9.813236963559515,2805606.6894879118,268.9855929332985,3043.6092130237735,14.878367071959769,2.513672442483597,0.014232164757989415,65487.455321416455,8.56945192616335,1.9053219332651827,6.308915145796418,3.34
16.188999999999833,3788.7611105354345,9.814006485120386,2799011.488929191,268.89645216548007,3043.3893264650583,14.796747370348514,2.5143562764892353,0.014255951170556955,65354.35478180257,8.494825715168336,1.9018490591409891,6.301921655180179,3.34
16.228999999999832,3779.330895110338,9.81473813005181,2792391.6317224503,268.80682351797674,3043.1701491091335,14.715293294683375,2.515036777016055,0.014279685171737885,65220.76906882128,8.420349720543093,1.898305036438195,6.294943574140282,3.34
16.26899999999983,3769.8612185769407,9.815431567453896,2785746.7886607987,268.7167001588489,3042.9516816929636,14.634005577880586,2.5157140574496815,0.014303366650867552,65086.690686125105,8.34602464266712,1.8946885376562819,6.287980935213468,3.34
16.30899999999983,3760.351526105784,9.81608645917595,2779076.62310928,268.62607509900096,3042.733924966086,14.552884962498242,2.5163882352604507,0.014326995494652705,64952.11196994579,8.271851190788935,1.8909981998513612,6.281033771709307,3.34
16.34899999999983,3750.801250322571,9.816702459534932,2772380.790762217,268.53494118703816,3042.5168796928388,14.471932200950466,2.517059432149808,0.014350571587116211,64817.02508374104,8.197830083223995,1.8872326234583356,6.274102117726471,3.34
16.38899999999983,3741.209810894375,9.817279215098518,2765658.9393899958,268.4432911039006,3042.3005466516233,14.391148055728564,2.5177277742026645,0.014374094809539882,64681.42201245138,8.123962047559033,1.8833903710667308,6.2671860081695305,3.34
16.428999999999828,3731.576614095853,9.817816364459912,2758910.7085746867,268.3511173572632,3042.084926634058,14.31053329962943,2.518393392046012,0.0143975650404053,64545.29455647783,8.050247820863074,1.8794699661481262,6.260285478766356,3.34
16.468999999999827,3721.9010523568068,9.81831353799842,2752135.729433869,268.25841227568765,3041.8700204442653,14.230088715991496,2.5190564210140964,0.014420982155332595,64408.63432540899,7.976688149905373,1.8754698917330035,6.253400566086124,3.34
16.508999999999826,3712.183254597516,9.818770357632117,2745333.624332037,268.16516800251406,3041.649207341928,14.149815098938534,2.519717001320462,0.014444346027017049,64271.32464612075,7.903283791380587,1.8713885890347413,6.246531307557947,3.34
16.548999999999825,3702.420168144819,9.819190723121109,2738504.00657882,268.0713764894759,3041.428410890715,14.069713253631704,2.520375278237243,0.014467656525163453,64133.42634790665,7.830035512141523,1.8672244560183768,6.239677741490181,3.34
16.588999999999825,3692.6132387209323,9.81956556315322,2731646.477092523,267.97702944842507,3041.208478077716,13.98978396222914,2.5210314026057823,0.014490913524557326,63994.980629451595,7.756944057531754,1.8629758440412711,6.232839904697385,3.34
16.628999999999824,3682.761361335989,9.819899620670448,2724760.6307410803,267.882118436003,3040.989199904128,13.910028060514737,2.52168553031082,0.014514116886869127,63855.96478081374,7.684010222664637,1.858641060350587,6.226017837850101,3.34
16.668999999999823,3672.8638287366957,9.820191806011044,2717846.0516843754,267.78663478719545,3040.770602441124,13.830446388529861,2.5223378229526814,0.014537266472369435,63716.369998973,7.611234806499405,1.8542183638947975,6.219211582030456,3.34
16.708999999999822,3662.9199756664666,9.820441538560535,2710902.3136117877,267.6905696159017,3040.552692808794,13.751039797784076,2.522988447994005,0.014560362138209415,63576.18733437944,7.538618618546353,1.849705964001912,6.212421179237722,3.34
16.74899999999982,3652.9290733147795,9.820648477005511,2703928.979484521,267.5939138086016,3040.335467466319,13.671809152930777,2.523637578968144,0.014583403738015564,63435.40659516455,7.466162480423312,1.84510201870945,6.205646672507465,3.34
16.78899999999982,3642.8903840805847,9.820812159632613,2696925.6010585306,267.4966580148622,3040.118927329047,13.592755331193162,2.5242853957186915,0.014606391122017904,63294.01762624653,7.393867225319309,1.8404046328951982,6.198888105873853,3.34
16.82899999999982,3632.803151696915,9.820932129264632,2689891.718480789,267.3987926387168,3039.9030727077343,13.513879222852495,2.524932084639419,0.014629324136925595,63152.00999322121,7.321733698446263,1.8356118563909973,6.192145524406233,3.34
16.86899999999982,3622.666599420082,9.82100792057829,2682826.859850827,267.30030782941725,3039.6879037619974,13.435181731592579,2.525577838926555,0.014652202625836209,63009.37297451491,7.249762757356777,1.8307216820088814,6.185418974235801,3.34
16.908999999999818,3612.4799302326114,9.821039054701615,2675730.5407575355,267.2011934716871,3039.4734207127663,13.35666377483032,2.5262228588428175,0.0146750264281478,62866.09557143025,7.177955272248867,1.825732043482943,6.178708502581454,3.34
16.948999999999817,3602.242325836424,9.821025041187616,2668602.2637938573,267.10143917550397,3039.2596237431485,13.27832628407807,2.526867351993385,0.014697795379462905,62722.16649080872,7.106312126300047,1.8206408133258014,6.172014157778022,3.34
