,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Combustion Efficiency,Launch Temperature,Average OF,Average Regression,Length Regressed
0,95921.75150337255,173.05311133687843,196.59506238866598,20.268999999999746,4732.436306841667,0.8872911220621503,289.9691041585244,9.099900426625473,0.0009093249829320869,0.013724242357790715
1,80641.08392467312,145.4851507194628,164.05961263332716,19.828999999999755,4066.825554726618,0.7460785199569889,287.8850222330101,8.009361816790598,0.001023808039660285,0.015279128855983369
2,92295.94259513225,166.51176380256143,185.4594889369218,22.90199999999969,4030.0385379064496,0.8364743678926793,283.0099247344513,7.482190446699622,0.0009534971934866547,0.01695818041912652
3,88667.57285322687,159.9657962500899,186.25030751989436,16.83099999999982,5268.110798718307,0.8791468099869436,297.118061024157,13.258904689375736,0.0008463054394374211,0.009065356345935062
4,86190.21256057819,155.49637299805286,174.7260013336784,18.58199999999978,4638.371141996513,0.8031663769799435,290.9713199415223,7.987595661206847,0.0011159640630533222,0.015687615331623904
5,93583.75355018396,168.8351126686169,191.43424284455747,19.508999999999762,4796.9528704795275,0.9070951107587616,290.33918917199435,9.849510148583265,0.0009197498690205537,0.013080925180619965
6,78973.11963868457,142.47596453629598,157.36254482752142,21.621999999999716,3652.4428655390625,0.747126737648438,282.2786739147338,8.869732827269123,0.0009708777414245836,0.01624871422241332
7,88261.32961098877,159.23288993919533,173.41229006042462,24.81499999999965,3556.7733069107403,0.8378976075522689,278.19388504320875,6.964073662564336,0.0009711058965051677,0.019718668012766043
8,90379.00972440415,163.05341163212836,181.44641820574589,18.068999999999793,5001.882213980031,0.8314780561136926,293.8339878356894,7.463649755626019,0.0012053882551903092,0.017021160704044223
9,87443.3805783412,157.7572222955569,178.15652020419773,19.948999999999753,4383.346562651876,0.8479205555257449,287.7832950018513,10.601484106615702,0.0008963230937685294,0.012844805161812998
10,98495.9972713902,177.6973263613047,194.14664602138126,16.91599999999982,5822.652948178721,0.8374392824344696,299.48936764111374,7.552066427329395,0.0013729201861536324,0.018678059751887525
11,97606.4341838529,176.0924592939706,194.37279208497003,19.075999999999773,5116.713890954816,0.8468891835090211,293.5943994845437,6.735175758122435,0.001214769552955294,0.01891783822834397
12,98278.5265036537,177.3049858088045,203.03751088353397,19.20299999999977,5117.873587650622,0.9122398646873636,292.7853593822954,8.774528196420455,0.0009563858998214781,0.0136577407453821
13,85293.00250697727,153.87770998507705,179.75314006454147,20.59799999999974,4140.839038109445,0.8961589697128941,286.799383154844,15.379362207699632,0.0006281060889101335,0.007872828451149904
14,93452.78084476622,168.5988238830441,191.65117020701365,20.835999999999736,4485.159380148177,0.8525658153200594,288.8188938305266,9.367131535537956,0.0008727634701560784,0.013415147966406412
15,92515.10415354655,166.90715472249997,186.42525241465253,20.381999999999742,4539.059177389251,0.83508437616352,287.9686446635226,8.514516137134965,0.0009941954381829622,0.015634702162827523
16,89423.05026414913,161.32875839846383,186.08748135055038,27.694999999999588,3228.8517878371713,0.8378179600814001,273.51008059089196,7.680710376465479,0.0007009562308176253,0.014445377445570649
17,99714.3373835504,179.89534238761163,198.99252759237262,19.861999999999753,5020.357334787616,0.854517913339639,291.73843590869797,6.333659234686723,0.001196971226736845,0.019164192757223097
18,91462.40358222096,165.00797016509955,192.0462026228455,19.57699999999976,4671.9315309915755,0.9307738267057922,290.46926560392126,12.171089152174797,0.0007414202576100733,0.009612973335505171
19,81858.51667957514,147.68152977611314,168.53135750275683,19.496999999999762,4198.518576169469,0.8445277020689227,287.44721455551917,12.399456627863193,0.0008165129720692728,0.010755590804058496
20,101121.8770312446,182.43469463614653,204.02152486868775,24.26199999999966,4167.911838729125,0.8878016313834692,283.6310008230826,7.612604652510014,0.0008818011887727423,0.016651962016485184
21,100291.02318877613,180.93574533370065,193.22451467760698,22.3419999999997,4488.9008678174505,0.8504334100131864,286.5466485844117,5.751441640962787,0.0012246014840249803,0.023436512275798592
22,95973.39829212984,173.14628767430898,190.28858812388717,18.501999999999782,5187.1904816847355,0.8741186546241964,294.1845597323585,8.802153680214264,0.0011361211137549715,0.01671172509170226
23,99273.04266470992,179.099199459496,192.76209922315226,21.148999999999727,4693.982820214252,0.8843248855776306,288.01907039943217,6.443115864915967,0.0012175276881363768,0.02168756709407747
24,86360.88021229058,155.80427571740998,177.3181100532897,23.242999999999682,3715.565125512703,0.84569866929702,281.6915030787786,10.24689129478817,0.0007624649106807745,0.012769371000182118
25,100036.1689421129,180.47596098206756,198.88483982396352,18.74899999999978,5335.546906081076,0.8587602171416482,293.65546543257705,6.87866320047237,0.0012575233801221778,0.0188796713384936
26,107894.0446291062,194.65241016924477,209.82010584972522,19.402999999999764,5560.6887918933935,0.9142662213843177,295.2348268493203,6.174366303058541,0.0013428424939298292,0.021812540281027998
27,87663.51171987483,158.15436244726894,181.76443750051885,19.355999999999767,4529.009698278358,0.82266117390432,289.84205246178476,9.147591705274715,0.0009247506024908384,0.012948728111644651
28,89364.1831958014,161.2225559034802,180.7412137543671,20.668999999999738,4323.585233722121,0.8286435553102574,287.77241742680235,7.965416895305512,0.0009953348869201754,0.016011893218380122
29,79905.16127311745,144.15746745097584,170.86095743302104,18.67099999999978,4279.640151738975,0.862329907175002,289.1664419008013,14.601588561933772,0.0006508441571120621,0.007361102266187046
30,84965.63642311798,153.28710651433008,170.92182218027318,20.621999999999737,4120.145302255798,0.7837076892679469,286.205718979817,8.546089077842076,0.0009802366336640219,0.015606437086725574
