time,thrust,OF,ox_tank.pressure,ox_tank.temperature,combustion_chamber.temperature,propellant_mass,propellant_CG,combustion_chamber.fuel_grain.geometry.length_regressed
4.631000000000003,6196.993140925903,13.125763098770415,4860658.339149934,291.3857108327491,2940.0549532467303,40.57159459909739,2.1413495294671967,0.0029859775408600923
4.671000000000003,6188.312145035478,13.150396416312654,4854384.726838729,291.3293306712704,2938.998207327088,40.439323598517774,2.14406205297763,0.0030100202606829106
4.711000000000003,6179.623145840577,13.175040932591477,4848103.049494516,291.2728223552887,2937.9412974794154,40.307165883367134,2.146764226269656,0.0030340334272342105
4.751000000000003,6170.927227479264,13.19968870076889,4841813.252635808,291.21618506460436,2936.88454789069,40.175121687479454,2.149456062078493,0.0030580170934600623
4.791000000000003,6162.224493563826,13.22434007965104,4835515.282242523,291.15941797963,2935.827946042281,40.043191260997176,2.1521375726121734,0.0030819713103833095
4.831000000000003,6153.514808692086,13.24899513900832,4829209.084154288,291.10252027595334,2934.7714883912663,39.91137485828238,2.1548087698263134,0.0031058961282522156
4.871000000000003,6144.798094176699,13.273653698392717,4822894.60390164,291.0454911227782,2933.715181808835,39.77967273464637,2.1574696654998275,0.0031297915968528434
4.911000000000003,6136.074273209204,13.298315609702394,4816571.786736422,290.9883296831584,2932.659031915565,39.6480851470992,2.1601202712209875,0.003153657765440904
4.951000000000003,6127.343266607287,13.322980726918589,4810240.577627255,290.9310351139163,2931.603044229195,39.51661235439518,2.1627605983892084,0.0031774946827402345
4.991000000000003,6118.604995064732,13.347648899697209,4803900.921251815,290.873606565532,2930.5472244389844,39.3852546170164,2.1653906582181954,0.0032013023969470933
5.031000000000003,6109.859379054956,13.37231997500155,4797552.761990595,290.8160431820446,2929.4915783404836,39.25401219718641,2.168010461738428,0.003225080955731584
5.071000000000003,6101.110325957674,13.396993797115195,4791196.043920536,290.75834410095223,2928.437741273587,39.122885358883,2.170620019799668,0.0032488304062391234
5.111000000000003,6092.367610878709,13.421661398797045,4784830.710808542,290.70050845310953,2927.390710689775,38.99187436785042,2.173219343073482,0.003272550795091943
5.151000000000003,6083.630406922667,13.446316791905831,4778456.710300715,290.6425354008054,2926.3445728620914,38.86097957427037,2.1758084402688285,0.003296242160600267
5.191000000000003,6074.883846686521,13.4709861195506,4772073.994602949,290.5844241441115,2925.2981622643674,38.73020142534796,2.1783873178892836,0.0033199045315957065
5.231000000000003,6066.129208853646,13.495656760745442,4765682.505523707,290.5261737846792,2924.251982880193,38.59954017103168,2.18095598659058,0.003343537955168499
5.2710000000000035,6057.366768363861,13.520328924316846,4759282.185393243,290.4677834248947,2923.206029936446,38.468996080051056,2.1835144564915123,0.0033671424762901176
5.3110000000000035,6048.5963617261705,13.545002818183205,4752872.976450918,290.40925216227333,2922.160294303195,38.33856942791034,2.186062737438614,0.003390718138949182
5.3510000000000035,6039.817902757747,13.569678215353228,4746454.820532336,290.3505790865619,2921.114784523978,38.20826049088573,2.188600839138433,0.0034142649867197035
5.391000000000004,6031.0313118108625,13.594354929298184,4740027.6591137275,290.2917632800937,2920.069507637775,38.0780695470479,2.1911287711383287,0.003437783062667138
5.431000000000004,6022.236505561105,13.619032780667775,4733591.433310074,290.23280381772156,2919.024470370156,37.94799687637682,2.1936465428268894,0.0034612724093400072
5.471000000000004,6013.433400397535,13.64371158452915,4727146.083865807,290.17369976668215,2917.9796796625733,37.81804276073163,2.196154163437465,0.0034847330687751152
5.511000000000004,6004.621912416564,13.668391152730127,4720691.551147643,290.1144501864786,2916.935142580444,37.68820748386602,2.1986516420507427,0.0035081650824984718
5.551000000000004,5995.802818566569,13.693071294051343,4714227.775137471,290.055054128763,2915.891755598669,37.558491331444145,2.2011389875973264,0.0035315684915261302
5.591000000000004,5986.985876405623,13.717749185915684,4707754.695424954,289.99551063721486,2914.8580130358155,37.42889459105521,2.2036162088603706,0.0035549433363651238
5.631000000000004,5978.178249984803,13.742401401106358,4701272.2524460135,289.93581875889726,2913.8257082545497,37.2994175761001,2.206083313979998,0.003578289654773218
5.671000000000004,5969.359855134899,13.76706994069516,4694780.397864634,289.87597764001026,2912.7930326003243,37.17006082411399,2.2085403063367677,0.003601607463152129
5.711000000000004,5960.532183375825,13.79173740791735,4688279.068791603,289.81598628837605,2911.760668860756,37.04082460263655,2.2109871948751567,0.0036248968029520896
5.751000000000004,5951.695664576689,13.8164038854949,4681768.202938334,289.75584371275244,2910.7286186553374,36.91170920087886,2.2134239879892665,0.0036481577132667317
5.791000000000004,5942.850344987583,13.84106971716667,4675247.73796432,289.6955489167869,2909.695140920567,36.78271491726938,2.2158506937888154,0.003671390232006652
5.831000000000004,5933.995198909376,13.86573576740297,4668717.611019244,289.635100894735,2908.661543269526,36.65384205086488,2.218267320281058,0.0036945943967080304
5.871000000000004,5925.130751649771,13.890400227593569,4662177.758260424,289.57449862692283,2907.628285150657,36.52509089242095,2.220673875556516,0.003717770245371367
5.911000000000004,5916.257035416997,13.915063191263226,4655628.115868813,289.5137410890886,2906.5953639057675,36.39646174382844,2.223070367391712,0.0037409178146407436
5.951000000000004,5907.373925091823,13.939724584449964,4649068.619655062,289.4528272486837,2905.562781737298,36.26795491077118,2.2254568034047644,0.003764037140495207
5.991000000000004,5898.481330241375,13.964384152707144,4642499.204934368,289.39175606364955,2904.530548110169,36.1395707005324,2.2278331911036915,0.003787128258456522
6.031000000000004,5889.579161784081,13.98904166099608,4635919.806542843,289.33052648250435,2903.4986717597844,36.011309422481425,2.230199537879663,0.0038101912035455425
6.071000000000004,5880.674475567719,14.01369687435872,4629330.358830526,289.2691374442121,2902.475868902911,35.88317138812081,2.2325558510093324,0.003833226010279793
6.111000000000004,5871.777376496599,14.038324229261274,4622730.795651695,289.20758787802544,2901.4561787376033,35.75515691108531,2.234902137658198,0.0038562327126755403
6.151000000000004,5862.871671721036,14.062959192672619,4616121.06231943,289.14587681509016,2900.4364820413984,35.627266529201684,2.237238400428382,0.0038792113234775616
6.191000000000004,5853.955271349028,14.087593263630671,4609501.092793393,289.08400317565236,2899.4170808867707,35.49950057954081,2.2395646459308227,0.0039021618739378703
6.231000000000004,5845.028801477849,14.1122234054064,4602870.8189460775,289.0219658551889,2898.3980969625522,35.371859372251116,2.2418808812596343,0.0039250843975317425
6.271000000000004,5836.0921650843975,14.13684992074081,4596230.1726453565,288.9597637437738,2897.3795184638298,35.24434322947272,2.2441871132130626,0.003947978926317486
6.311000000000004,5827.145243020932,14.16147259080518,4589579.085220631,288.8973957210232,2896.361353114995,35.11695247559682,2.246483348493099,0.003970845491850117
6.351000000000004,5818.187942286226,14.186091128898134,4582917.487433367,288.83486065574414,2895.3436114633996,34.98968743691808,2.2487695937159624,0.003993684125215665
6.3910000000000045,5809.220167329082,14.21070526826915,4576245.309487484,288.77215740595557,2894.3263032768373,34.862548442024696,2.251045855407989,0.0040164948569964805
6.4310000000000045,5800.241821192822,14.235314737802433,4569562.481018336,288.7092848187075,2893.3094384746805,34.73553582179487,2.253312140009428,0.004039277717273345
6.4710000000000045,5791.252851573635,14.259919261310605,4562868.93108219,288.64624172990324,2892.292688802312,34.60864990940688,2.2555684538780323,0.00406203273562628
6.511000000000005,5782.253222121405,14.284518787045943,4556164.5881463215,288.58302696412585,2891.274544201866,34.48189104036179,2.2578148032924488,0.0040847599411341536
6.551000000000005,5773.2462274681675,14.309113916193102,4549449.37997088,288.5196393334407,2890.2628554984735,34.355259550553534,2.2600511944936543,0.004107459362556487
6.591000000000005,5764.241924930606,14.333685192018926,4542723.233234015,288.4560776337624,2889.2568639320775,34.22875576974144,2.2622776338148474,0.004130131028943872
6.631000000000005,5755.23312040206,14.35824797879227,4535986.082796724,288.39234073244415,2888.251516913133,34.102380188565036,2.2644941244558714,0.004152774954058937
6.671000000000005,5746.212025137154,14.382811558137895,4529237.859944098,288.3284274572283,2887.2463921461112,33.97613324565181,2.266700670636483,0.004175391156255519
6.711000000000005,5737.17947900329,14.407367740491246,4522478.489317269,288.26433656689784,2886.2418043014263,33.85001527363046,2.2688972786201504,0.004197979663506055
6.751000000000005,5728.135551183601,14.43191666170467,4515707.895597481,288.20006681435154,2885.2377495799287,33.72402662008643,2.271083954370252,0.004220540502111735
6.791000000000005,5719.080088475852,14.456458239617865,4508926.002942619,288.13561694119215,2884.234230160078,33.59816763759004,2.2732607037484645,0.004243073697635262
6.831000000000005,5710.012985041084,14.480992119369732,4502132.734797885,288.0709856758388,2883.231258860374,33.47243868052887,2.275427532580174,0.004265579275197928
6.871000000000005,5700.9341371558285,14.505517974851907,4495328.013920744,288.0061717336682,2882.228847445383,33.34684010578893,2.2775844466458497,0.004288057259417564
6.911000000000005,5691.843438282015,14.530035481048177,4488511.762371657,287.94117381682963,2881.2270076104714,33.22137227282525,2.279731451684288,0.004310507674403453
6.951000000000005,5682.740781094985,14.554544306158395,4481683.901500509,287.8759906140172,2880.225751295188,33.09603554365913,2.281868553397329,0.004332930543758055
6.991000000000005,5673.626057437883,14.579044113250923,4474844.351934349,287.8106208002527,2879.22509062102,32.97083028290422,2.283995757454135,0.00435532589057602
7.031000000000005,5664.272989707867,14.603534560294115,4467993.033564957,287.74506303666425,2878.227862798368,32.84575685779271,2.286113069495551,0.004377693737443168
7.071000000000005,5654.638062811393,14.628007154030598,4461129.865536092,287.67931597026023,2877.2393049655866,32.72081563820108,2.28822049513858,0.00440003410643549
7.111000000000005,5645.540432381847,14.652452413529902,4454254.770073643,287.6133782705787,2876.2521206911283,32.596007063583585,2.290318038737937,0.004422347012890949
7.151000000000005,5636.964177746512,14.67690049229454,4447367.674877521,287.5472486527746,2875.2650667983844,32.471331683809424,2.292405702655752,0.0044446324616189935
7.191000000000005,5627.9469743302725,14.701337130793558,4440468.4956211895,287.48092570952866,2874.276762839974,32.34678985492218,2.2944834929145954,0.0044668904752217025
7.231000000000005,5618.778435855311,14.725763180816548,4433557.148062497,287.41440802693455,2873.288737879362,32.22238195122413,2.296551415241454,0.004489121074341409
7.271000000000005,5609.596951752361,14.750177212762495,4426633.547015323,287.34769417451906,2872.3014077557186,32.09810834762474,2.29860947540157,0.004511324279305695
7.311000000000005,5600.402464442072,14.77457919908824,4419697.606897421,287.28078271040613,2871.314773507049,31.973969429348287,2.300657679026039,0.00453350010922561
