time,Gravity1,Gravity2,Gravity3,flipped,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
0.0,0.0,0.0,-56.70184439605676,1,0.0,0.0,-0.024533508305666654,0.0,0.0,-0.49067016611333303,0.0,0.0,-9.81340332226666,4.71238898038469,0.05,0.0,-0.0,0.0,-0.0,,,,,,,,,,
0.1,0.0,0.0,-56.6919998758511,0,-8.073348136886453e-20,-0.0004394926026838885,-0.11401914826938836,-1.6146696273772905e-18,-0.00878985205367777,-1.299042633161101,-3.229339254754581e-17,-0.17579704107355537,-6.354046018688695,4.71238898038469,0.049983913598345045,0.0,-0.00032172803309912876,0.0,-0.006434560661982575,"[0, 0, 0]",0.0,0.0,-0.49067016611333303,-0.0,-0.0,0.019396082946591755,-3.027547712898898e-18,-0.016481202117523706,0.0
0.2,0.0,0.0,-56.25998012553229,0,-3.84304230686179e-18,-0.020920547919271993,0.0977741570762069,-7.363150688248121e-17,-0.4008312542780843,5.534908740073005,-1.4080433525545327e-15,-7.665031003414575,143.03307348337083,4.71238898038469,0.04982387120276744,8.001098215613955e-35,-0.0028791198784529227,1.600219643122791e-33,-0.044713276245093296,"[0, 0, 0]",-1.6146696273772905e-18,-0.00878985205367777,-1.299042633161101,1.6898776249477133e-19,0.0009199265323543473,0.1359549373079995,-2.1221298168168253e-17,-0.11552336658996072,0.0007816781952702838
0.30000000000000004,0.0,0.0,-54.78118970420573,0,-2.6957889396563136e-17,-0.1467519147307467,2.3263011041721007,-3.8866543491154566e-16,-2.1157960819514092,39.03563020184487,-4.892635208026756e-15,-26.63426555005192,526.9813557520664,4.71238898038469,0.05020070492469037,4.825235157001548e-34,0.010415794316911538,6.450031027757513e-33,0.3106115601523825,"[0, 0, 0]",-7.363150688248121e-17,-0.4008312542780843,5.534908740073005,3.29184923268252e-17,0.1791999257785692,-2.474495750583656,1.2576094387529044e-16,0.6846106919037126,0.049578660681650594
0.4,0.0,0.0,-52.25560109991028,0,-9.916647626038729e-17,-0.539837153207117,9.869813903494107,-1.055506302364937e-15,-5.745908687575997,111.83462578459526,-8.444182141041072e-15,-45.96798656243984,928.9985559029413,4.71238898038469,0.058882025556972695,-8.133438412192497e-32,0.16321061832873487,-1.64278818378026e-30,2.7452849200840843,"[0, 0, 0]",-3.8866543491154566e-16,-2.1157960819514092,39.03563020184487,1.2238177104365127e-15,6.66215331793941,-122.91418605294928,1.0821269591983803e-15,5.890824793738057,0.31929250158399336
0.5,0.0,0.0,-49.28085805641951,0,-2.6170746762838625e-16,-1.4246690981192682,25.84882760052514,-2.1953135249950415e-15,-11.950730210667025,207.7456481560254,-1.4351962311561015e-14,-78.1284438993807,989.2218915256614,4.71238898038469,-0.0265862342229099,-2.079172849855891e-31,-1.8725758139263868,-8.88869833493022e-31,-43.46101356518652,"[0, 0, 0]",-1.055506302364937e-15,-5.745908687575997,111.83462578459526,9.513855813163678e-15,51.79101881885506,-1008.0266714181018,-1.6292862877446787e-14,-88.69421446679164,-4.556986298893553
0.6,0.0,0.0,-46.784849181789205,1,-2.0353802337739014e-16,-1.1080093924174776,49.99449818505887,3.3587024100149638e-15,18.283924324702838,275.16776353464934,1.254322810117611e-13,682.821534606778,359.2204160468181,1.5707963267948966,-3.6969520653716943,5.779783212868425e-30,-72.59819017796569,1.206428797905733e-28,-1532.876333403028,"[0, 0, 0]",-2.1953135249950415e-15,-11.950730210667025,207.7456481560254,3.671693109909254e-14,199.87766336468772,-3474.5755276565037,5.365324483914224e-13,2920.7466118120883,168.01822363696942
0.7,0.0,0.0,-44.76759087773099,1,7.072708320163425e-16,6.552265027567236,72.93244587710397,1.485747469785969e-14,134.9215640749914,183.5911903062526,1.0454316474513346e-13,1649.931260398993,-2190.7518806147527,4.71238898038469,6.081937828195324,4.035026392325658e-16,120.29790543443829,8.07005278465108e-15,-578.882028273576,"[0, 0, 0]",3.3587024100149638e-15,18.283924324702838,275.16776353464934,-7.428459851896347e-14,-404.38651955640495,-6085.899953083796,4.189868071835718e-13,5771.998537339115,-383.52888108462804
0.7999999999999999,0.0,0.0,-43.22921498409473,1,2.2598985877320294e-15,21.537999684451968,86.79491836198304,1.6195080416454047e-14,164.79312906270326,93.65825939132868,-7.779105037324633e-14,-1052.4999606447561,392.09326231627455,1.570796326794896,8.088885291692446,-1.2582611828625527e-14,37.45485081972538,-2.677923421418129e-13,2576.173096809697,"[0, 0, 0]",1.485747469785969e-14,134.9215640749914,183.5911903062526,-2.7091989727968364e-13,-2460.238837578273,-3347.709313372746,-1.8644574494732513e-13,-2800.5384381200665,2058.1217742146996
0.8999999999999999,0.0,0.0,-42.169813557724524,1,5.764528890311653e-15,35.84998393848994,94.76874191917867,5.389752563513842e-14,121.44655601805619,65.81821175258384,8.318399547469337e-13,185.56849975181478,-948.8942150911716,4.712388980384691,-3.153450100262474,5.56024391940518e-14,-64.40985313471768,1.6314933625953593e-12,2037.073050509851,"[0, 0, 0]",1.6195080416454047e-14,164.79312906270326,93.65825939132868,-2.4537538671734186e-13,-2496.818585169782,-1419.0378205267493,2.2985699550244666e-12,1202.5249550992926,-2115.8609119437306
