time,Direction of translational drag1,Direction of translational drag2,Direction of translational drag3,thrust1,thrust2,thrust3,Pitch torque due to z translational drag,Pitch torque after x translational drag,Yaw torque after x translational drag,Pitch torque after y translational drag,Yaw torque after y translational drag,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2
0.0,0.4821770437492815,-0.0,-0.0,19.823275603810075,-67.01288065164181,696.5029156946181,0.0,-0.16331050409713366,-0.5548455263237954,-0.16331050409713366,-0.5548455263237954,8.806270388534866e-05,-0.0002906281168786977,0.002775178431807874,0.01761254077706973,-0.058125623375739545,0.5550356863615747,3.5225081554139464,-11.625124675147909,111.00713727231495,4.999998196367264,0.09999946912760892,-0.0003607265471071832,-0.00010617447821849016,-0.07214530942143664,-0.021234895643698033
0.01,0.4820448375709886,0.0028068592602046674,-0.02680241458981545,20.089905100465042,-67.91467599087613,705.8791824631519,-0.0032109149583693813,-0.16647565483823182,-0.5546936914164686,-0.1632619103157352,-0.5556491253893971,0.0004415788507295754,-0.0014574010314781696,0.013920044614373774,0.05309068859177562,-0.17522895954415482,1.6739375501516054,3.5709445051460404,-11.788358256761969,112.70463331621545,4.9999909781233205,0.09999734547258413,-0.0010829222417491247,-0.0003185565267384235,-0.07229382950695164,-0.021241514060288638
0.02,0.4862728575397792,0.008566388233129989,-0.08183349926813786,20.355832754294624,-68.81548051344302,715.2555645341204,-0.009803402020859163,-0.17449615475816643,-0.5595601099659951,-0.16468795086964966,-0.5624759735227218,0.001152428330189714,-0.0038037287483790685,0.036342289538739345,0.08907920730025207,-0.294036583836025,2.810511434721509,3.620105920975422,-11.95120693982494,114.4003660441593,4.999976510873254,0.09999309286212123,-0.001810527771447294,-0.0005319655658400543,-0.07322727643268223,-0.021440293760037515
0.03,0.4965541978228738,0.01473173916643759,-0.14081146243930354,20.62079316112427,-69.71492082368371,724.6321053755878,-0.016868065983360766,-0.18503478897504425,-0.5713934188513092,-0.16816740246089926,-0.576407625456651,0.0022257620519463826,-0.0073466599386873555,0.07021880449533768,0.12558753705108167,-0.4145496542256325,3.964791556598159,3.6702431147319228,-12.114051766761156,116.09860174686158,4.999954697713069,0.09998668952429958,-0.002552104265465793,-0.0007487019984886969,-0.07508802237101758,-0.021906992769691006
0.04,0.5127748489246684,0.02152742121264799,-0.20589026426441867,20.884738466343315,-70.61293193518492,734.0088125788666,-0.024662402073272322,-0.19830983568324093,-0.5900626068031857,-0.17366142817742547,-0.5973893029947501,0.0036668310737980212,-0.012103263473946206,0.1157269241040525,0.16262626731924604,-0.5367710528261377,5.1368323651448025,3.7213310337070995,-12.276846400809282,117.79901381535522,4.99992535270193,0.09997808890289313,-0.00331689796238487,-0.0009714222828019845,-0.07787071701279775,-0.02263706409296651
0.05,0.5346266833564736,0.029171619935598248,-0.2791687827425026,21.147608714771437,-71.50943235988282,743.3856956536961,-0.033437144472378555,-0.21446673419040058,-0.6152133883672539,-0.18106557436846535,-0.6251407451327238,0.005480990308997005,-0.01809063494297719,0.1730445141360111,0.2002055797205506,-0.660703240980059,6.326685641246916,3.7733087202541578,-12.439542612814346,119.501284831497,4.999888198438605,0.09996721831837571,-0.00411395470262384,-0.0012026946206827294,-0.08154063103499631,-0.02361740348318244
0.060000000000000005,0.5616656272996228,0.037867559704724565,-0.3626077963497866,21.409330671435935,-72.40432219114007,752.7627662438595,-0.04342625722145694,-0.2335877992638557,-0.6463351361867954,-0.19022936759925618,-0.6592201780966933,0.007673692898438195,-0.025325892379112244,0.24234994566590884,0.23833493816768742,-0.7863482462469519,7.534400664732632,3.8260891158477657,-12.602091441513762,121.20512106587088,4.999842869328073,0.0999539802151078,-0.004951867403941181,-0.0014449260328994703,-0.08604190922847205,-0.024828878960165723
0.07,0.5933756285223681,0.04779921067755462,-0.4579884375930324,21.66981758898379,-73.29748288265266,762.1400381518499,-0.05484189507206705,-0.25570887164754685,-0.682834482138406,-0.20097787355516855,-0.6990964335581551,0.010250482003751,-0.033826171903781226,0.3238220714437076,0.2770228828948734,-0.9137076586868447,8.760024490827124,3.8795700751205984,-12.764443896681819,122.91025977512544,4.999788916933379,0.09993825400466608,-0.0058386115348132385,-0.001700316055445723,-0.09130691694593937,-0.026249125549084824
0.08,0.6292232680451721,0.059130666678768755,-0.5669057092170868,21.928969302960425,-74.18877748206695,771.5175273095714,-0.06787356537309253,-0.2808369956802974,-0.7240981536241642,-0.21313008004289605,-0.7442115515856499,0.013216981052183075,-0.04360862335406056,0.41764020524417567,0.31627692679154157,-1.0427826313690214,10.003602269266487,3.933643847164584,-12.926551104215372,124.61647040839878,4.999725816535659,0.09991989824258705,-0.006781468009092862,-0.001970836360358042,-0.09726437790998528,-0.027854935433378997
0.09,0.6686960169940876,0.0720079030467405,-0.6907848296032658,22.186672555359422,-75.07805117556292,780.8952517117037,-0.08269002341037165,-0.30896528329299233,-0.7695369925404155,-0.2265117412024389,-0.7940253757146275,0.016578883348924652,-0.05469040591348727,0.523984104369277,0.35610353255677374,-1.1735738805163198,11.265177555753773,3.9882037800215078,-13.088364090778793,126.32355183240315,4.999652974116406,0.09989875290727118,-0.007787015841477316,-0.0022582307028158497,-0.10384518856690572,-0.029623933058182523
