time,thrust,combustion_chamber.pressure,ox_tank.pressure,combustion_chamber.temperature,ox_tank.temperature,combustion_chamber.fuel_grain.geometry.effective_radius,OF,combustion_chamber.cstar,specific_impulse,fuel_flow,ox_flow,mass_flow,mass_flow_out,combustion_chamber.ideal_gas_constant,propellant_CG,propellant_mass,combustion_chamber.fuel_grain.regression_rate,combustion_chamber.fuel_grain.flux,combustion_chamber.fuel_grain.geometry.port_area,combustion_chamber.fuel_grain.geometry.burn_area,combustion_chamber.fuel_grain.geometry.length_regressed,nozzle.exit_pressure,ox_tank.ox_mass,ox_tank.oxidizer_center_of_mass,fuel_grain.fuel_mass,fuel_grain.total_CG
4.255000000000003,6712.124164656437,2901652.386611315,4495043.204346149,2216.5045587687864,288.0034573540643,0.07030628687721106,2.297691031543513,1296.6982288847967,192.01934944744238,1.080740525552026,2.483207812986513,3.563948338538539,3.563247428152163,379.5264215704244,2.12948412637333,31.45449051123709,0.0030469387351402476,159.7060784568728,0.01552881072505128,0.36150780612644284,0.015544787440598288,84873.76165283543,25.391432451423466,1.8762503110911992,6.063058059813624,3.19
4.295000000000003,6704.038241505475,2898487.954951542,4489528.734453974,2217.0476552035166,287.95087610256104,0.0704219951388499,2.299691688360908,1296.8606259783367,192.0198388549121,1.078773081654937,2.480845489509342,3.559618571164279,3.558945804896491,379.52683809299765,2.1302279973527556,31.317884370499854,0.0030383509563665103,159.02865452185347,0.01557996661301543,0.36187307745262237,0.015666587173846266,84766.00811892498,25.292104138904005,1.8777399817855684,6.02578023159585,3.19
4.335000000000003,6695.9695064768775,2895331.0180026833,4484007.636524367,2217.5791261787613,287.8981828913126,0.07053718852023656,2.301649895972741,1297.0195743419047,192.02216228242366,1.076821809804612,2.478466806517964,3.555288616322576,3.5546193773372776,379.52725320154684,2.1309607895153686,31.181477710224605,0.003029834119764499,158.35778290106992,0.015630978427941648,0.36223732004581094,0.015788043876051542,84658.80418945606,25.19287031932363,1.879216150545129,5.988607390900975,3.19
4.375000000000003,6687.882096429274,2892167.12506484,4478479.8992099995,2218.1072113517944,287.8453773384318,0.07065187140016632,2.3035957892454255,1297.1775220409957,192.02288892781976,1.074878796314595,2.4760862691394925,3.550965065454087,3.5503126634534885,379.52766849975427,2.13168241306201,31.04527058298838,0.0030213656806485807,157.69166902715656,0.01568184699567723,0.36260053980285345,0.01590915951351722,84551.5066589305,25.093731647062913,1.8806787594872993,5.951538935925465,3.19
4.415000000000003,6679.795370249494,2889004.0517191845,4472945.478566169,2218.627521802546,287.792458748534,0.07076604853437833,2.305513282209194,1297.3331624838938,192.0238935512469,1.0729480536072369,2.473695988711987,3.5466440423192243,3.5460012119220536,379.52808274697554,2.132392784128235,30.909262326231833,0.003012956624654855,157.03116031197695,0.01573257332723398,0.3629627439427354,0.01602993649341424,84444.45478600486,24.994688196297332,1.8821277586355847,5.914574129934502,3.19
4.455000000000003,6671.698527349296,2885837.4563462427,4467404.34800752,2219.142544066365,287.7394265896117,0.0708797243649696,2.307411487273651,1297.487235829582,192.02415653845134,1.0710271269421758,2.471300295888071,3.542327422830247,3.541698113725519,379.5284966474325,2.133091814368447,30.773452681248695,0.0030045997810573344,156.37567624935906,0.015783158312441693,0.36332393881915986,0.016150376934384987,84337.45756759563,24.895740356748853,1.8835630926059181,5.877712324499844,3.19
4.495000000000003,6663.597199248841,2882669.599888628,4461856.470982725,2219.651005656673,287.6862802319039,0.07099290339815581,2.309285740084848,1297.6393632107513,192.02423730602158,1.0691170926669797,2.4688968565768272,3.538013949243807,3.537396003108418,379.5289098463307,2.1337794165587196,30.63784118254438,0.0029962978907446375,155.7254153702751,0.015833602887187152,0.3636841311146929,0.016270483064731313,84230.61311843438,24.79688834491333,1.8849847077951418,5.84095283763105,3.19
4.535000000000003,6655.488063166612,2879499.1452313927,4456301.815904022,2220.1536866305946,287.6330190906521,0.07110559000112739,2.3111388988958663,1297.7897767895013,192.023833512329,1.0672171078690005,2.4664869715631927,3.5337040794321934,3.533098666766954,379.52932256517056,2.1344555015339597,30.502427490498505,0.0029880483203034765,155.0801550043841,0.015883907942743292,0.36404332719334176,0.01639025700653165,84123.86198537266,24.698132470650258,1.886392548476467,5.8042950198482455,3.19
4.575000000000003,6647.372680926834,2876326.718193652,4450740.347979896,2220.6502435794514,287.5796425478825,0.07121778851459239,2.3129697044347663,1297.9383742783493,192.02311316675838,1.065327380476456,2.464069956346892,3.529397336823348,3.528803813797923,379.5297347111837,2.13511997981015,30.367211209731106,0.002979851383586591,154.43990374728355,0.0159340743754992,0.3644015334556452,0.016509700894045718,84017.23073662542,24.59947299178773,1.8877865588939766,5.767738217943375,3.19
4.615000000000003,6639.249952653467,2873151.874952387,4445172.033678531,2221.1409460224954,287.526149995142,0.071329503193594,2.31477914385334,1298.0852358578293,192.02198736449805,1.0634475497814782,2.461646208816102,3.5250937585975803,3.5245124709322835,379.5301463624856,2.1357727606721766,30.232191988008243,0.0029717058085377665,153.8045465105175,0.015984103060208466,0.36475875614765624,0.01662881681002016,83910.69908047684,24.500910193533855,1.889166682111343,5.731281794474388,3.19
4.655000000000003,6631.120232994154,2869974.756297478,4439596.838281743,2221.6257268333716,287.4725408100054,0.07144073824169105,2.3165669704846326,1298.2303414901562,192.0205074667014,1.0615775695735918,2.459215534281535,3.5207931038551266,3.5202238577369434,379.53055750370754,2.13641375263218,30.09736946208076,0.002963611206663088,153.17403759672007,0.016033994864900043,0.3651150014674121,0.016747606821190582,83804.27237451791,24.402444345181213,1.8905328606165486,5.694925116899547,3.19
4.695000000000003,6622.983084996904,2866795.1848898893,4434014.72721978,2222.104701741513,287.4188143688559,0.07155149779428265,2.318333607856022,1298.3737255749165,192.01864811931688,1.0597172262167813,2.4567780603623266,3.516495286579108,3.5159381828279304,379.5309681701174,2.137042863145956,29.962743287074694,0.002955566726588888,152.54829555933574,0.016083750643073623,0.3654702755092056,0.016866072959699108,83697.94204341133,24.30407572380995,1.8918850359759691,5.658667563264741,3.19
4.735000000000003,6614.838506043672,2863613.158007145,4428425.665336373,2222.5778850648126,287.3649700397894,0.07166178592956879,2.3200791078212903,1298.5153923219957,192.01642583182903,1.057866401564127,2.454333737135019,3.512200138699146,3.5116551175630533,379.53137836903966,2.1376599987303813,29.828313120266692,0.0029475717877541587,151.92726040048134,0.01613337123827244,0.36582458429623693,0.016984217233982003,83591.7071907862,24.20580460139546,1.893223149002763,5.622508518871232,3.19
4.775000000000003,6606.686258377647,2860428.578442317,4422829.61728701,2223.0453453495734,287.3110071864106,0.07177160666441415,2.3218037209992723,1298.6553620862644,192.01383415452125,1.0560249293189865,2.4518826103608165,3.507907539679803,3.507374629336921,379.53178812272876,2.138265064863299,29.694078629778325,0.0029396256798019456,151.3108623685524,0.01618285748189775,0.3661779337650083,0.017102041623566072,83485.56279223162,24.10763125191006,1.8945471396465121,5.586447377868265,3.19
4.815000000000003,6598.526234695031,2857241.401465525,4417226.547316314,2223.5071201647543,287.25692516565545,0.07188096395839057,2.323507584482774,1298.7936460012572,192.01087912831002,1.0541926733866773,2.4494246721201165,3.503617345506794,3.5030965263708667,379.532197444983,2.1388579660006526,29.560039489659513,0.0029317277807446246,150.6990389130962,0.016232210194703518,0.36653032977599637,0.017219548082627427,83379.50614506901,24.009555947495627,1.8958569470335103,5.550483542163884,3.19
4.855000000000003,6590.3582583052275,2854051.55448664,4411616.419375546,2223.9632628011263,287.2027233288878,0.07198986171331803,2.3251908929981946,1298.930259881892,192.00755989296036,1.0523694849739442,2.4469599425306154,3.4993294275045597,3.498820706358232,379.5326063539182,2.1394386055296217,29.426195382415415,0.002923877437478638,150.0917253979517,0.01628143018627539,0.36688177810993217,0.017336738538750934,83273.53334106531,23.91157896061082,1.8971525094251471,5.514616421804595,3.19
4.895000000000003,6582.182192284,2850858.980937966,4405999.197053542,2224.4138167037754,287.1484010211981,0.0720983037752168,2.326853805195894,1299.0652166127409,192.0038792999004,1.0505552259446773,2.4444884250578043,3.4950436510024816,3.4945470204936164,379.5330148650012,2.1400068857558483,29.292545997467624,0.002916074030631271,149.48886012122617,0.016330518255603423,0.36723228447189005,0.017453614894293864,83167.64119342768,23.813700562909595,1.8984337642203413,5.4788454345580275,3.19
