time,Gravity1,Gravity2,Gravity3,flipped,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
0.0,0.0,0.0,-56.50557632961142,1,0.0,0.0,-0.02453350830566665,0.0,0.0,-0.490670166113333,0.0,0.0,-9.813403322266659,,,,,,,,,,
0.1,0.0,0.0,-56.37670691468448,0,-1.045543219647543e-18,-0.0056916721913915155,-0.008937405072781552,-2.091086439295086e-17,-0.1138334438278303,0.8025922307710349,-4.1821728785901717e-16,-2.276668876556606,35.678651259954016,"[0, 0, 0]",0.0,0.0,-0.490670166113333,-0.0,-0.0,0.0012122551841619845,-1.8922173205618112e-19,-0.0010300751323452316,0.0
0.2,0.0,0.0,-56.11896693971931,0,-6.282394483871982e-18,-0.03419976267576921,0.364487568547371,-8.382616089153791e-17,-0.4563283658597236,6.665907241632016,-8.400886421127238e-16,-4.5732295640812595,81.58764895726561,"[0, 0, 0]",-2.091086439295086e-17,-0.1138334438278303,0.8025922307710349,8.535047281799083e-20,0.0004646263334996679,-0.0032758868829662552,5.113354004285047e-19,0.0027835802713866357,0.0003948013901888157
0.30000000000000004,0.0,0.0,-55.73235085806729,0,-1.9932482763382603e-17,-0.1085073823040808,1.5555502415002005,-1.8917560469867451e-16,-1.0298240267065082,17.155346217424572,-1.2669002340300084e-15,-6.89668365285443,128.2011305585855,"[0, 0, 0]",-8.382616089153791e-17,-0.4563283658597236,6.665907241632016,2.8192967499649836e-18,0.015347536677121321,-0.2241921903857383,9.317695644272749e-18,0.05072317259561476,0.0034723589187105404
0.4,0.0,0.0,-55.21685087519578,0,-4.627030719306124e-17,-0.25188382057192016,4.030872739719243,-3.375808838948982e-16,-1.8377047386502796,32.35110374695627,-1.7012053498944653e-15,-9.260930586020997,175.71402003204844,"[0, 0, 0]",-1.8917560469867451e-16,-1.0298240267065082,17.155346217424572,1.6350487320460323e-17,0.08900790732394119,-1.4827401834020557,3.317732244884592e-17,0.1806089313367484,0.010841834059836046
0.5,0.0,0.0,-54.5922461911607,0,-8.950286870735483e-17,-0.4872309238858106,8.24756844860357,-5.270703463909736e-16,-2.869237327627528,51.982810430730254,-2.088583900027042e-15,-11.369721193523965,216.92011364343125,"[0, 0, 0]",-3.375808838948982e-16,-1.8377047386502796,32.35110374695627,5.492899542750021e-17,0.2990195239190267,-5.263964029267718,7.436585639739156e-17,0.404828866843719,0.022996307413816287
0.6,0.0,0.0,-53.94723353852494,0,-1.5298492677177274e-16,-0.8328111521802957,14.552211223053911,-7.425708148973848e-16,-4.042367238262175,74.11004505827657,-2.2214254701011804e-15,-12.092877019168972,225.6245789074949,"[0, 0, 0]",-5.270703463909736e-16,-2.869237327627528,51.982810430730254,1.3749493628241342e-16,0.7484875714268133,-13.560567876554769,1.0102361566830065e-16,0.5499469492680776,0.030354809637639164
0.7,0.0,0.0,-53.28180825922371,0,-2.389488233085024e-16,-1.3007768088718472,23.111180523925665,-9.76707115837208e-16,-5.316945895568853,97.0693409591585,-2.461300548695285e-15,-13.398696126964598,233.56133911014345,"[0, 0, 0]",-7.425708148973848e-16,-4.042367238262175,74.11004505827657,2.754815541787585e-16,1.499651732894521,-27.493607321118738,-2.395605393081976e-17,-0.13041068356742425,-0.007113312026146155
0.7999999999999999,0.0,0.0,-52.60681271515214,0,-3.4977689869790323e-16,-1.904096750951276,33.99338896877426,-1.239854391950809e-15,-6.749452946019724,120.57482793781347,-2.8016449735767366e-15,-15.251444882052803,236.54840046295612,"[0, 0, 0]",-9.76707115837208e-16,-5.316945895568853,97.0693409591585,4.733141596755116e-16,2.5766022769724377,-47.0399905983664,-4.9758241021828585e-16,-2.7087124797382236,-0.1483689655159833
0.8999999999999999,0.0,0.0,-51.9513167423481,0,-4.878988185326892e-16,-2.6559974618661935,47.21060407317104,-1.5225840047449098e-15,-8.288561272278626,143.76947415012205,-2.8529472823052788e-15,-15.530721643125252,227.3445237832152,"[0, 0, 0]",-1.239854391950809e-15,-6.749452946019724,120.57482793781347,7.441551345343386e-16,4.050991872663196,-72.3684796279515,-8.490685317388895e-16,-4.622113806364652,-0.2587334369932191
0.9999999999999999,0.0,0.0,-51.315321385391705,0,-6.51844823165284e-16,-3.5484779427511874,62.69895747869556,-1.7563360879069853e-15,-9.561048345421254,165.9975939603683,-1.8220943809362304e-15,-9.919019819727307,217.21787242170976,"[0, 0, 0]",-1.5225840047449098e-15,-8.288561272278626,143.76947415012205,1.0862980461280676e-15,5.913531133408646,-102.57332165281925,1.4533707619915425e-15,7.911781927673277,0.45612804573493604
1.0999999999999999,0.0,0.0,-50.6988288163487,0,-8.321295170795699e-16,-4.529902105428444,80.35703531976563,-1.8493577903787327e-15,-10.067434908123865,187.1639628610331,-3.833966849871885e-17,-0.20871143432491865,206.10950559158633,"[0, 0, 0]",-1.7563360879069853e-15,-9.561048345421254,165.9975939603683,1.4498523875487073e-15,7.8926287892865705,-137.03072526260516,6.550616100338607e-15,35.65989314850834,2.0539211096446364
1.2,0.0,0.0,-50.10184166408277,0,-1.0295405686488336e-15,-5.604557816809656,100.06684214770651,-2.0988632410065378e-15,-11.425679319500382,207.03217369778457,-4.9517693440573835e-15,-26.956176793205454,191.25471114344307,"[0, 0, 0]",-1.8493577903787327e-15,-10.067434908123865,187.1639628610331,1.7640823980414643e-15,9.603217293724674,-178.5336802583876,-9.535865770677673e-15,-51.91083544695999,-2.7922520387998393
