time,AOA,CD,CL,Stability [Calibers],Stability [Lengths],Thrust,Mass,Gravity1,Gravity2,Gravity3,Mach,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3
0.05,1.5707963267948966,0.9746275096793588,11.852054554651149,-1.1800486893840796,-0.04140521717137122,0.0,120.244,0.0,0.0,-1179.0433135913456,0.0008307001232842354,0.0,0.0,-1179.0433135913456,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.1,1.5707963267948966,0.9746275096793588,11.852054554651149,-1.1800486893840796,-0.04140521717137122,4579.0698934444445,120.12397814950128,0.0,0.0,-1177.8664485476397,0.0023987270581264605,0.0,0.0,3401.2034448968047,1.5707963267948966,0.0,0.0,0.0,0.017696318302203418,0.0,0.0,0.7078527320881367,0.0,0.0,28.314109283525468,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.15000000000000002,0.0,0.9746275096793588,0.0,3.2244791622715363,0.11313961972882583,5398.0542940000005,119.98248992579325,0.0,0.0,-1176.479090095995,0.007778260110496494,0.0,0.0,4221.566658096933,1.5707963267948966,0.0,0.0,0.0,0.0927758083522536,0.0,0.0,2.2953268699138705,0.0,0.0,35.18485622950388,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,0.7078527320881367,-0.0,-0.0,-0.008545807072847572
0.2,0.0,0.9746275096793588,0.0,3.2250667245534204,0.11316023594924282,6217.0386945555565,119.81953532887587,0.0,0.0,-1174.8812236317945,0.014324061426908109,0.0,0.0,5042.0676136726415,1.5707963267948966,0.0,0.0,0.0,0.25583300813598053,0.0,0.0,4.226961121435207,0.0,0.0,42.080513831349585,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,2.2953268699138705,-0.0,-0.0,-0.08985725112013203
0.25,0.0,0.9556019211162162,0.0,3.229492290355639,0.11331551895984698,6850.9465696666675,119.63996539347559,0.0,0.0,-1173.1204044392823,0.021909379217394134,0.0,0.0,5677.527384949041,1.5707963267948966,0.0,0.0,0.0,0.5231408273617238,0.0,0.0,6.465351647594525,0.0,0.0,47.45510721502313,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,4.226961121435207,-0.0,-0.0,-0.2987802783439265
0.3,0.0,0.9306193185915254,0.0,3.2338400247588046,0.11346807104416858,6744.548343,119.46318425849798,0.0,0.0,-1171.3868924724175,0.02988147859771211,0.0,0.0,5572.480738635732,1.5707963267948966,0.0,0.0,0.0,0.9052216072217396,0.0,0.0,8.817879546806108,0.0,0.0,46.64600875344017,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,6.465351647594525,-0.0,-0.0,-0.6807118918505355
0.35,0.0,0.9305823987187085,0.0,3.2341148154377777,0.11347771282237817,6638.150116333333,119.28919192394305,0.0,0.0,-1169.6806840323798,0.03771602902228496,0.0,0.0,5467.203315461026,1.5707963267948966,0.0,0.0,0.0,1.4039140312832787,0.0,0.0,11.129817415655458,0.0,0.0,45.83150600053382,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,8.817879546806108,-0.0,-0.0,-1.2661168399270764
0.39999999999999997,0.0,0.930577426899411,0.0,3.2382789539304455,0.11362382294492791,6531.751889666667,119.1179883898108,0.0,0.0,-1168.0017786197945,0.04541214469465886,0.0,0.0,5361.73314825715,1.5707963267948966,0.0,0.0,0.0,2.0171820631721924,0.0,0.0,13.400903859901083,0.0,0.0,45.01195176929117,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,11.129817415655458,-0.0,-0.0,-2.0169627897222147
0.44999999999999996,0.0,0.9305951388554103,0.0,3.242453715371181,0.11377030580249758,6425.353663,118.94957365610124,0.0,0.0,-1166.3501771513047,0.0529689793566594,0.0,0.0,5256.079521869143,1.5707963267948966,0.0,0.0,0.0,2.742976888491124,0.0,0.0,15.630889152856165,0.0,0.0,44.1874599489121,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,13.400903859901083,-0.0,-0.0,-2.92396397955244
0.49999999999999994,0.0,0.930290117363692,0.0,3.2466390740646403,0.11391716049349615,6318.955436333334,118.78394772281435,0.0,0.0,-1164.7258805380754,0.060385707134101574,0.0,0.0,5150.253085193596,1.5707963267948966,0.0,0.0,0.0,3.579237356888788,0.0,0.0,17.819529583050386,0.0,0.0,43.358157258856686,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,15.630889152856165,-0.0,-0.0,-3.9764706016626072
0.5499999999999999,0.0,0.9294829403942627,0.0,3.2508350008548144,0.11406438599490576,6293.162841858695,118.61899783837363,0.0,0.0,-1163.1081732856062,0.06771917228164105,0.0,0.0,5124.891573615337,1.5707963267948966,0.0,0.0,0.0,4.524315586830051,0.0,0.0,19.983599614600127,0.0,0.0,43.20464400313301,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0,17.819529583050386,-0.0,-0.0,-5.163094957752267
