time,AOA1,AOA,CD,CL,Thrust,Gravity1,Gravity2,Gravity3,flipped,Net Force1,Net Force2,Net Force3,Target Heading1,Target Heading2,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
18.36000000000007,3.0322987368276175,3.0322987368276175,1.0515280356487264,0.9057786899040974,0.0,0.0,0.0,-41.451221476686975,1,-1.3815603211910004e-06,-6.514521386494514,-35.35798150862838,1.5707963416960578,3.0344778513170167,8.890806886291221e-08,154.59375468754925,1569.0052933312813,-8.10297634355306e-08,4.228379856080852,-39.32412543111688,-3.2691754782747555e-07,-1.5415261456745328,-8.366731755125416,1.5707962151559878,0.6147692570074699,5.677855044920914e-08,83.18352185010299,3.6950750325047333e-07,2.8677711218304,"[0, 0, 0]",-7.857147207639798e-08,4.243764797136884,-39.240426068544565,1.3453884529693439e-08,-0.7266647810332715,6.719183786054546,-1.395014205720694e-06,-5.787856605461243,-0.6259438179959513
18.370000000000072,2.419708594309548,2.419708594309548,1.0515208462964527,0.9057945460911867,0.0,0.0,0.0,-41.45122658695935,0,5.69950036556763e-07,5.086960195549221,-34.078589648711784,1.5707963416960578,3.0347418375413144,8.809296996074445e-08,154.6360300410426,1568.61164130892,-8.199001699802235e-08,4.226690842590963,-39.406279041147954,1.3486683532912304e-07,1.2037234476966534,-8.063990251089024,1.57079621573304,1.4466775433481027,5.863190152238261e-08,83.19813541802358,1.1627113842219687e-09,0.054942462287550085,"[0, 0, 0]",-8.10297634355306e-08,4.228379856080852,-39.32412543111688,1.390392251020154e-08,-0.7255490250742374,6.747639010580491,5.560461140465614e-07,5.812509220623458,0.6249979276670797
18.380000000000074,1.5880642941932117,1.5880642941932117,1.051513662570418,0.9058103655823367,0.0,0.0,0.0,-41.451231708020664,0,6.609531318556452e-07,5.1102012185361545,-34.04928236911122,1.5707963416960578,3.0346562356690487,8.728035148232808e-08,154.67835727312854,1568.21717549237,-8.053367868525308e-08,4.238755574594195,-39.48688426886458,1.5640082722473108e-07,1.209222952949772,-8.05705529223594,1.570796216320714,2.2787555715589125,5.8902942450732975e-08,83.21747022413842,5.304547428585114e-08,3.812018760681212,"[0, 0, 0]",-8.199001699802235e-08,4.226690842590963,-39.406279041147954,1.4098119767927064e-08,-0.7267762088924222,6.775879087131525,6.468550120877181e-07,5.836977427428577,0.6260702517779199
18.390000000000075,0.7559006641101377,0.7559006641101377,1.051506485122066,0.9058261470033281,0.0,0.0,0.0,-41.45123683966968,0,-7.200569938350387e-07,-6.591629134406785,-35.27651837583948,1.5707963416960578,3.0349200174461632,8.647466505294946e-08,154.72073606514599,1567.821896536919,-8.060360719046948e-08,4.237002828897495,-39.56890682131157,-1.703865282680123e-07,-1.5597720922896239,-8.347455197163233,1.5707962169111853,3.111031316394682,5.919130604489007e-08,83.23767874301554,4.627244545567207e-09,0.22968501474056466,"[0, 0, 0]",-8.053367868525308e-08,4.238755574594195,-39.48688426886458,1.3876585919809994e-08,-0.7303709067334663,6.803900569400284,-7.339335797548487e-07,-5.86125822767332,-0.6291821055700797
18.400000000000077,0.07611129894851822,0.07611129894851822,1.0514993133163253,0.9058418918108995,0.0,0.0,0.0,-41.45124198189785,1,-4.046955701214905e-07,5.154204912023843,-33.98878161345273,1.5707963416960578,3.0351812338337543,8.566197524786204e-08,154.76309759002046,1567.4257977138498,-8.193435382701283e-08,4.235302146000189,-39.65085779252401,-9.576279904065739e-08,1.2196355128284069,-8.042739045324238,4.71238887107922,2.3396950797950318,5.645707176009991e-08,-83.25410345495895,-5.514741015035983e-07,-3.0552573739416062,"[0, 0, 0]",-8.060360719046948e-08,4.237002828897495,-39.56890682131157,1.3917523161316076e-08,-0.7315874197341757,6.832215037873342,-4.186130932828066e-07,5.885792331758019,0.6302453305717816
18.41000000000008,0.9083089935507995,0.9083089935507995,1.0514921470536303,0.9058576002802471,0.0,0.0,0.0,-41.45124713479275,0,5.968522446669283e-07,5.177548571817848,-33.95936620076648,1.5707963416960578,3.035090731084649,8.48437684567154e-08,154.80551173135092,1567.0288871729858,-8.170700440231698e-08,4.247526120089079,-39.73125038024574,1.4123268397982687e-07,1.2251593049496194,-8.035778499022914,4.712388871629565,1.5071029934967242,5.3611908404949936e-08,-83.26431380470258,-1.7558569526396775e-08,1.0131874252144981,"[0, 0, 0]",-8.193435382701283e-08,4.235302146000189,-39.65085779252401,1.417664377732208e-08,-0.7328106832933506,6.860566540582699,5.826756008896061e-07,5.9103592551111985,0.6313143934435688
18.42000000000008,1.740991582598212,1.740991582598212,1.0514849868813816,0.9058732712702936,0.0,0.0,0.0,-41.45125229824833,0,-6.452222222812082e-07,-6.671181764434247,-35.197017632271375,1.5707963416960578,3.0353518506842625,8.402641226893455e-08,154.8479781566202,1566.631165558646,-8.176423315385096e-08,4.245758933766505,-39.81307248773006,-1.5267843428662375e-07,-1.5785965694643769,-8.328642997841136,4.712388872164105,0.6745677724759988,5.329609116022369e-08,-83.24273039944251,-4.560487941885213e-08,3.3034936268003463,"[0, 0, 0]",-8.170700440231698e-08,4.247526120089079,-39.73125038024574,1.4166549407444075e-08,-0.7364459030142199,6.888696087300461,-6.593887716886522e-07,-5.934735861420028,-0.6344614213235077
18.43000000000008,2.573265684019325,2.573265684019325,1.0514778323784497,0.9058889057621586,0.0,0.0,0.0,-41.45125747225623,1,-7.575823172805905e-07,-6.697026612261918,-35.16965655846862,1.5707963416960578,3.035963908390777,8.320047132362723e-08,154.89035666323824,1566.2326185634795,-8.34239559076119e-08,4.229942389840328,-39.89632654556005,-1.7926611646556352e-07,-1.5847122157710922,-8.322168568157304,1.5707962191065992,0.15779550047240276,5.316127837028075e-08,83.22992419023781,1.8642321430264274e-08,0.7422517858611428,"[0, 0, 0]",-8.176423315385096e-08,4.245758933766505,-39.81307248773006,1.4205715136970553e-08,-0.7376580153310482,6.917121884137858,-7.71788032417561e-07,-5.95936859693087,-0.6355209703502408
18.440000000000083,2.8781684079183742,2.8781684079183742,1.051470682904355,0.9059045052094732,0.0,0.0,0.0,-41.45126265700257,0,3.5921492002450573e-07,5.2478382035206605,-33.87094421783271,1.570796347868321,3.0362205514956497,8.236387513034109e-08,154.9326475141284,1565.833246872428,-8.389528274961726e-08,4.22822778819153,-39.97801166476956,8.500074806449148e-08,1.2417918860114223,-8.014855273745402,1.5707962196357546,0.9900566289448899,5.266978150627868e-08,83.2223015042596,-1.1694169423067827e-07,-2.2667889815014615,"[0, 0, 0]",-8.34239559076119e-08,4.229942389840328,-39.89632654556005,1.45238946016415e-08,-0.7364220117911108,6.945847094353804,3.446910254228642e-07,5.984260215311771,0.6344713448160609
18.450000000000085,2.0461639225507615,2.0461639225507615,1.051463539121333,0.9059200682213867,0.0,0.0,0.0,-41.451267852478466,0,6.170049637639445e-07,5.2713260009439225,-33.84138883825929,1.5707963416960578,3.0361224789578865,8.153069735670347e-08,154.9749920205521,1565.4330661878582,-8.274027197790728e-08,4.240673496548128,-40.058125249174225,1.4600140627750615e-07,1.2473497853081117,-8.007861607188069,1.570796220160269,1.8222722435829617,5.223311071626413e-08,83.22082142335478,2.9607536227768156e-08,1.9707728005367913,"[0, 0, 0]",-8.389528274961726e-08,4.22822778819153,-39.97801166476956,1.4635918730803931e-08,-0.7376338246333691,6.974348384890189,6.023690450331406e-07,6.008959825577292,0.635530629328982
