time,position,velocity,acceleration,rotation,angular_velocity,angular_acceleration,Angle to Body
0.3900000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.58888281e-15 1.30570042e+02],[360.32235965],[9.43118548],[1.78754406e-16],[3.14159265]
0.4000000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.58303797e-15 1.30481280e+02],[360.32235965],[9.43118548],[1.885634e-16],[3.14159265]
0.4100000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.57702814e-15 1.30390006e+02],[360.32235965],[9.43118548],[1.9864147e-16],[3.14159265]
0.4200000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.57085312e-15 1.30296215e+02],[360.32235965],[9.43118548],[2.08988953e-16],[3.14159265]
0.4300000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.56451269e-15 1.30199905e+02],[360.32235965],[9.43118548],[2.19606163e-16],[3.14159265]
0.4400000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.55800669e-15 1.30101073e+02],[360.32235965],[9.43118548],[2.30493396e-16],[3.14159265]
0.45000000000000023,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.55133493e-15 1.29999717e+02],[360.32235965],[9.43118548],[2.41650924e-16],[3.14159265]
0.46000000000000024,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.54449725e-15 1.29895834e+02],[360.32235965],[9.43118548],[2.53078996e-16],[3.14159265]
0.47000000000000025,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.53749352e-15 1.29789421e+02],[360.32235965],[9.43118548],[2.64777842e-16],[3.14159265]
0.48000000000000026,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.53032360e-15 1.29680477e+02],[360.32235965],[9.43118548],[2.7674767e-16],[3.14159265]
0.49000000000000027,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.52298736e-15 1.29569000e+02],[360.32235965],[9.43118548],[2.88988663e-16],[3.14159265]
0.5000000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.51548471e-15 1.29454988e+02],[360.32235965],[9.43118548],[3.01500986e-16],[3.14159265]
0.5100000000000002,[-0.00534751 -0.32757871],[-1.62957780e-05 -1.09416424e+02],[8.50781555e-15 1.29338440e+02],[360.32235965],[9.43118548],[3.1428478e-16],[3.14159265]
