time,AOA1,AOA,CD,CL,Thrust,Gravity1,Gravity2,Gravity3,flipped,Net Force1,Net Force2,Net Force3,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2,air speed,relative velocity1,relative velocity2,relative velocity3,Drag1,Drag2,Drag3,Lift1,Lift2,Lift3
0.0,1.5707963267948966,1.5707963267948966,1.0547467605052772,0.896237378988186,0.0,0.0,0.0,-56.70184439605676,0,0.0,0.0,-56.70184439605676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,
0.01,1.5707963267948966,1.5707963267948966,1.0547467605052772,0.896237378988186,1.9990283021811717,0.0,0.0,-56.70174594648855,0,1.2240314050741432e-18,0.01998994985209387,-54.70281759488956,5.296095233314947e-24,8.649179889258347e-08,0.0,1.0592190466629895e-21,1.7298359778516694e-05,0.0,2.1184380933259789e-19,0.003459671955703339,0.0,1.5707963267948966,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,
0.02,1.5607963267948965,1.5607963267948965,1.0547467605052772,0.896237378988186,3.9980566043623433,0.0,0.0,-56.701549047352145,0,2.4480628101482865e-18,0.03997989970418774,-52.70369234415417,3.177660818183287e-23,5.189513940502189e-07,0.0,4.236883543040595e-21,6.919355925301038e-05,0.0,4.236890899429231e-19,0.006919367939195399,0.0,1.5707963267948966,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,
0.03,1.5607963267948965,1.5607963267948965,1.0547467605052772,0.896237378988186,5.997084906543514,0.0,0.0,-56.70125369864753,0,3.672094215222429e-18,0.05996984955628161,-50.70446864385056,1.0062609449376216e-22,1.6433488343548843e-06,0.0,9.533013719345261e-21,0.0001556859288079227,0.0,6.3553694531801e-19,0.01037910597178706,0.0,1.5707963267948966,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,
0.04,1.5607963267948965,1.5607963267948965,1.0547467605052772,0.896237378988186,7.996113208724687,0.0,0.0,-56.70085990037471,0,4.896125612823601e-18,0.07995979928633258,-48.705146493875056,2.3302936726260263e-22,3.8056583730892327e-06,0.0,1.6947640834422835e-20,0.000276775978938947,0.0,8.473884776975046e-19,0.013838904054417803,0.0,1.5707963267948966,0.010000000000001279,0.0,2.556076429768647e-13,0.0,5.1121528595372936e-11,"[0, 0, 0]",9.533013719345261e-21,0.0001556859288079227,0.0,-7.47297214497872e-27,-1.220428967794093e-10,-0.0,0.0,0.0,1.0370205439768807e-10
0.05,1.5607963267948954,1.5607963267948954,1.0547467605052772,0.896237378988186,9.995141510905858,0.0,0.0,-56.700367652533686,0,6.120157001753046e-18,0.09994974887476354,-46.70572589421099,4.501716073110702e-22,7.35186026900976e-06,0.0,2.6480807175270667e-20,0.00043246440024515855,0.0,1.0592447904720616e-18,0.017298780206824516,0.0,1.5707963267948966,0.010000000000009153,0.0,1.3190730792829105e-12,0.0,1.6157155866583622e-10,"[0, 0, 0]",1.6947640834422835e-20,0.000276775978938947,0.0,-2.361845204562016e-26,-3.857185935089896e-10,-0.0,0.0,0.0,3.277520578569028e-10
0.060000000000000005,1.5607963267948874,1.5607963267948874,1.0547467605052772,0.896237378988186,11.99416981308703,0.0,0.0,-56.69977695512446,0,7.34418837278883e-18,0.1199396981709688,-44.70620684473035,7.732384734687783e-22,1.2627942587318024e-05,0.0,3.8132566056270965e-20,0.0006227520634164942,0.0,1.2711069857279982e-18,0.02075875242744263,0.0,1.5707963267948966,0.010000000000036244,-1.5061050230700443e-44,4.0992746941370606e-12,-3.0122100461400886e-42,3.944687643049937e-10,"[0, 0, 0]",2.6480807175270667e-20,0.00043246440024515855,0.0,-5.76627519532687e-26,-9.417042039127647e-10,-0.0,-7.705868028000804e-44,0.0,8.001830762605218e-10
0.07,1.5607963267948604,1.5607963267948604,1.0547467605052772,0.896237378988186,13.993198115268202,0.0,0.0,-56.699087808147034,0,8.568219715979298e-18,0.13992964701242555,-42.706589345294844,1.2234162128129059e-21,1.9979903000027366e-05,0.0,5.1902981812554544e-20,0.0008476400191253742,0.0,1.4829761655287172e-18,0.024218838714333356,0.0,1.5707963267948966,0.010000000000107548,-9.00586225753029e-44,1.0161556973007912e-11,-1.1987304422780405e-41,8.179876914691766e-10,"[0, 0, 0]",3.8132566056270965e-20,0.0006227520634164942,0.0,-1.195707600645143e-25,-1.9527387022570765e-09,-0.0,-1.5979058679190657e-43,0.0,1.6592773563213213e-09
0.08,1.560796326794789,1.560796326794789,1.0547467605052772,0.896237378988186,15.992226417449373,0.0,0.0,-56.6983002116014,0,9.792251019176109e-18,0.15991959520073634,-40.70687339573546,1.821891770868668e-21,2.9753750585673182e-05,0.0,6.779212979859782e-20,0.001107129498003789,0.0,1.6948534316799368e-18,0.027679057061349602,0.0,1.5707963267948966,0.0100000000002675,-1.4999514468920492e-43,2.182879759991089e-11,0.0,1.5154604339114188e-09,"[0, 0, 0]",5.1902981812554544e-20,0.0008476400191253742,0.0,-2.215223473414967e-25,-3.617734476515664e-09,-0.0,0.0,0.0,3.0740543479406816e-09
0.09,1.5607963267946292,1.5607963267946292,1.0547467605052772,0.896237378988186,17.991254719630543,0.0,0.0,-56.69741416548756,0,1.1016282268049267e-17,0.17990954250187455,-38.707058995852435,2.5898529017904298e-21,4.2295507628707075e-05,0.0,8.580009638575455e-20,0.00140122191060299,0.0,1.9067398857514072e-18,0.031139425458490626,0.0,1.5707963267948966,0.010000000000588309,-2.7130541943708435e-43,4.2333005397212706e-11,-2.4262054949575884e-41,2.585381125548944e-09,"[0, 0, 0]",6.779212979859782e-20,0.001107129498003789,0.0,-3.77912697253566e-25,-6.171782713459644e-09,-0.0,-1.0100611824776877e-42,0.0,5.244275280016839e-09
0.09999999999999999,1.5607963267943084,1.5607963267943084,1.0547467605052772,0.896237378988186,19.990283021811713,0.0,0.0,-56.69642966980552,0,1.2240313446108822e-17,0.19989948864653884,-36.70714614541531,3.548488278519255e-21,5.795121141850613e-05,0.0,1.0592697896001049e-19,0.0017299188473568208,0.0,2.118636629099781e-18,0.03459996189227553,0.0,1.5707963267948966,0.010000000001179808,-1.112942033408316e-42,7.596696713441681e-11,-1.4406526784467042e-40,4.141411221891877e-09,"[0, 0, 0]",8.580009638575455e-20,0.00140122191060299,0.0,-6.053526930876076e-25,-9.886159723915131e-09,-0.0,-2.426922652135184e-42,0.0,8.400448535130567e-09
0.10999999999999999,1.5607963267937168,1.5607963267937168,1.0547467605052772,0.896237378988186,21.989311323992883,0.0,0.0,-56.69534672455528,0,1.3464344534734693e-17,0.2198894333306402,-34.70713484416284,4.718987602919177e-21,7.706691604803472e-05,0.0,1.281728859199738e-19,0.002093222078548896,0.0,2.3305447628928816e-18,0.038060684346139594,0.0,1.5707963267948966,0.010000000002200823,-2.0742620952690426e-42,1.282359510975771e-10,-4.819874452747492e-41,6.312385570740181e-09,"[0, 0, 0]",1.0592697896001049e-19,0.0017299188473568208,0.0,-9.22669362819302e-25,-1.5068334208062278e-08,-0.0,-1.2330261915226154e-42,0.0,1.2803835823001035e-08
0.11999999999999998,1.5607963267926959,1.5607963267926959,1.0547467605052772,0.896237378988186,23.988339626174056,0.0,0.0,-56.69416532973681,0,1.4688375513215884e-17,0.23987937621594244,-32.707025091803025,6.122541715894627e-21,9.99886942121986e-05,0.0,1.5253793667511619e-19,0.00249113355428388,0.0,2.5424653881355967e-18,0.04152161080085719,0.0,1.5707963267948966,0.01000000000387205,-2.7958800512183757e-42,2.0600947531328776e-10,-9.612484666239174e-41,9.242319272401948e-09,"[0, 0, 0]",1.281728859199738e-19,0.002093222078548896,0.0,-1.3509063815387154e-24,-2.2061975460667823e-08,-0.0,-1.805308616341813e-42,0.0,1.8746459152620152e-08
0.12999999999999998,1.5607963267910245,1.5607963267910245,1.0547467605052772,0.896237378988186,25.987367928355226,0.0,0.0,-56.69288548535017,0,1.591240635880039e-17,0.25986931693087717,-30.706816888013222,7.78034270749162e-21,0.0001270626390059337,0.0,1.7902226164428226e-19,0.00292365540446314,0.0,2.7543996056976207e-18,0.04498275923499479,0.0,1.5707963267948966,0.010000000006490463,-4.235584093508339e-42,3.1767314832403563e-10,-1.9181596179560085e-40,1.3090415329747627e-08,"[0, 0, 0]",1.5253793667511619e-19,0.00249113355428388,0.0,-1.9133246314269515e-24,-3.124696251619785e-08,-0.0,-2.5569066000264253e-42,0.0,2.655110860302011e-08
0.13999999999999999,1.5607963267884062,1.5607963267884062,1.0547467605052772,0.896237378988186,27.986396230536396,0.0,0.0,-56.691507191395296,0,1.7136437046757157e-17,0.2798592550715555,-28.706510232439932,9.713584026985465e-21,0.00015863486572207492,0.0,2.0762600225448678e-19,0.0033907899387651047,0.0,2.966348516343285e-18,0.04844414762539816,0.0,1.5707963267948966,0.010000000010445232,-5.201979428189312e-42,4.732805904151627e-10,-1.4631051405937048e-42,1.803107308847778e-08,"[0, 0, 0]",1.7902226164428226e-19,0.00292365540446314,0.0,-2.6354028192841855e-24,-4.303939423381591e-08,-0.0,-3.521869081531983e-42,0.0,3.657135089267849e-08
0.15,1.5607963267844513,1.5607963267844513,1.0547467605052772,0.896237378988186,29.985424532717573,0.0,0.0,-56.69003044787224,0,1.8360467550451297e-17,0.2998491902029968,-26.70610512469901,1.1943460592958008e-20,0.00019505151364905386,0.0,2.383493109400216e-19,0.00389253964663068,0.0,3.178313220763681e-18,0.051905793947716945,0.0,1.5707963267948966,0.010000000016235163,-5.2092949538922803e-42,6.847054431977883e-10,0.0,2.425389746804734e-08,"[0, 0, 0]",2.0762600225448678e-19,0.0033907899387651047,0.0,-3.544838151613285e-24,-5.7891600322335216e-08,-0.0,0.0,0.0,4.919153874761936e-08
0.16,1.5607963267786615,1.5607963267786615,1.0547467605052772,0.896237378988186,31.984452834898747,0.0,0.0,-56.68845525478097,0,1.9584497841433923e-17,0.3198391218605955,-24.705601564375527,1.44911689033676e-20,0.00023665874786847786,0.0,2.711923511418966e-19,0.004428907197254119,0.0,3.390294819611317e-18,0.05536771617697075,0.0,1.5707963267948966,0.010000000024487657,-7.129939920804374e-42,9.657934754568075e-10,-3.841289933824189e-40,3.1963708983756506e-08,"[0, 0, 0]",2.383493109400216e-19,0.00389253964663068,0.0,-4.671547067267404e-24,-7.629215330526182e-08,-0.0,-6.242907937542863e-42,0.0,6.482682106832659e-08
0.17,1.560796326770409,1.560796326770409,1.0547467605052772,0.896237378988186,239.58333949983088,0.0,0.0,-56.676656084005366,0,1.4670003420611656e-16,2.395793371742038,182.89470443254106,1.7922867225667624e-20,0.00029270263455791857,0.0007916925697958521,4.151473133181085e-19,0.006779870140634021,0.15833851395917042,2.5400697615631057e-17,0.4148248724990098,31.667702791834085,1.5707963267948966,0.010000000035979199,-9.050584887716469e-42,1.3325147931785338e-09,0.0,4.138055456058877e-08,"[0, 0, 0]",2.711923511418966e-19,0.004428907197254119,0.0,-6.0476660276744975e-24,-9.876588142614047e-08,-0.0,0.0,0.0,8.392315389564946e-08
0.18000000000000002,0.03279269139787394,0.03279269139787394,1.0547312231621282,0.4244440711220731,452.1300978201898,0.0,0.0,-56.654389245161425,0,2.76841780702509e-16,4.521169383617496,395.452978084655,2.3908188148489548e-20,0.00039045034315421157,0.004879232287721946,7.819168712462761e-19,0.012769671578624579,0.6591694296260483,4.7953213970002456e-17,0.783135415099102,68.4984803415415,1.5707963267948966,0.010000000621845927,9.679103833585866e-40,1.1584083093569875e-07,1.953921936492606e-37,2.286028267394345e-05,"[0, 0, 0]",4.151473133181085e-19,0.006779870140634021,0.15833851395917042,-3.312790070489985e-22,-5.41019675680609e-06,-0.00012635087353152322,-3.1134204502785607e-21,-5.0846014580632485e-05,2.1771669280308803e-06
0.19000000000000003,0.00936994271455174,0.00936994271455174,1.0547634537197574,0.1223028650306404,664.6768561405488,0.0,0.0,-56.6216546937632,0,4.069723018055944e-16,6.646362070908026,608.0197845466341,3.468955113611225e-20,0.0005665233626587595,0.01581786801422174,1.3743557262782652e-18,0.022444932322285005,1.5285577156739105,7.053455703639538e-17,1.1519167336329836,105.37917686803094,1.5707963267948966,0.010000005202300011,-2.1511407264941133e-38,8.002499857101411e-07,-4.691255723309205e-36,0.00011402154828094502,"[0, 0, 0]",7.819168712462761e-19,0.012769671578624579,0.6591694296260483,-2.595730409659132e-21,-4.239149461651115e-05,-0.002188245575096545,-1.5536688989768852e-20,-0.0002537333866480701,4.91541608333237e-06
0.20000000000000004,0.004682671917864322,0.004682671917864322,1.054769903575561,0.0612239840206818,877.2236144609078,0.0,0.0,-56.57845236680776,0,5.370834742997153e-16,8.771238771434405,820.5895451439395,5.252536985751109e-20,0.0008578043872581268,0.03729615912881465,2.1928080180015023e-18,0.03581127259758847,2.7671005072446713,9.3155901308252e-17,1.521351321427709,142.32938144612123,1.5707963267948966,0.010000023731111257,-4.496768588148716e-38,2.9055122634269957e-06,0.0,0.0003070309072624259,"[0, 0, 0]",1.3743557262782652e-18,0.022444932322285005,1.5285577156739105,-1.0579143427460915e-20,-0.00017277052346564782,-0.011766117753994223,-4.181941026971449e-20,-0.0006829627987241838,1.0028442916368483e-05
0.21000000000000005,0.0029410578659144755,0.0029410578659144755,1.0547723001001037,0.038477055036835954,1089.7703727812668,0.0,0.0,-56.52478219923119,0,6.671656804914318e-16,10.895642416343039,1033.1525629437633,7.967805347746898e-20,0.0013012413625372466,0.07300960118827965,3.2377287059900767e-18,0.05287612245823546,4.375587904648327,1.1582823628946291e-16,1.8916186507016886,179.36809803460997,1.5707963267948966,0.010000076281075403,-7.628469974160105e-38,7.604480565588653e-06,-6.263402772022779e-36,0.0006327627531699055,"[0, 0, 0]",2.1928080180015023e-18,0.03581127259758847,2.7671005072446713,-3.055517317732045e-20,-0.0004990038466371552,-0.038557518261434165,-8.612575409283365e-20,-0.0014065403045645118,1.8203169033515455e-05
0.22000000000000006,0.002083682513689992,0.002083682513689992,1.054681682499573,0.02724970127010777,1302.3171311016258,0.0,0.0,-56.460644126278865,0,7.97208197684383e-16,13.019397890713151,1245.6949981862847,1.1841510779099005e-19,0.0019338654683690882,0.12666252704063446,4.509682156714137e-18,0.07364869870813287,6.354997265822636,1.385624538553491e-16,2.262896599277795,216.51377420025185,1.5707963267948966,0.010000196184812791,-1.702952117832084e-37,1.6376266912087945e-05,-1.253869963629869e-35,0.0011215945161299533,"[0, 0, 0]",3.2377287059900767e-18,0.05287612245823546,4.375587904648327,-7.133336360432369e-20,-0.0011649622348907252,-0.09640258073738577,-1.5251405166490495e-19,-0.002490743482465167,3.009900846715934e-05
0.23000000000000007,0.0015883850070015032,0.0015883850070015032,1.0545215711647602,0.02075007326696136,1514.8638894219848,0.0,0.0,-56.386038083593625,0,9.272000891809655e-16,15.14232658471844,1458.1988340941439,1.7101022878145433e-19,0.00279280897807463,0.20196995222301362,6.009342041378716e-18,0.09814000323297548,8.70648777065319,1.6136952307756672e-16,2.6353643056907257,253.78432676585908,1.5707963267948966,0.010000433080209436,-8.606358693491629e-37,3.100281241698931e-05,-1.255294318768922e-34,0.0018037145848503206,"[0, 0, 0]",4.509682156714137e-18,0.07364869870813287,6.354997265822636,-1.4428013926003294e-19,-0.0023562734881679578,-0.203318074012137,-2.449745731425583e-19,-0.00400073838943798,4.636495720310238e-05
0.24000000000000007,0.0012711438869100718,0.0012711438869100718,1.054330564281282,0.016582500668678418,1727.4106477423436,0.0,0.0,-56.30096400730599,0,1.0571313350875772e-15,17.2642648610782,1670.6418270838965,2.3974440497618363e-19,0.003915323261255457,0.3026593671842036,7.73749319756714e-18,0.12636285340318992,11.431395221584815,1.8426070816011797e-16,3.0092057283521654,291.19716342046553,1.5707963267948966,0.01000085593436754,-3.248020329477192e-36,5.35680192038833e-05,-3.5194746014871355e-34,0.0027093267725284767,"[0, 0, 0]",6.009342041378716e-18,0.09814000323297548,8.70648777065319,-2.6334918190007923e-19,-0.00430081852307838,-0.38154700062613134,-3.6745327869406226e-19,-0.006000967445469122,6.764323111884439e-05
0.25000000000000006,0.0010527122885907873,0.0010527122885907873,1.054108386646729,0.013709690419904089,1939.9574060627021,0.0,0.0,-56.20542183412573,0,1.1869943724813537e-15,19.385089207888928,1882.997461771489,3.2690705116305314e-19,0.005338797298791104,0.4324724785831695,9.695036039806766e-18,0.15833195410393963,14.531227058208366,2.0724786028780723e-16,3.3846144117977737,328.7692039042447,1.5707963267948966,0.01000155603952423,-5.888955793171056e-36,8.64530121339582e-05,-1.7623963259005942e-34,0.0038676718134865035,"[0, 0, 0]",7.73749319756714e-18,0.12636285340318992,11.431395221584815,-4.451076366146273e-19,-0.007269159351488585,-0.6576033322894834,-5.23705627546512e-19,-0.008552761954077469,9.45423882261198e-05
0.26000000000000006,0.0008939924278425815,0.0008939924278425815,1.0538545871626501,0.011619595987108235,2152.5041643830614,0.0,0.0,-56.09941150143538,0,1.3167857907658234e-15,21.5047439258833,2095.2348921147664,4.347972015872331e-19,0.00710077716922064,0.595166901702449,1.1882994045029226e-17,0.1940640199819675,18.00765756564754,2.303437407566847e-16,3.7617987638078016,366.5168975835901,1.5707963267948966,0.01000264992353475,-6.265756206698063e-36,0.00013232378996998168,1.0087954988465801e-34,0.005306483753718194,"[0, 0, 0]",9.695036039806766e-18,0.15833195410393963,14.531227058208366,-7.08772443283199e-19,-0.01157513241820701,-1.0623305848128186,-7.172175018430544e-19,-0.011713050690899769,0.00012762516179702635
0.2700000000000001,0.0007736827028056877,0.0007736827028056877,1.0535685542394146,0.010033152956603158,2365.05092270342,0.0,0.0,-55.98293294738561,0,1.4465083277026582e-15,23.62327372610247,2307.3188775712924,5.657247956187143e-19,0.009238987045286752,0.7945178057735959,1.4302524761267013e-17,0.23357795523125505,21.862523248581823,2.535624024908729e-16,4.140988286049707,404.4562390032662,1.5707963267948966,0.010004282094367394,-6.519384781379312e-36,0.00019411037655883476,-1.5160526482090794e-34,0.00705083356405242,"[0, 0, 0]",1.1882994045029226e-17,0.1940640199819675,18.00765756564754,-1.076250544379672e-18,-0.017576505244271238,-1.6309653261282282,-9.510431406309047e-19,-0.015531713164857942,0.0001673813866680918
0.2800000000000001,0.0006792545589751111,0.0006792545589751111,1.0532495088520957,0.008786216299337948,2577.597681023779,0.0,0.0,-55.85598611099253,0,1.5761731447243615e-15,25.740860888572197,2519.2097134933547,7.220120940033405e-19,0.011791352323070348,1.0343195137673933,1.695493491565824e-17,0.27689510032546405,26.097818350177675,2.769196283873722e-16,4.5224407327920915,442.60278131590456,1.5707963267948966,0.010006627502274292,-8.290215693695647e-36,0.000274971204820792,-2.0256091764235893e-34,0.009121332088339032,"[0, 0, 0]",1.4302524761267013e-17,0.23357795523125505,21.862523248581823,-1.5721844475328472e-18,-0.025675720520030153,-2.4032063994973116,-1.2275595042254407e-18,-0.020047568083795507,0.00021418707745154305
0.2900000000000001,0.0006028689429246657,0.0006028689429246657,1.0528964872492406,0.007776106162272108,2790.144439344138,0.0,0.0,-55.718570932236936,0,1.7058023761400945e-15,27.857866893993283,2730.8631564674038,9.0599526957026e-19,0.014796025600214676,1.3183870579955208,1.9841700197725645e-17,0.32403955510340143,30.715690495447806,3.0043342802610944e-16,4.906450222795387,480.97164773812125,1.5707963267948966,0.010009893533916518,-2.7048288188969997e-36,0.0003782351236243374,1.3196382926020883e-33,0.011531451672370048,"[0, 0, 0]",1.695493491565824e-17,0.27689510032546405,26.097818350177675,-2.2240037093071094e-18,-0.03632073689908874,-3.4232891547118602,-1.5481068939013796e-18,-0.025282504228635313,0.00026824470347962796
0.3000000000000001,0.0005393576583101071,0.0005393576583101071,1.0525083168424658,0.006935178710900801,3002.691197664497,0.0,0.0,-55.570687352165656,0,1.8354319262183183e-15,29.974878103567786,2942.2303454139815,1.1200262220224715e-18,0.01829141631370412,1.6505576926732952,2.296449029271665e-17,0.37503858759448727,35.718436440107055,3.2412459097209174e-16,5.293356275421779,519.5775411937286,1.5707963267948966,0.010014321263533727,2.475436343796893e-35,0.0005073107998174832,4.172200158771097e-33,0.014283683566259095,"[0, 0, 0]",1.9841700197725645e-17,0.32403955510340143,30.715690495447806,-3.0619831361285805e-18,-0.05000597949156366,-4.740063874283651,-1.912481181946097e-18,-0.031233187940843857,0.0003294989681663087
0.3100000000000001,0.0004851530576214364,0.0004851530576214364,1.0520835859585995,0.006216814811152674,3215.237955984856,0.0,0.0,-55.41233531299519,0,1.9651144533535843e-15,32.092754494141055,3153.2577194105193,1.3664746719490875e-18,0.022316224937679673,2.0346923644123005,2.6325199692606573e-17,0.4299231372006232,41.108497907694,3.4801728900589285e-16,5.683553645805403,558.43475232366,1.5707963267948966,0.010020185569089467,7.316394338119046e-35,0.0006655503113305834,5.5097158298732087e-33,0.017364218736360952,"[0, 0, 0]",2.296449029271665e-17,0.37503858759448727,35.718436440107055,-4.119308747840403e-18,-0.06727341713069315,-6.407077440494267,-2.318240639486819e-18,-0.03785974276176412,0.00039752200452187027
