Time (s),acceleration,altitude,speed
-0.3,-3.43,1118.61,0.05
-0.29,7.35,1117.97,0.11
-0.28,9.32,1118.61,0.2
-0.27,34.32,1118.61,0.32
-0.26,12.75,1118.34,0.44
-0.25,-3.92,1118.43,0.56
-0.24,6.86,1117.97,0.69
-0.23,6.86,1116.2,0.84
-0.22,34.32,1116.67,1.03
-0.21,45.6,1117.78,1.25
-0.2,9.81,1115.74,1.49
-0.19,23.54,1112.86,1.74
-0.18,23.05,1125.58,1.97
-0.17,21.57,1115.27,2.2
-0.16,27.46,1120.19,2.41
-0.15,18.14,1121.31,2.61
-0.14,18.14,1112.96,2.81
-0.13,6.37,1119.73,3
-0.12,25.99,1110.54,3.2
-0.11,25.99,1123.53,3.4
-0.1,25.5,1117.04,3.62
-0.09,18.14,1116.48,3.83
-0.08,18.14,1116.2,4.06
-0.07,12.75,1111.01,4.32
-0.06,39.23,1120.01,4.65
-0.05,39.23,1114.62,5.1
-0.04,50.99,1115.92,5.7
-0.03,116.21,1116.29,6.44
-0.02,116.21,1118.89,7.3
-0.01,92.67,1117.04,8.2
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0,78.94,1118.52,9.09
0.01,78.94,1129.01,9.93
0.01,78.94,1129.01,9.93
0.02,83.85,1120.84,10.71
0.02,83.85,1120.84,10.71
0.03,63.25,1120.01,11.41
0.04,63.74,1121.12,12.06
0.05,43.64,1119.54,12.67
0.06,56.39,1119.08,13.24
0.07,60.31,1120.56,13.8
0.08,46.09,1117.04,14.37
0.09,64.23,1120.47,14.94
0.1,77.47,1123.63,15.51
0.11,41.19,1118.52,16.07
0.12,41.19,1118.34,16.62
0.13,58.35,1121.4,17.15
0.14,62.27,1120.47,17.67
0.15,53.94,1121.49,18.18
0.16,36.77,1120.38,18.67
0.17,42.66,1120.84,19.15
0.18,43.64,1120.75,19.62
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.19,57.86,1120.66,20.11
0.2,53.94,1120.29,20.6
0.21,39.23,1124.56,21.12
0.22,59.82,1120.56,21.64
0.23,59.82,1122.05,22.17
0.24,57.37,1120.94,22.67
0.25,41.19,1123.91,23.16
0.26,34.32,1119.36,23.63
0.27,31.87,1121.03,24.1
0.28,74.53,1121.68,24.59
0.29,53.45,1118.61,25.09
0.3,44.62,1123.91,25.6
0.31,47.07,1123.26,26.13
0.32,49.03,1122.79,26.67
0.33,68.65,1122.51,27.22
0.34,68.65,1122.23,27.79
0.34,68.65,1122.23,27.79
0.35,42.66,1124.18,28.35
0.36,63.25,1124.83,28.9
0.37,44.13,1124.18,29.43
0.38,43.64,1125.48,29.99
0.39,62.27,1124.56,30.6
0.4,33.34,1130.22,31.33
0.41,166.22,1115.65,32.19
0.42,71.1,1125.39,33.16
0.43,147.59,1122.23,34.19
0.44,97.09,1128.55,35.19
0.45,97.09,1125.95,36.11
0.46,72.08,1121.86,36.93
0.47,0.49,1123.63,37.65
0.48,126.51,1126.23,38.29
0.49,50.01,1125.11,38.87
0.5,28.93,1126.6,39.41
0.51,39.72,1126.04,39.93
0.52,63.25,1127.25,40.44
0.53,55.9,1128.74,40.94
0.54,46.58,1127.16,41.44
0.55,49.03,1126.51,41.94
0.56,49.03,1129.76,42.43
0.57,44.13,1128.46,42.91
0.58,48.54,1126.6,43.38
0.59,45.6,1128.83,43.87
0.6,51.98,1129.01,44.35
0.61,50.01,1127.53,44.85
0.62,50.5,1129.94,45.34
0.63,49.03,1130.97,45.85
0.64,51.48,1127.99,46.35
0.65,50.01,1130.32,46.86
0.66,52.47,1130.13,47.37
0.66,52.47,1130.13,47.37
0.67,52.47,1131.34,47.87
0.68,45.11,1131.71,48.38
0.69,54.43,1130.32,48.88
0.7,48.54,1130.5,49.39
0.71,52.96,1130.22,49.89
0.72,46.09,1131.24,50.38
0.73,49.52,1132.92,50.88
0.74,50.5,1131.89,51.37
0.75,48.05,1130.87,51.87
0.76,50.99,1131.99,52.36
0.77,48.05,1131.52,52.85
0.78,48.05,1132.55,53.35
0.79,52.47,1133.57,53.85
0.8,50.99,1132.45,54.36
0.81,50.99,1133.66,54.86
0.82,50.5,1134.68,55.37
0.83,52.96,1133.75,55.88
0.84,48.05,1134.68,56.38
0.85,46.58,1134.87,56.87
0.86,50.99,1133.94,57.37
0.87,50.01,1136.08,57.87
0.88,51.98,1136.54,58.38
0.89,51.98,1137.57,58.88
0.9,50.5,1134.68,59.39
0.91,47.56,1135.24,59.89
0.92,49.03,1137.47,60.4
0.93,55.41,1137.94,60.9
0.94,48.05,1136.82,61.4
0.95,48.54,1137.38,61.9
0.96,51.48,1138.31,62.4
0.97,50.99,1138.22,62.9
0.98,49.03,1138.59,63.4
0.98,49.03,1138.59,63.4
0.99,48.54,1139.61,63.9
1,48.54,1138.49,64.39
1.01,49.52,1139.42,64.88
1.02,48.54,1139.8,65.38
1.03,51.48,1140.45,65.88
1.04,51.98,1138.77,66.39
1.05,51.48,1141.47,66.89
1.06,52.47,1141.47,67.39
1.07,46.09,1142.49,67.89
1.08,45.6,1142.49,68.38
1.09,48.05,1143.15,68.87
1.1,53.94,1144.54,69.37
1.11,53.94,1145.19,69.87
1.12,45.6,1145.29,70.38
1.13,52.96,1145.47,70.89
1.14,50.01,1144.91,71.39
1.15,50.5,1145.94,71.89
1.16,51.98,1144.35,72.39
1.17,46.09,1147.98,72.87
1.18,44.13,1147.33,73.36
1.19,47.56,1146.87,73.84
1.19,47.56,1146.87,73.84
1.19,47.56,1146.87,73.84
1.19,47.56,1146.87,73.84
1.19,47.56,1146.87,73.84
1.19,47.56,1146.87,73.84
1.2,53.94,1147.71,74.31
1.21,45.6,1149.57,74.79
1.22,45.6,1149.1,75.27
1.23,49.52,1149.75,75.75
1.24,48.54,1149.94,76.23
1.25,44.62,1149.38,76.71
1.26,50.99,1150.03,77.19
1.27,50.99,1151.43,77.67
1.28,42.66,1152.17,78.14
1.29,47.56,1152.36,78.62
1.3,45.6,1151.43,79.09
1.3,45.6,1151.43,79.09
1.31,46.58,1151.89,79.58
1.32,54.43,1153.01,80.08
1.33,54.43,1153.76,80.58
1.34,51.48,1152.92,81.09
1.35,49.03,1154.87,81.59
1.36,45.6,1156.36,82.09
1.37,51.98,1155.71,82.58
1.38,49.52,1157.86,83.07
1.39,43.15,1157.58,83.55
1.4,51.48,1155.99,84.03
1.41,45.6,1155.81,84.51
1.42,49.03,1158.88,84.99
1.43,48.05,1157.67,85.47
1.44,48.05,1161.12,85.95
1.45,50.5,1160.18,86.43
1.46,46.58,1159.72,86.91
1.47,47.56,1160.46,87.39
1.48,47.07,1161.77,87.86
1.49,45.11,1162.05,88.33
1.5,47.07,1161.96,88.8
1.51,47.56,1164.29,89.28
1.52,50.01,1163.73,89.75
1.53,48.05,1164.1,90.23
1.54,46.58,1166.43,90.71
1.55,46.58,1165.96,91.19
1.56,51.98,1166.15,91.67
1.57,43.64,1165.4,92.14
1.58,48.54,1168.2,92.62
1.59,46.09,1167.55,93.09
1.6,47.56,1168.39,93.56
1.61,47.56,1167.55,94.04
1.62,48.54,1167.55,94.51
1.62,48.54,1167.55,94.51
1.63,47.56,1170.91,94.99
1.64,48.05,1171.37,95.48
1.65,48.05,1172.77,95.96
1.66,53.45,1172.49,96.44
1.67,45.11,1170.16,96.92
1.68,45.11,1174.17,97.39
1.69,42.17,1173.52,97.85
1.7,49.03,1174.83,98.32
1.71,48.05,1176.51,98.79
1.72,46.58,1176.79,99.27
1.73,51.48,1176.79,99.76
1.74,49.03,1177.81,100.25
1.75,50.99,1177.16,100.74
1.76,50.99,1178.19,101.23
1.77,45.6,1179.21,101.71
1.78,46.09,1177.44,102.19
1.79,46.09,1177.35,102.65
1.8,44.62,1179.59,103.11
1.81,44.62,1180.24,103.57
1.82,45.11,1181.36,104.03
1.83,48.05,1178.65,104.5
1.84,52.47,1183.7,104.98
1.85,48.54,1186.4,105.47
1.86,47.56,1182.95,105.95
1.87,47.56,1184.54,106.43
1.88,47.56,1182.01,106.91
1.89,46.58,1184.44,107.38
1.9,46.58,1184.91,107.85
1.91,48.05,1186.03,108.32
1.92,45.6,1186.5,108.78
1.93,45.6,1186.22,109.24
1.94,44.62,1188.74,109.71
1.94,44.62,1188.74,109.71
1.95,48.05,1185.84,110.17
1.96,45.11,1189.21,110.64
1.97,50.01,1186.87,111.12
1.98,50.01,1188.27,111.6
1.99,48.05,1190.52,112.09
2,48.05,1191.82,112.57
2.01,48.05,1190.61,113.05
2.02,49.52,1192.57,113.53
2.03,43.64,1192.67,114.01
2.04,50.01,1194.82,114.49
2.05,50.5,1193.51,114.98
2.06,46.58,1195.56,115.46
2.07,49.52,1193.79,115.94
2.08,47.56,1195.28,116.42
2.09,47.56,1196.03,116.89
2.1,44.62,1195.56,117.36
2.11,44.13,1196.97,117.82
2.12,48.54,1196.59,118.28
2.13,46.58,1196.97,118.74
2.14,42.66,1198.84,119.2
2.15,49.52,1200.24,119.67
2.16,45.11,1199.87,120.13
2.17,49.03,1197.9,120.6
2.18,46.58,1200.24,121.08
2.19,48.05,1202.11,121.55
2.19,48.05,1202.11,121.55
2.19,48.05,1202.11,121.55
2.19,48.05,1202.11,121.55
2.19,48.05,1202.11,121.55
2.19,48.05,1202.11,121.55
2.2,48.05,1202.3,122.02
2.21,48.05,1201.08,122.49
2.22,43.64,1204.55,122.95
2.23,43.64,1206.42,123.41
2.24,45.11,1206.61,123.87
2.25,48.54,1206.61,124.34
2.26,48.54,1206.14,124.81
2.26,48.54,1206.14,124.81
2.27,47.07,1206.61,125.28
2.28,48.54,1207.45,125.75
2.29,47.56,1209.79,126.22
2.3,43.64,1207.45,126.69
2.31,46.58,1210.54,127.15
2.32,46.58,1211.47,127.62
2.33,45.6,1210.82,128.08
2.34,46.58,1213.25,128.55
2.35,50.01,1213.25,129.02
2.36,47.07,1213.35,129.5
2.37,46.09,1214.47,129.97
2.38,48.05,1213.63,130.44
2.39,49.03,1214.38,130.91
2.4,42.17,1214.47,131.37
2.41,46.09,1214.19,131.82
2.42,44.62,1216.16,132.28
2.43,44.62,1215.88,132.73
2.44,44.62,1219.34,133.18
2.45,49.03,1220.56,133.63
2.46,42.66,1220.56,134.08
2.47,45.6,1219.44,134.53
2.48,44.13,1222.25,134.98
2.49,43.64,1222.16,135.43
2.5,46.09,1223.19,135.89
2.51,45.11,1221.97,136.36
2.52,48.05,1222.91,136.84
2.53,55.41,1223.09,137.34
2.54,55.41,1224.6,137.84
2.55,44.62,1224.97,138.33
2.56,47.56,1223.38,138.83
2.57,48.05,1225.44,139.32
2.58,51.48,1225.63,139.8
2.58,51.48,1225.63,139.8
2.59,49.03,1228.16,140.27
2.6,41.68,1229.19,140.73
2.61,44.13,1229.57,141.18
2.62,39.23,1230.51,141.62
2.63,48.05,1230.04,142.07
2.64,46.09,1229,142.52
2.65,46.09,1232.95,142.99
2.66,49.52,1231.07,143.46
2.67,45.6,1232.19,143.93
2.68,50.99,1232.85,144.4
2.69,47.07,1233.88,144.86
2.7,36.77,1236.89,145.3
2.71,48.05,1236.04,145.74
2.72,38.25,1237.83,146.18
2.73,46.09,1238.86,146.62
2.74,43.64,1239.05,147.07
2.75,48.54,1240.93,147.54
2.76,48.54,1241.4,148.02
2.77,56.39,1241.77,148.51
2.78,46.09,1242.99,148.99
2.79,45.11,1243.56,149.47
2.8,47.07,1244.78,149.94
2.81,44.62,1245.25,150.41
2.82,45.6,1245.15,150.88
2.83,49.52,1248.16,151.35
2.84,51.48,1249.1,151.83
2.85,46.58,1250.61,152.31
2.86,46.58,1251.45,152.79
2.87,46.58,1252.49,153.27
2.88,51.48,1251.73,153.74
2.89,45.11,1254.09,154.2
2.9,45.11,1253.43,154.66
2.9,45.11,1253.43,154.66
2.91,42.66,1255.97,155.11
2.92,42.17,1253.99,155.56
2.93,48.05,1256.25,156.01
2.94,44.62,1258.79,156.47
2.95,45.6,1258.51,156.93
2.96,45.11,1257.85,157.41
2.97,55.9,1258.98,157.91
2.98,55.9,1260.01,158.42
2.99,49.52,1261.8,158.93
3,49.52,1260.86,159.44
3.01,49.52,1261.52,159.95
3.02,53.45,1264.44,160.44
3.03,44.62,1262.93,160.93
3.04,48.54,1264.91,161.41
3.05,46.09,1264.34,161.88
3.06,47.07,1264.44,162.35
3.07,44.62,1266.04,162.83
3.08,49.03,1266.7,163.3
3.09,49.03,1267.07,163.79
3.1,50.01,1268.2,164.28
3.11,52.96,1268.49,164.77
3.12,50.01,1268.67,165.25
3.13,36.77,1271.31,165.73
3.14,50.01,1269.99,166.2
3.15,51.48,1272.44,166.67
3.16,48.05,1272.82,167.14
3.17,44.13,1273.2,167.61
3.18,42.17,1276.97,168.08
3.19,49.03,1277.34,168.54
3.19,49.03,1277.34,168.54
3.19,49.03,1277.34,168.54
3.19,49.03,1277.34,168.54
3.19,49.03,1277.34,168.54
3.19,49.03,1277.34,168.54
3.2,49.03,1277.91,169.01
3.21,46.09,1279.14,169.48
3.22,50.5,1280.27,169.95
3.22,50.5,1280.27,169.95
3.23,43.15,1279.7,170.41
3.24,46.09,1280.36,170.87
3.25,40.21,1281.87,171.32
3.26,50.5,1285.93,171.77
3.27,41.19,1285.27,172.22
3.28,43.15,1285.08,172.67
3.29,49.52,1284.79,173.13
3.3,46.09,1287.44,173.59
3.31,46.09,1289.42,174.05
3.32,45.6,1290.55,174.53
3.33,49.52,1290.46,175
3.34,52.96,1292.44,175.48
3.35,45.11,1292.72,175.95
3.36,41.68,1295.27,176.41
3.37,45.6,1295.84,176.87
3.38,44.62,1297.54,177.33
3.39,48.54,1296.78,177.79
3.4,44.62,1299.14,178.27
3.41,52.47,1298.2,178.75
3.42,52.47,1297.73,179.24
3.43,50.01,1300.18,179.73
3.44,43.64,1299.81,180.2
3.45,47.07,1300.37,180.67
3.46,39.23,1300.37,181.13
3.47,49.03,1303.77,181.59
3.48,47.56,1302.83,182.05
3.49,45.6,1305,182.53
3.5,51.98,1305.48,183.01
3.51,49.52,1307.65,183.49
3.52,48.05,1306.14,183.98
3.53,48.05,1307.75,184.46
3.54,46.09,1307.46,184.93
3.54,46.09,1307.46,184.93
3.55,46.09,1309.35,185.39
3.56,43.64,1309.92,185.84
3.57,46.09,1311.43,186.29
3.58,43.15,1311.15,186.74
3.59,41.68,1310.87,187.19
3.6,46.58,1311.62,187.65
3.61,51.48,1312.19,188.11
3.62,43.64,1312.95,188.59
3.63,52.47,1313.99,189.07
3.64,52.47,1315.98,189.56
3.65,42.17,1316.07,190.05
3.66,51.48,1317.77,190.53
3.67,48.05,1318.81,191.01
3.68,49.52,1316.92,191.48
3.69,40.21,1318.53,191.93
3.7,47.56,1319.86,192.38
3.71,37.27,1319.29,192.82
3.72,43.15,1321.47,193.27
3.73,50.99,1322.22,193.72
3.74,47.56,1323.26,194.18
3.75,47.56,1322.98,194.64
3.76,44.13,1325.54,195.1
3.77,42.66,1323.74,195.56
3.78,46.09,1324.87,196.02
3.79,44.13,1328.19,196.49
3.8,54.43,1330.27,196.96
3.81,49.52,1331.22,197.45
3.82,47.56,1330.94,197.93
3.83,47.56,1331.89,198.41
3.84,47.56,1334.16,198.88
3.85,44.62,1334.63,199.35
3.86,44.62,1336.06,199.81
3.86,44.62,1336.06,199.81
3.87,46.58,1334.82,200.28
3.88,49.03,1337.1,200.74
3.89,47.07,1338.14,201.21
3.9,43.64,1338.14,201.68
3.91,49.03,1338.52,202.15
3.92,50.01,1338.71,202.63
3.93,46.58,1340.89,203.11
3.94,47.07,1338.52,203.59
3.95,47.07,1339,204.09
3.96,54.43,1340.23,204.58
3.97,54.43,1339.57,205.08
3.98,47.07,1342.03,205.58
3.99,46.58,1343.17,206.06
4,46.58,1345.35,206.54
4.01,46.58,1343.36,207
4.02,44.62,1342.98,207.46
4.03,45.11,1345.35,207.92
4.04,42.17,1346.68,208.38
4.05,49.52,1347.35,208.85
4.06,49.52,1348.58,209.32
4.07,50.01,1350.39,209.8
4.08,50.01,1350.29,210.29
4.09,45.6,1351.81,210.77
4.1,48.05,1353.61,211.25
4.11,47.56,1354.37,211.73
4.12,48.05,1354.94,212.2
4.13,43.64,1355.8,212.66
4.14,47.56,1356.08,213.13
4.15,46.09,1357.98,213.59
4.16,46.09,1360.65,214.05
4.17,46.09,1360.08,214.52
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.18,47.07,1360.36,214.98
4.19,47.07,1360.93,215.44
4.2,43.15,1359.98,215.9
4.21,45.11,1361.22,216.37
4.22,50.5,1362.07,216.84
4.23,50.5,1360.84,217.31
4.24,41.19,1363.59,217.79
4.25,53.45,1361.88,218.26
4.26,46.58,1363.4,218.74
4.27,43.15,1365.21,219.21
4.28,51.48,1367.97,219.69
4.29,46.58,1369.39,220.16
4.3,46.58,1370.16,220.63
4.31,48.54,1370.35,221.1
4.32,43.64,1370.63,221.57
4.33,48.54,1371.49,222.04
4.34,48.05,1374.91,222.5
4.35,43.15,1374.72,222.97
4.36,48.54,1377.77,223.43
4.37,46.58,1376.72,223.9
4.38,42.17,1378.44,224.36
4.39,49.52,1378.53,224.84
4.4,50.5,1379.2,225.31
4.41,50.5,1381.01,225.79
4.42,41.19,1382.53,226.27
4.43,56.39,1384.44,226.75
4.44,40.7,1385.01,227.21
4.45,45.6,1382.72,227.67
4.46,40.7,1383.96,228.12
4.47,47.56,1385.39,228.59
4.48,49.52,1387.39,229.06
4.49,50.5,1387.58,229.55
4.5,48.54,1389.58,230.05
4.5,48.54,1389.58,230.05
4.51,53.94,1390.44,230.55
4.52,53.94,1389.49,231.06
4.53,47.56,1394.16,231.55
4.54,45.6,1394.45,232.04
4.55,46.09,1394.73,232.52
4.56,48.05,1393.97,232.99
4.57,46.09,1395.11,233.46
4.58,49.03,1398.74,233.94
4.59,49.03,1399.6,234.42
4.6,48.05,1400.65,234.9
4.61,47.56,1401.6,235.39
4.62,50.01,1400.74,235.87
4.63,50.01,1400.84,236.35
4.64,43.15,1402.94,236.82
4.65,44.13,1402.17,237.28
4.66,48.54,1404.56,237.74
4.67,44.13,1402.36,238.21
4.68,48.54,1403.51,238.68
4.69,49.03,1402.84,239.14
4.7,45.11,1404.46,239.61
4.71,47.07,1406.09,240.07
4.72,44.13,1407.14,240.53
4.73,44.62,1407.9,240.99
4.74,44.62,1406.28,241.44
4.75,47.07,1408.09,241.91
4.76,46.58,1407.9,242.37
4.77,50.01,1409.72,242.85
4.78,50.01,1409.43,243.32
4.79,45.11,1410,243.79
4.8,42.66,1411.05,244.25
4.81,47.07,1411.53,244.7
4.82,44.62,1412.87,245.16
4.82,44.62,1412.87,245.16
4.83,43.64,1412.01,245.61
4.84,46.09,1413.73,246.06
4.85,46.09,1415.35,246.51
4.86,44.13,1415.74,246.96
4.87,44.62,1418.22,247.41
4.88,44.62,1418.7,247.87
4.89,47.56,1420.52,248.33
4.9,45.6,1420.13,248.79
4.91,50.01,1421.57,249.25
4.92,46.58,1423.19,249.71
4.93,41.19,1424.25,250.17
4.94,44.62,1423.19,250.63
4.95,49.03,1423,251.1
4.96,49.03,1424.53,251.56
4.97,44.62,1426.83,252.03
4.98,49.03,1427.98,252.49
4.99,43.64,1427.79,252.95
5,43.64,1427.69,253.4
5.01,44.62,1429.99,253.85
5.02,45.11,1430.46,254.3
5.03,44.13,1430.94,254.75
5.04,47.07,1431.13,255.2
5.05,45.11,1431.42,255.65
5.06,45.6,1431.81,256.11
5.07,45.6,1434.77,256.57
5.08,45.11,1434.01,257.03
5.09,46.58,1433.62,257.49
5.1,49.03,1433.82,257.94
5.11,43.15,1433.72,258.4
5.12,43.64,1437.36,258.85
5.13,41.68,1437.45,259.3
5.14,52.47,1439.37,259.76
5.14,52.47,1439.37,259.76
5.15,42.66,1437.26,260.22
5.16,46.58,1438.12,260.69
5.17,48.54,1437.07,261.16
5.18,48.54,1437.84,261.63
5.18,48.54,1437.84,261.63
5.18,48.54,1437.84,261.63
5.18,48.54,1437.84,261.63
5.18,48.54,1437.84,261.63
5.19,50.99,1435.83,262.09
5.2,36.28,1437.74,262.56
5.21,50.5,1436.78,263.01
5.22,43.15,1434.96,263.47
5.23,47.56,1439.27,263.93
5.24,44.13,1437.93,264.39
5.25,47.07,1438.12,264.85
5.26,47.56,1439.37,265.32
5.27,49.52,1440.71,265.78
5.28,44.62,1441.96,266.24
5.29,44.62,1442.15,266.7
5.3,42.66,1444.54,267.16
5.31,48.05,1445.22,267.61
5.32,47.56,1443.87,268.07
5.33,41.68,1444.83,268.53
5.34,47.07,1446.27,268.99
5.35,50.5,1445.5,269.46
5.36,46.58,1446.75,269.93
5.37,45.6,1445.69,270.4
5.38,44.13,1445.5,270.87
5.39,50.01,1446.75,271.34
5.4,50.01,1444.45,271.82
5.41,46.09,1447.61,272.29
5.42,48.05,1445.89,272.76
5.43,44.13,1446.46,273.23
5.44,46.58,1446.37,273.7
5.45,49.03,1447.32,274.17
5.46,46.58,1448,274.63
5.46,46.58,1448,274.63
5.47,46.09,1449.53,275.09
5.48,42.66,1450.3,275.55
5.49,44.62,1450.97,276.01
5.5,49.03,1450.2,276.48
5.51,49.03,1451.16,276.94
5.52,46.09,1452.79,277.4
5.53,47.07,1453.17,277.86
5.54,38.25,1455.57,278.31
5.55,47.07,1456.82,278.75
5.56,42.66,1454.33,279.19
5.57,42.17,1454.9,279.62
5.58,47.07,1456.44,280.06
5.59,40.7,1458.07,280.5
5.6,45.11,1459.12,280.95
5.61,47.07,1460.08,281.4
5.62,47.07,1461.04,281.85
5.63,43.15,1460.37,282.31
5.64,45.6,1459.7,282.77
5.65,45.6,1461.62,283.23
5.66,49.52,1461.33,283.69
5.67,46.58,1465.36,284.15
5.68,44.62,1464.4,284.61
5.69,46.09,1465.36,285.07
5.7,43.64,1466.04,285.53
5.71,43.64,1467.19,285.98
5.72,49.52,1469.11,286.45
5.73,49.52,1468.53,286.91
5.74,44.62,1472.95,287.37
5.75,44.13,1471.8,287.83
5.76,45.11,1473.24,288.28
5.77,43.64,1472.47,288.72
5.78,44.13,1473.72,289.16
5.78,44.13,1473.72,289.16
5.79,44.13,1475.55,289.6
5.8,43.64,1476.61,290.04
5.81,40.7,1479.69,290.47
5.82,45.11,1479.01,290.91
5.83,45.11,1482.67,291.34
5.84,41.19,1481.03,291.78
5.85,44.62,1481.8,292.21
5.86,41.19,1486.04,292.65
5.87,46.09,1486.9,293.09
5.88,48.05,1488.92,293.54
5.89,42.66,1491.23,293.98
5.9,42.17,1489.21,294.42
5.91,43.15,1491.91,294.85
5.92,43.15,1494.03,295.29
5.93,44.13,1493.93,295.72
5.94,44.13,1497.11,296.16
5.95,42.66,1496.92,296.6
5.96,44.13,1497.98,297.04
5.97,48.54,1498.46,297.49
5.98,42.66,1497.21,297.95
5.99,47.07,1498.27,298.4
6,45.6,1499.52,298.86
6.01,47.07,1501.35,299.31
6.02,44.62,1499.23,299.75
6.03,40.21,1501.64,300.19
6.04,43.15,1499.61,300.62
6.05,43.15,1497.49,301.05
6.06,42.66,1495.86,301.47
6.07,41.68,1496.82,301.9
6.08,38.25,1496.72,302.32
6.09,48.05,1497.78,302.75
6.1,42.66,1498.46,303.19
6.1,42.66,1498.46,303.19
6.11,44.62,1498.55,303.62
6.12,42.66,1497.59,304.07
6.13,45.6,1498.17,304.52
6.14,45.11,1499.52,304.97
6.15,47.56,1498.75,305.42
6.16,47.56,1501.06,305.87
6.17,41.19,1500.87,306.32
6.18,43.15,1499.52,306.75
6.18,43.15,1499.52,306.75
6.18,43.15,1499.52,306.75
6.18,43.15,1499.52,306.75
6.18,43.15,1499.52,306.75
6.19,43.15,1500.67,307.19
6.2,41.68,1499.9,307.62
6.21,45.6,1501.16,308.04
6.22,39.23,1499.13,308.46
6.23,39.72,1497.01,308.88
6.24,44.62,1497.01,309.3
6.25,40.21,1498.07,309.72
6.26,44.62,1498.84,310.13
6.27,39.72,1498.75,310.55
6.28,39.72,1497.88,310.96
6.29,41.68,1499.04,311.37
6.3,43.15,1498.17,311.78
6.31,39.23,1494.6,312.19
6.32,38.25,1492.58,312.6
6.33,39.23,1490.08,313.01
6.34,47.07,1485.36,313.42
6.35,41.19,1482.57,313.84
6.36,40.7,1483.24,314.25
6.37,43.15,1481.99,314.67
6.38,39.72,1482.09,315.08
6.39,39.72,1480.84,315.49
6.4,40.21,1481.71,315.9
6.41,44.62,1482.76,316.31
6.42,38.74,1483.92,316.73
6.42,38.74,1483.92,316.73
6.43,41.68,1483.05,317.15
6.44,43.64,1481.71,317.57
6.45,44.13,1481.71,318
6.46,46.09,1482.67,318.43
6.47,37.76,1482.48,318.86
6.48,42.66,1482.57,319.28
6.49,44.13,1484.11,319.71
6.5,44.13,1484.01,320.13
6.51,41.19,1483.82,320.55
6.52,38.25,1484.01,320.98
6.53,43.64,1482.57,321.4
6.54,43.64,1480.65,321.83
6.55,46.09,1479.69,322.27
6.56,44.13,1479.97,322.71
6.57,44.62,1478.92,323.15
6.58,44.62,1477.67,323.59
6.59,44.13,1476.03,324.03
6.6,40.21,1472.86,324.45
6.61,40.21,1471.99,324.86
6.62,39.23,1474.01,325.27
6.63,40.7,1471.99,325.68
6.64,43.15,1473.92,326.09
6.65,41.68,1469.69,326.5
6.66,39.72,1470.26,326.92
6.67,39.72,1471.42,327.33
6.68,46.58,1469.88,327.75
6.69,39.23,1467.19,328.17
6.7,42.17,1466.81,328.59
6.71,42.17,1464.31,329
6.72,42.17,1461.52,329.42
6.73,37.27,1462.58,329.84
6.74,47.07,1459.8,330.27
6.74,47.07,1459.8,330.27
6.75,44.62,1459.8,330.7
6.76,40.7,1459.7,331.13
6.77,45.11,1459.6,331.56
6.78,44.62,1459.7,331.99
6.79,42.17,1459.22,332.41
6.8,35.79,1457.97,332.82
6.81,42.66,1457.11,333.22
6.82,37.27,1459.12,333.61
6.83,37.27,1454.61,334.01
6.84,39.23,1456.05,334.4
6.85,41.68,1455.67,334.81
6.86,43.15,1454.23,335.22
6.87,43.15,1452.79,335.63
6.88,41.68,1452.12,336.04
6.89,39.72,1450.01,336.45
6.9,37.27,1448,336.84
6.91,39.23,1446.46,337.23
6.92,35.79,1443.11,337.62
6.93,40.7,1439.08,338.01
6.94,40.7,1435.35,338.41
6.95,39.72,1432.67,338.8
6.96,40.7,1427.69,339.19
6.97,36.28,1425.58,339.57
6.98,36.28,1423.58,339.95
6.99,37.76,1424.53,340.32
7,35.3,1423.67,340.69
7.01,37.27,1421.47,341.06
7.02,34.81,1418.51,341.43
7.03,39.72,1417.07,341.81
