,Time (s),acceleration,altitude,speed,Weight,Net Force,Drag,Thrust
0,-0.3,-3.43,1118.61,0.05,-938.1810264585474,-328.0286361623667,-2.0993936052581357e-05,610.1524112901168
1,-0.29,7.35,1117.97,0.11,-938.1810264585474,702.9185060622143,-0.00010161677165552589,1641.0996341375335
2,-0.28,9.32,1118.61,0.2,-938.1810264585474,891.3197927210664,-0.0003359029768413017,1829.5011550825905
3,-0.27,34.32,1118.61,0.32,-938.1810264585474,3282.199065041523,-0.0008599116207137321,4220.380951411691
4,-0.26,12.75,1118.34,0.44,-938.1810264585474,1219.3484288834331,-0.0016258117253225251,2157.531081153706
5,-0.25,-3.92,1118.43,0.56,-938.1810264585474,-374.88986989984767,-0.002633523956574408,563.2937900826563
6,-0.24,6.86,1117.97,0.69,-938.1810264585474,656.0572723247334,-0.00399832603183437,1594.2422971093126
7,-0.23,6.86,1116.2,0.84,-938.1810264585474,656.0572723247334,-0.00592667271649849,1594.2442254559971
8,-0.22,34.32,1116.67,1.03,-938.1810264585474,3282.199065041523,-0.008910613601496116,4220.389002113671
9,-0.21,45.6,1117.78,1.25,-938.1810264585474,4360.963792712514,-0.013122235139110365,5299.157941406201
10,-0.2,9.81,1115.74,1.49,-938.1810264585474,938.1810264585474,-0.018648491716417765,1876.3807014088113
11,-0.19,23.54,1112.86,1.74,-938.1810264585474,2251.251922816942,-0.0254382587967054,3189.4583875342864
12,-0.18,23.05,1125.58,1.97,-938.1810264585474,2204.3906890794615,-0.03256876982878488,3142.6042843078376
13,-0.17,21.57,1115.27,2.2,-938.1810264585474,2062.8506361580903,-0.040657039083601486,3001.0723196557215
14,-0.16,27.46,1120.19,2.41,-938.1810264585474,2626.14179271679,-0.0487666987431742,3564.3715858740807
15,-0.15,18.14,1121.31,2.61,-938.1810264585474,1734.8219999957237,-0.05719057978065562,2673.0602170340517
16,-0.14,18.14,1112.96,2.81,-938.1810264585474,1734.8219999957237,-0.0663433561485509,2673.0693698104196
17,-0.13,6.37,1119.73,3.0,-938.1810264585474,609.1960385872525,-0.07557020255340456,1547.4526352483533
18,-0.12,25.99,1110.54,3.2,-938.1810264585474,2485.558091504347,-0.08605649497075826,3423.825174457865
19,-0.11,25.99,1123.53,3.4,-938.1810264585474,2485.558091504347,-0.09703101089135481,3423.836148973786
20,-0.1,25.5,1117.04,3.62,-938.1810264585474,2438.6968577668663,-0.11006143708778744,3376.9879456625017
21,-0.09,18.14,1116.48,3.83,-938.1810264585474,1734.8219999957237,-0.12320787753111957,2673.126234331802
22,-0.08,18.14,1116.2,4.06,-938.1810264585474,1734.8219999957237,-0.1384536598493119,2673.1414801141204
23,-0.07,12.75,1111.01,4.32,-938.1810264585474,1219.3484288834331,-0.15683102597676535,2157.6862863679576
24,-0.06,39.23,1120.01,4.65,-938.1810264585474,3751.767754125261,-0.18155262650034296,4690.130333210309
25,-0.05,39.23,1114.62,5.1,-938.1810264585474,3751.767754125261,-0.21850295005422488,4690.167283533863
26,-0.04,50.99,1115.92,5.7,-938.1810264585474,4876.437363824804,-0.27290627977160153,5814.891296563123
27,-0.03,116.21,1116.29,6.44,-938.1810264585474,11113.763209454411,-0.34835370114317177,12052.292589614102
28,-0.02,116.21,1118.89,7.3,-938.1810264585474,11113.763209454411,-0.44749494689829533,12052.391730859857
29,-0.01,92.67,1117.04,8.2,-938.1810264585474,8862.51128663747,-0.5647363503695574,9801.257049446387
30,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
31,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
32,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
33,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
34,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
35,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
36,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
37,0.0,78.94,1118.52,9.09,-938.1810264585474,7549.440390279075,-0.6938814970522638,8488.315298234675
