,Total Impulse,Total Specific Impulse,Used Specific Impulse,Burn Time,Average Thrust,Average OF,Average Regression,Length Regressed,Combustion Efficiency,Launch Temperature
0,65323.77746054775,117.6055329818824,133.67110813360526,20.247999999999745,3226.184189082802,9.51797733972168,0.0009032622203373858,0.013203144781963742,0.8477191650453533,277.7951294384173
1,69130.79777553558,124.45949444311911,145.86392053826057,17.974999999999795,3845.9414617822736,11.031400559289104,0.0008610326800421447,0.010418399069563131,0.8864421075183927,283.7063293346914
2,65689.33474034292,118.26366330436234,131.1862967543058,18.767999999999777,3500.071117878501,8.080572181651764,0.001134798435724289,0.01655231622714888,0.8039029789029544,281.3219116515835
3,59142.40006838528,106.47690247354299,126.99269359630148,19.915999999999755,2969.5922910416753,16.8160782106095,0.0005848340852650084,0.006696761000544953,0.8518113716870408,274.8196496807676
4,69748.4346329509,125.57145573239777,145.1317751170429,17.061999999999813,4087.94013790597,10.616095039537024,0.0009779888586748961,0.011395080731529107,0.8496757653247788,287.3646043350955
5,67135.59192356802,120.86742955111357,138.13043395125996,18.814999999999777,3568.1951593711833,8.854284956111366,0.0009708922511533399,0.013533719684934558,0.8055317637359224,282.3458176529396
6,71429.50981310057,128.59797609343352,147.01729799506512,16.214999999999833,4405.150158069769,9.58826478157539,0.0011049595063179797,0.012801371582037558,0.8521212671151627,290.14258839305165
7,65905.99668355897,118.6537302034207,140.92089994409318,17.816999999999798,3699.051281560292,17.55892612883361,0.0006416226034266074,0.006399159775745368,0.9106763023871439,284.1205560824227
8,67908.97037146562,122.25977990342793,140.89578817389418,17.447999999999805,3892.0776233073348,9.035985762511546,0.0010351674910028146,0.01310178900331121,0.8251927407287496,285.141277216119
9,70687.36167237148,127.2618511625893,145.34610807045703,17.781999999999798,3975.219979325851,9.050372766591515,0.0010271268859073875,0.013391971583107913,0.8624159274369131,286.73138356515585
10,67745.12731768115,121.96480538703014,140.1592868705232,16.22199999999983,4176.126699400928,12.562833607975302,0.0009291076725490011,0.01016827732330405,0.8717866649642332,289.47315045068956
11,60778.04471494777,109.42163206368527,130.5305165328949,14.630999999999865,4154.059511649807,18.560250245562802,0.0007371089353400319,0.005827148426802977,0.8419105869103124,292.2219524621386
12,67113.40825585055,120.82749122900748,138.24687847957222,16.094999999999835,4169.829652429403,8.965276598074357,0.0011248433048785338,0.013406736863153733,0.8240238834634507,289.02605765643045
13,74589.57288892136,134.28718937435139,156.44196900098015,15.101999999999855,4939.052634678988,10.407323821641421,0.0010659399739395812,0.01085752124711635,0.9007623338108145,294.2900602282424
14,74839.75051340072,134.73759616359143,148.7792799256051,15.148999999999853,4940.243614324473,7.484062719096932,0.001470180039390548,0.01782768790537365,0.8558255486220432,294.60875844196636
15,68495.85711802209,123.31638029170863,137.46285960646847,16.22199999999983,4222.405197757539,8.480268196852627,0.0012657387165180953,0.015841623310769534,0.8279833988408164,289.41390413692716
16,68497.00728323207,123.31845098935955,141.34440635980434,17.14199999999981,3995.8585511161373,9.190971970492956,0.0010375242409146218,0.013193793435432378,0.8270802589839221,287.1728079244926
17,74988.10403837329,135.0046841375635,155.31280361117396,14.701999999999863,5100.537616540198,10.059782749508013,0.0011727074884882555,0.01213719048349026,0.8752685788429635,296.46866267739455
18,73793.04804879228,132.85316746076464,147.64227985630384,16.41499999999983,4495.464395296561,9.360675125213705,0.001234536570910334,0.01521084347457814,0.894469122597132,290.3103677673188
19,69227.17872230525,124.63301368916993,145.10334670579158,12.355999999999915,5602.7176045893275,11.301248813717363,0.0012428101454128268,0.010299614900317857,0.8435858640152732,301.83328027484515
20,72540.80129605724,130.59868750713397,153.87188524688065,15.675999999999844,4627.507099774047,12.307210871193007,0.0009098163080996682,0.009216122531684084,0.9340433049684114,291.5244159475085
21,78386.66098094566,141.12326937770658,155.32762973962147,13.755999999999885,5698.3615135901655,8.079058561559611,0.001606391197800802,0.01738711765234481,0.8657550765784394,300.9349631831744
22,66463.25906849834,119.65699643111444,135.8895097714023,15.734999999999841,4223.91223822682,10.42920126260029,0.001100521209612853,0.012584207392296555,0.8219582063362525,289.88424037725224
23,68296.69442709233,122.95781813674068,140.27780677966703,16.85499999999982,4052.013908459986,9.493481700640935,0.0010670747540370816,0.01308726125978415,0.8389258883651725,288.26658906030616
24,62721.19827587523,112.91998471692143,123.26409335958908,19.254999999999768,3257.397988879563,7.483166972181567,0.0012316787421063464,0.019008085054388786,0.7644866148720211,278.92985278410765
25,74206.1818999433,133.59695216897165,150.313150435628,15.421999999999848,4811.709369727923,8.589124278598975,0.0012841073494772302,0.015109735321050616,0.8642413083809118,293.51802085369417
26,75240.67953877096,135.45940793794955,151.02199017416413,14.741999999999862,5103.83119921121,8.060443064466439,0.0014255209668210954,0.016311577797879884,0.829534331320575,296.1365282953155
27,71611.30836722419,128.92527675919735,147.4462447615439,16.74899999999982,4275.557249222339,9.907372797272885,0.0010385085353832322,0.012679547427140432,0.8447868606080241,290.82381350800995
28,73762.94138492843,132.79896498828586,151.27495672038637,17.887999999999796,4123.599138245152,10.209195457563029,0.0009776185193487534,0.01241862906044364,0.9175629505975806,285.98270169557617
29,72982.79548112322,131.39443086017215,149.35083183761202,16.77499999999982,4350.688255208584,9.104359832304082,0.0011263190041784588,0.013977230296733326,0.8858491605023306,288.7089633972379
30,72236.27971017743,130.05044267494384,146.24855791568632,16.101999999999833,4486.168159866985,7.963685897158066,0.0012739593464021063,0.015672344531680024,0.8570694103839405,291.678084422208
