x,y,x_acc,y_acc,
0.0,1.0,0.0,0.0,
0.009998557692307692,10.85527923076923,-0.028846153846153848,-2894.4153846153845,
0.019994231601211346,20.42934536687266,-0.028829514234609697,-2729.84650870066,
0.029987023389952377,29.73796600528363,-0.028812889017884244,-2579.0634451484802,
0.03997693472033355,38.79560554626051,-0.028796278179377254,-2440.5585035334007,
0.04996396725272062,47.61556588088511,-0.02877968170251243,-2313.025623512219,
0.05994812264604403,56.21010849765435,-0.028763099570737347,-2195.3287335948266,
0.06992940255780053,64.5905608890522,-0.02874653176752343,-2086.4757738331027,
0.07990780864405483,72.76740962928454,-0.0287299782763659,-1985.597249476872,
0.08988334255944128,80.75038208544458,-0.02871343908078374,-1891.9284319692154,
0.09985600595716547,88.5485183943389,-0.028696914164319638,-1804.7945133455446,
0.10982580048900592,96.17023506929037,-0.02868040351053997,-1723.5981655112382,
0.11979272780531569,103.62338138255966,-0.028663907103034764,-1647.809068132434,
0.12975678955502404,110.91528948961601,-0.02864742492541761,-1576.9550561259553,
0.13971798738563804,118.05281911356697,-0.028630956961325664,-1510.6146059823302,
0.14967632294324426,125.04239748552563,-0.02861450319441961,-1448.4104338636462,
0.15963179787251033,131.89005513474473,-0.02859806360838359,-1390.0040209275735,
0.16958441381668665,138.60145803715943,-0.028581638186925197,-1335.0909151601695,
0.17953417241760794,145.18193655951282,-0.0285652269137754,-1283.3966860659764,
0.18948107531569489,151.63651157604664,-0.028548829772688515,-1234.673430325688,
0.19942512414995583,157.96991808385854,-0.028532446747442198,-1188.696744112467,
0.20936632055798832,164.18662659986353,-0.02851607782183734,-1145.263092026063,
0.2193046661759807,170.2908625855555,-0.02849972297969809,-1104.1875142341519,
0.22924016263871388,176.28662411438924,-0.028483382204871784,-1065.301622930268,
0.23917281157956277,182.1776979697244,-0.028467055481228905,-1028.4518470415978,
0.24910261463049796,187.96767433817874,-0.028450742792663058,-993.4978905748025,
0.2590295734220874,193.65996024333768,-0.028434444123090905,-960.3113753332408,
0.2689536895834978,199.2577918475709,-0.028418159456452156,-928.7746431810879,
0.27887496474249657,204.76424573480836,-0.028401888776709502,-898.7796967341097,
0.2887934005254531,210.1822492741863,-0.028385632067848596,-870.2272604561197,
0.29870899855734057,215.51459015320435,-0.028369389313878005,-843.0259467414209,
0.3086217604617374,220.76392515919767,-0.028353160498829168,-817.091513753639,
0.3185316878608289,225.93278827932127,-0.028336945606756356,-792.3462036406751,
0.328438782375409,231.02359818169725,-0.028320744621736647,-768.7181513116277,
0.33834304562488166,236.03866513374308,-0.02830455752786987,-746.1408552914352,
0.3482444792272624,240.98019740785927,-0.02828838430927857,-724.5527033013777,
0.3581430847991802,245.85030721950136,-0.028272224950107977,-703.8965461802514,
0.3680388639558788,250.65101623810503,-0.028256079434525957,-684.1193145883277,
0.3779318183112183,255.384260707297,-0.02823994774672298,-665.171673645952,
0.3878219494776769,260.0518962072432,-0.028223829870912088,-647.0077112689451,
0.3977092590663524,264.65570208880155,-0.02820772579132883,-629.5846564889957,
0.40759374868696374,269.1973856063103,-0.028191635492231252,-612.8626245015943,
0.4174754199478526,273.67858577331515,-0.028175558957899843,-596.8043855773861,
0.4273542744559849,278.1008769632754,-0.02815949617263751,-581.3751553140095,
0.43723031381695254,282.4657722752699,-0.028143447120769525,-566.5424040020464,
0.4471035396349748,286.77472668290744,-0.02812741178664348,-552.2756831370006,
0.4569739535129,291.02913998302137,-0.028111390154629292,-538.5464673345917,
0.466841557052207,295.2303595592634,-0.028095382209119096,-525.3280101036821,
0.4767063518530068,299.37968297439505,-0.028079387934527283,-512.5952121037061,
0.48656833951404416,303.4783604038883,-0.028063407315290386,-500.32450066486217,
0.49642752163269893,307.5275969223742,-0.02804744033586711,-488.49371948237626,
0.5062838998049879,311.5285546535103,-0.028031486980738263,-477.08202751326655,
0.5161374756255661,315.48235479296034,-0.028015547234406697,-466.069806207313,
0.5259882506877285,319.3900795133853,-0.02799962108139732,-455.4385742951441,
0.5358362265834115,323.2527737596236,-0.027983708506257015,-445.1709094370196,
0.5456814049031945,327.0714469415847,-0.027967809493554624,-435.25037610735586,
0.5555237872363015,330.84707453178277,-0.02795192402788091,-425.6614591534349,
0.5653633751706023,334.580599573897,-0.027936052093848505,-416.3895025230675,
0.5752001702926147,338.2729341082498,-0.02792019367609189,-407.42065270608674,
0.5850341741875054,341.9249605196433,-0.027904348759267356,-398.7418064791911,
0.5948653884390916,345.5375328125837,-0.027888517328052954,-390.34056258348653,
0.6046938146298432,349.1114778185449,-0.027872699367148458,-382.20517699964114,
0.6145194543408832,352.64759633958033,-0.027856894861275364,-374.3245215173889,
0.6243423091519904,356.1466642322736,-0.027841103795176795,-366.6880453246081,
0.6341623806416002,359.60943343573234,-0.0278253261536175,-359.2857393667438,
0.6439796703868063,363.0366329470602,-0.02780956192138383,-352.10810325027626,
0.6537941799633621,366.4289697475013,-0.02779381108328367,-345.14611448454207,
0.6636059109456826,369.7871296822245,-0.027778073624146405,-338.39119987476215,
0.6734148649068453,373.1117782965091,-0.027762349528822908,-331.8352088958257,
0.6832210434185926,376.40356163090433,-0.02774663878218549,-325.4703888914429,
0.6930244480513322,379.6631069777572,-0.02773094136912785,-319.2893619568736,
0.7028250803741397,382.8910236013434,-0.02771525727456506,-313.2851033757228,
0.7126229419547593,386.0879034236862,-0.02769958648343352,-307.4509214924051,
0.7224180343596056,389.2543216780088,-0.02768392898069092,-301.7804389119448,
0.7322103591537654,392.3908375316394,-0.027668284751316205,-296.2675749278971,
