time,Direction of translational drag1,Direction of translational drag2,Direction of translational drag3,thrust1,thrust2,thrust3,Pitch torque due to z translational drag,Pitch torque after x translational drag,Yaw torque after x translational drag,Pitch torque after y translational drag,Yaw torque after y translational drag,position1,position2,position3,velocity1,velocity2,velocity3,acceleration1,acceleration2,acceleration3,rotation1,rotation2,angular_velocity1,angular_velocity2,angular_acceleration1,angular_acceleration2
0.0,0.4821770437492815,-0.0,-0.0,-69.76422480178864,-4.079383127545116,696.5029156946181,0.0,0.5747400655689847,-0.03377600629116854,0.5747400655689847,-0.03377600629116854,-0.0003004692661712293,-1.7691873933136508e-05,0.002775178431807874,-0.06009385323424586,-0.0035383747866273014,0.5550356863615747,-12.018770646849172,-0.7076749573254603,111.00713727231495,3.1999998902045568,0.10000186830378457,-2.1959088694847783e-05,0.0003736607569146486,-0.004391817738969557,0.07473215138292971
0.01,0.4895589197915317,0.00017218954053812828,-0.02700995388562574,-70.70469847438636,-4.134368458602623,705.8790125424,-0.003235855428679014,0.5803030715486931,-0.034293034728577546,0.5803150729659705,-0.03408675962473437,-0.0015067669356127445,-8.871910273126053e-05,0.013920042976355882,-0.18116568065405714,-0.0106670709729975,1.673937222548027,-12.18816726298528,-0.7176269383636226,112.70456779549977,3.1999994499450928,0.10000936079117452,-6.609280411194545e-05,0.0011248367210735057,-0.0044349253444499765,0.07550304144884175
0.02,0.509050658657163,0.0005333455593464268,-0.08369560740063249,-71.64922438416588,-4.189566773021409,715.2547022270054,-0.010027677585421814,0.5967443521860996,-0.03565813995841516,0.5967815254637855,-0.03501921663515839,-0.003932607398609152,-0.0002315539401962803,0.03634227115541662,-0.30400241194522426,-0.017899896520006453,2.8105084132641203,-12.356475344636134,-0.7276013756167058,114.39989283516822,3.1999985641674114,0.10002443907008522,-0.00011106273212908215,0.0018908190610665448,-0.004559060258977363,0.07769342654976608
0.03,0.5350088207675743,0.0009294060837882078,-0.1459284200277977,-72.59938001241078,-4.245060983735944,724.6298261292874,-0.017486497549034856,0.620225895531505,-0.03747589771835871,0.6202906724743147,-0.03636251213923634,-0.007595632738419572,-0.0004472407849260933,0.07021871192069246,-0.42860265601685954,-0.02523747242595615,3.9647797397910454,-12.524952006888851,-0.7376397440512048,116.09731626976361,3.199997221140917,0.1000473097118922,-0.00015754256678106912,0.0026833093003280333,-0.0047369066714200315,0.08080462130253156
0.04,0.5673954752024377,0.0013731108694386774,-0.2157142388806822,-73.55552983907658,-4.300870247204146,734.0043473617427,-0.025854772628199095,0.6504599161674027,-0.03974358099129202,0.6505556156454662,-0.03809865743495665,-0.012513504670521675,-0.0007368313367406022,0.11572661905903994,-0.554971730403561,-0.03268063793694562,5.136801687878453,-12.69367171309863,-0.7477435292147061,117.79652872225626,3.199995403136954,0.10007828294634716,-0.00020605822583751203,0.0035113375906646684,-0.004966225139868551,0.08480103676479549
0.05,0.6060396828434816,0.0018764392701667535,-0.29494211308822627,-74.51812301802471,-4.357018159200614,743.3782203615777,-0.03536166283378146,0.6870133408793934,-0.04244911948543993,0.6871441155465993,-0.04020123145663555,-0.018703943037819973,-0.0011013858031283248,0.17304373894333802,-0.6831159430560987,-0.0402302553405989,6.326622288981161,-12.862747012001886,-0.7579151285837958,119.4972389280979,3.1999930873072366,0.10011775705017595,-0.0002571077176605798,0.004383483175093713,-0.005243673224745005,0.08962808012101336
0.060000000000000005,0.6506896232414986,0.002450353420295752,-0.3853433301249722,-75.48768649114662,-4.413532386187627,752.7513915463426,-0.046218349392011304,0.7293746232543962,-0.045574750854849765,0.7295453882750232,-0.042639339646394096,-0.026184737371148768,-0.0015419731751596583,0.2423482870923474,-0.8130429236096602,-0.04788721906566779,7.534287340820715,-13.03231839311282,-0.7681578352299853,121.19918101731945,3.1999902460052687,0.10016621310413232,-0.0003111526758884433,0.005307727616179938,-0.005565318420827693,0.0952208080962316
0.07,0.7010596637707922,0.003104750247850513,-0.488482750621048,-76.46482511563575,-4.47044466785296,762.1237992543487,-0.05861722548581244,0.7770106563871246,-0.04910031706869894,0.7772270147252157,-0.045380967804440626,-0.034973761308267674,-0.002059671594325612,0.3238189271577644,-0.9447618638141211,-0.055652464767522905,8.759840672262689,-13.202546209516129,-0.7784758498212369,122.90211607518867,3.1999868471687,0.10022420868352139,-0.0003686146378315576,0.006291388261633961,-0.005927073967795168,0.10151132099457312
0.08,0.756865135857175,0.0038485451607970437,-0.6057708777035761,-77.45022067391963,-4.5277907595531595,771.4953737860311,-0.07273357855966057,0.8294065404954888,-0.05300569925755323,0.829674713941577,-0.04839531667800388,-0.04508898906241848,-0.002655568810039671,0.4176347525490861,-1.0782836870160408,-0.06352697837528887,10.003324406001655,-13.373604520003298,-0.7888742593431699,124.60583011432752,3.1999828547203943,0.10029237119780272,-0.0004298750233081115,0.007341114594632506,-0.006325003127515605,0.10843394560513582
0.09,0.8178440434440083,0.004689820402696382,-0.7384861690872747,-78.44463025431794,-4.585610340200702,780.8660374964169,-0.08872851321240592,0.8860885326960585,-0.05727233667901475,0.886415303133262,-0.051654143198410066,-0.05654851333245421,-0.0033307627261573002,0.5239752705401265,-1.213621166991106,-0.07151180484823698,11.264779192206433,-13.545677078759487,-0.7993589985302609,126.31013026338785,3.199978228957714,0.1003713913983877,-0.0004952775127822671,0.008462925522363463,-0.00675549476731552,0.11592823994105567
0.09999999999999999,0.883768107523073,0.005635989614338274,-0.887799974701024,-79.44888438901428,-4.643946905802092,790.2357048989614,-0.10675220723321917,0.946633951696014,-0.0618839982115975,0.9470266137274966,-0.05513233483197999,-0.06937056424672178,-0.004086362033040198,0.6430203885104375,-1.3507890158624076,-0.07960805652834248,12.54424440185577,-13.718955129748075,-0.8099368059102768,128.0148404864155,3.199972926911734,0.10046201736719838,-0.0005651316832242891,0.009662268239773453,-0.00721533932108887,0.12394030354094228
0.10999999999999999,0.9544464425990601,0.006693951076838728,-1.05479975248529,-80.4638852098608,-4.702847662219761,799.6042827535637,-0.12694698368146648,1.0106724831694158,-0.06682703731643318,1.0111388073091616,-0.05880798095736145,-0.08357352910866175,-0.004923486921037296,0.7749504019137925,-1.4898039565255885,-0.08781692107107719,13.841758278815234,-13.893636483597001,-0.8206151816101144,129.7197975848422,3.1999669026679376,0.10056504913137422,-0.0006397170760118942,0.010944084595394565,-0.007701739236432154,0.13242296758328032
0.11999999999999998,1.0297247883062026,0.007870217873322344,-1.2405086864292054,-81.49060477086633,-4.762363424849578,808.9716701226627,-0.14944997672670585,1.0778825925898339,-0.07209033530801151,1.0784307973977008,-0.06266216020182903,-0.09917597284131198,-0.005843269871338836,0.9199459835833299,-1.6306847900044572,-0.09613966898923074,15.157358055092246,-14.069925397865276,-0.8314023503261796,131.4248478079962,3.1999601076466395,0.10068133393514785,-0.0007192871836456233,0.012312876159330218,-0.00821228229031368,0.14133534520385022
0.12999999999999998,1.1094824270797299,0.009171022619449106,-1.4459013124947557,-81.91285729961909,-4.786481634223601,812.2175708391112,-0.17439534552761143,1.1479856312913512,-0.07766508226220954,1.148624362668823,-0.06667859587964774,-0.11619391286766101,-0.006846696022739303,1.0781609717546115,-1.7729032152653477,-0.10454556129086255,16.48563957916406,-14.139946252893528,-0.8359912613553159,132.0581409460739,3.199952490845307,0.10081176213232014,-0.0008040730828131716,0.013772763275129364,-0.008744897543195965,0.15064207795597923
0.13999999999999999,1.193283124925713,0.010596575185678305,-1.670958739210235,-81.93536695971481,-4.787170743699804,811.3821462745769,-0.2018005313688554,1.2204435375077929,-0.08352034200637513,1.2211814479750427,-0.07082609997662924,-0.1346362805850952,-0.007934337594230612,1.2496772506074325,-1.9155703282214875,-0.11298275300739924,17.81761619140014,-14.139347267386174,-0.8364614549116683,131.97411947149078,3.19994399910449,0.10095726263599372,-0.0008942750806397489,0.015327337459587854,-0.009295502022119498,0.16027275893571885
0.15,1.2804316576141663,0.012140979384968225,-1.914657813789492,-81.96986067100924,-4.788487637016122,810.5454921797407,-0.23156450072513152,1.2945279863909813,-0.08960702168135858,1.295373308730764,-0.07506264252581347,-0.15450583622544134,-0.009106406936917397,1.4345137558185521,-2.0583407998477408,-0.12143111552995771,19.14968485082376,-14.140250551194699,-0.837020899566087,131.88639192862547,3.1999345775015455,0.10111879612563875,-0.000990045508299048,0.016979360469418385,-0.009858583509740334,0.17013184303038711
0.16,1.3705449393812827,0.013801799404699928,-2.176543531044861,-82.01707750008165,-4.7904705648338455,809.707528120967,-0.263657500508521,1.3698113541643955,-0.09589785014170848,1.3707721412896479,-0.07936386983576378,-0.17580369354352185,-0.010363020425881912,1.6326712213838444,-2.201230663768361,-0.12989158226294528,20.481808262234665,-14.142856123826578,-0.8376769211967475,131.7950162257115,3.199924169807706,0.10129734711573221,-0.0010914932596569657,0.01873083754927377,-0.010430966761843215,0.18016357294068985
0.17,1.463484048843532,0.015579925005872896,-2.456702976058183,-82.07777249746594,-4.793158496834073,808.8681709466707,-0.29811854197115845,1.446088196889006,-0.10238260858589361,1.4471725520685157,-0.08371849659292377,-0.1985311356997016,-0.011704304128822687,1.8441500087063032,-2.344257767467592,-0.13836515832520987,21.813949202257113,-14.147324526810856,-0.8384364088392086,131.69995484244401,3.199912718821285,0.10149391811263336,-0.0011987040245560493,0.020583361830955473,-0.011011186217973506,0.1903412833956509
0.18000000000000002,1.5591313037609615,0.017476097288183324,-2.755192875955943,-82.15271187036146,-4.796590851620093,808.0273351367276,-0.33498657526638465,1.5231783693871255,-0.10905252388251291,1.5243944344058424,-0.08811686116526271,-0.2226896323849929,-0.013130394515636223,2.0689501050495585,-2.4874415695906684,-0.1468529190374973,23.14607006639392,-14.153814983219384,-0.8393063757787704,131.60117508256607,3.1999001665517395,0.10170952630203454,-0.0013117498845910643,0.02253827604928076,-0.011597985789029498,0.20064156026940638
0.19000000000000003,1.6573860160031877,0.01949094000285077,-3.0720442325744353,-82.24267022333623,-4.800807334200306,807.1849329345594,-0.3743012696649703,1.6009211810200328,-0.11589996974503815,1.6022771264212143,-0.09255058926055136,-0.24828085587880297,-0.014641439166052954,2.30707111994729,-2.6308031291713463,-0.1553560110458489,24.478132913152383,-14.162485652886906,-0.8402939258799872,131.49864830044785,3.199886454346366,0.101945201188607,-0.00143069119011895,0.024596701265210172,-0.012190275316547641,0.21104348291647598
0.20000000000000004,1.7581611962127546,0.021624983575936018,-3.4072657932770927,-82.3484285812141,-4.805847813447608,806.3408743915759,-0.41610365262037574,1.679170824427548,-0.12291823443566316,1.6806748413273231,-0.09701233284620482,-0.275306697010961,-0.016237597487031432,2.558512282020032,-2.7743650972602567,-0.16387565314984676,25.810099501396056,-14.173493859280352,-0.8414062280830076,131.3923493132149,3.199871523000163,0.10220198248910549,-0.00155557805051614,0.02675955883448713,-0.012787096762890356,0.2215280309389159
0.21000000000000005,1.861380963956516,0.023878683512379564,-3.760846627127163,-82.47077262648443,-4.8117522097233785,805.4950673816159,-0.4604366372211546,1.757792756676095,-0.13010133794482773,1.7594530497581413,-0.10149556527644416,-0.30376928104919687,-0.017919041437228986,2.8232724361399786,-2.9181517103869172,-0.1724131368896639,27.141931322593244,-14.186996230944969,-0.8426504935673954,131.28225596248348,3.1998553128522973,0.10248091821857268,-0.0016864515226726801,0.02902758705895063,-0.01338759766841768,0.23207761395378346
0.22000000000000006,1.9669785082934153,0.026252434745501374,-4.132758058739174,-82.6104911012368,-4.818560390054927,804.6474175906543,-0.507345467135376,1.8366608188534008,-0.13744388778255467,1.8384856002606222,-0.10599441988843979,-0.3336709835265957,-0.019685956256251365,3.101350040899149,-3.0621887850928466,-0.18096982691481178,28.47358962924082,-14.203148775602179,-0.8440339548617041,131.16834878294924,3.199837763871873,0.10278306292192997,-0.0018233445621703324,0.031401353612508356,-0.013991010231112764,0.24267569675776177
0.23000000000000007,2.074894476959494,0.02874658302216458,-4.522955136611354,-82.76837433417505,-4.826312068815199,803.7978284860559,-0.5568780991091258,1.9156549288510687,-0.14494096484860394,1.9176524127672585,-0.11050356222843874,-0.3650144460167296,-0.021538541196581256,3.392743166347252,-3.206503712933937,-0.1895471611511665,29.80503546037978,-14.222106901074742,-0.8455638463552256,131.05061074796333,3.199818815735127,0.10310947601293785,-0.001966282787013674,0.03388126458906871,-0.014596634737555528,0.25330649855430915
0.24000000000000007,2.1850756996379235,0.031361434091078964,-4.931377761060283,-82.94521286135905,-4.8350467122847585,802.9462012689003,-0.6090855368864695,1.9946592207729759,-0.1525880327586397,1.9968376185410437,-0.11501808836568082,-0.3978025918587746,-0.023477010256227497,3.6974494919734764,-3.3511254554750547,-0.1981466507780814,31.136229664865095,-14.244025393915603,-0.847247385798163,130.92902707104003,3.199798407895729,0.10346122019003982,-0.0021152850925532586,0.036467570831325014,-0.015203826370361379,0.26395474989695106
0.25000000000000006,2.297474172389349,0.03409726124035555,-5.357951561400057,-83.1417961156101,-4.844803445812072,802.0924348123486,-0.6640221261601064,2.0735605344218033,-0.16038086551728767,2.075928050083291,-0.11953344353077447,-0.4320386418306252,-0.02550159291023663,4.015466304912164,-3.496084538895067,-0.2067698800237447,32.467132922872345,-14.269058363975942,-0.8490917564724536,130.80358504828143,3.199776479649528,0.10383935990447239,-0.0022703641476393152,0.03916037205518806,-0.015811984646849908,0.2746054948756589
0.26000000000000006,2.4120462471448194,0.036954311578037136,-5.802588587562132,-83.35891116441498,-4.855620962552877,801.2364255885944,-0.7217458172238522,2.1522471813121395,-0.16831548960773937,2.1548120074802712,-0.12404535667653335,-0.4677261297645619,-0.02761253483927599,4.3467904983564996,-3.641413047892277,-0.21541850578412786,33.797705765994856,-14.297359161089298,-0.851104089787323,130.67427393086095,3.1997529701948126,0.10424495986062225,-0.0024315267954715,0.0419596191747839,-0.016420544919587058,0.2852439290435081
0.2700000000000001,2.528751983153413,0.039932811344182965,-6.265187864463962,-83.59734148000737,-4.867537432977054,800.3780675866407,-0.7823183999664206,2.2306079311745366,-0.17638813747741158,2.233378245173231,-0.1285497875950878,-0.5048689180971928,-0.02981009865354006,4.6914185701674285,-3.787144618633899,-0.2240942570686857,35.12790859619084,-14.329080268467838,-0.853291448107509,130.5410848195753,3.1997278186889475,0.1046790835322423,-0.002598774377586194,0.04486511514922624,-0.017028971503351736,0.2958552658449595
