,Apogee,Lateral Velocity,Total Impulse,Max Mach,Max Velocity,Landing Velocity,Landing Distance,Mean Wind Speed,Wind Speed Deviation
0,9981.165757363162,91.92278399239092,87681.52886058117,1.6026528448069286,501.0506253256173,7.483334969855945,16013.468095456321,20.02483837950392,2.163684595160627
1,9821.555233673187,90.60441545434432,76271.66283523917,1.4650681330083437,452.506131383439,7.868923922494513,9806.912245611751,14.910277500711013,2.008393816952992
2,13065.974238473154,51.4279689553568,91266.02424398877,1.6843582481716348,518.9420499010977,7.453304618486042,7569.404856832397,8.460470509074629,0.46585031326251714
3,15758.66960605691,55.554968582069115,98554.69203679773,2.038752898191366,623.7776244442963,7.906958838023775,15870.228990609638,14.875420124229553,1.2322465422820241
4,9453.80051547083,92.8630575806063,87401.24993374052,1.6198092833822924,514.4672759773679,7.729821710234288,15753.119593294743,20.72352771908205,0.7909783305526855
5,9717.341216645302,74.50959616200512,80872.92752388124,1.4342167711951122,451.96426977085036,7.585228025901037,10000.62199806003,13.607844116023335,0.7370291592550006
6,17921.831975667035,101.43695723575476,104755.6918562823,2.194736479105068,657.7956420860135,7.815784353508897,21113.21847051393,19.97584406663651,1.7813734430452963
7,12072.680482757796,94.87574021233085,90654.22827428387,1.8237035048892976,562.8879249609068,7.853578156290185,12395.367665303273,16.06211734704949,1.839786814431678
8,12079.805617426713,50.49675471126401,87401.24993374052,1.7695403560176537,553.0752715544568,7.943566517304349,6479.091174799277,8.516089429052572,0.7052618795063134
9,12076.488432536462,90.7000379894094,90654.22827428387,1.8236747442549097,560.898163275012,7.889633549096046,18122.079348033945,20.95953853869036,0.558036981624967
10,13213.157101938406,9.99169692549764,97713.48483575658,1.8744824514511655,593.3585408866304,7.659288463051041,6932.593015701681,4.967091957999701,0.2902711650204759
11,12514.714613953749,89.59181082513058,92523.82495938192,1.6888639950068913,515.7012796895548,7.732757638775915,17977.488910342203,18.76674628788006,1.9669227093371444
12,8544.328799431354,94.8405603707541,76271.66283523917,1.3363267680565323,418.46519356502,7.513088987188107,9039.145345821958,14.785348325168497,0.8995983928559389
13,9209.700221409596,73.27477912526679,80137.23104327764,1.4456119952919033,452.54997646532803,7.550881194656492,16334.70044420979,20.08356669311375,1.6384417400481102
14,15122.511495256735,82.84489295130851,99062.23112370679,2.0460277974770915,626.5158357132003,7.908372566370776,12633.301843034615,13.957732670762912,1.01456765976698
15,14212.521634819883,82.5167289851253,90096.16558491543,1.8067363527621114,549.5219660171781,7.924273866486302,12061.751841119647,13.890700909794298,1.4469232971008534
