Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (),Lateral velocity (m/s),Lateral acceleration (m/s),Latitude (),Longitude (),Gravitational acceleration (m/s),Angle of attack (),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kgm),Rotational moment of inertia (kgm),CP location (in),CG location (in),Stability margin calibers (),Mach number (),Reynolds number (),Thrust (N),Drag force (N),Drag coefficient (),Axial drag coefficient (),Friction drag coefficient (),Pressure drag coefficient (),Base drag coefficient (),Normal force coefficient (),Pitch moment coefficient (),Yaw moment coefficient (),Side force coefficient (),Roll moment coefficient (),Roll forcing coefficient (),Roll damping coefficient (),Pitch damping coefficient (),Coriolis acceleration (m/s),Reference length (in),Reference area (cm),Vertical orientation (zenith) (),Lateral orientation (azimuth) (),Wind velocity (m/s),Air temperature (C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,7.2634,0,7.2812,0,0,0,0,0,0.50791,28.61,-80.6,9.7882,86,0,0,0,120910,59934,355.65,0.66121,NaN,128.1,NaN,0.03066,4072268,2061,0.0010766,0.80162,6.576e-4,0.6719,0.0095993,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0012275
0.01,3.6317e-4,0.072634,25.852,0.072812,25.915,2.5395e-5,0,2.5395e-5,0,0.0050791,1.8077,28.61,-80.6,9.7882,85.608,0,0,0,120910,59934,355.65,0.66121,NaN,128.1,NaN,0.0304,4037712,4314,0.0013956,0.80162,8.671e-4,0.6719,0.0095991,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3292e-6,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0018293
0.02,0.0023822,0.33119,29.025,0.332,29.096,1.6658e-4,0,1.6658e-4,0,0.023159,2.0296,28.61,-80.6,9.7882,84.198,0,0,0,120894,59919,355.61,0.66116,NaN,128.12,NaN,0.030191,4009899,4698,0.0031242,0.80162,0.0019682,0.67191,0.0095989,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2538e-5,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0023913
0.03,0.0071457,0.62152,32.204,0.62304,32.283,4.9968e-4,0,4.9968e-4,0,0.043461,2.2519,28.61,-80.6,9.7882,82.596,0,0,0,120863,59887,355.54,0.66104,NaN,128.15,NaN,0.030012,3986091,5082,0.0063018,0.80162,0.0040176,0.67191,0.0095988,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9828e-5,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0026888
0.04,0.014971,0.94365,35.385,0.94596,35.472,0.0010469,0,0.0010469,0,0.065987,2.4744,28.61,-80.6,9.7882,80.804,0,0,0,120831,59855,355.46,0.66092,NaN,128.18,NaN,0.029871,3967355,5466,0.011725,0.80162,0.0075458,0.67191,0.0095987,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.212e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0029228
0.05,0.026178,1.2976,38.568,1.3008,38.662,0.0018305,0,0.0018305,0,0.090738,2.697,28.61,-80.6,9.7882,78.824,0,0,0,120799,59824,355.39,0.66081,NaN,128.21,NaN,0.029777,3954872,5850,0.020447,0.80162,0.013242,0.67191,0.0095986,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6667e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0031363
0.06,0.041083,1.6834,41.753,1.6875,41.855,0.0028728,0,0.0028728,0,0.11771,2.9196,28.61,-80.6,9.7882,76.626,0,0,0,120768,59792,355.31,0.66069,NaN,128.24,NaN,0.029629,3935294,6234,0.033801,0.80162,0.022109,0.67191,0.0095985,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1622e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.003307
0.07,0.060005,2.101,44.939,2.1062,45.049,0.0041959,0,0.0041959,0,0.14692,3.1424,28.61,-80.6,9.7882,74.239,0,0,0,120736,59760,355.24,0.66058,NaN,128.27,NaN,0.029551,3924841,6618,0.053463,0.80162,0.035157,0.67191,0.0095984,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6986e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0035753
0.08,0.083262,2.5505,46.683,2.5568,46.797,0.0058223,0,0.0058223,0,0.17835,3.2644,28.61,-80.6,9.7882,71.675,0,0,0,120705,59729,355.17,0.66046,NaN,128.3,NaN,0.029552,3925035,6827.3,0.0814,0.80162,0.053522,0.67191,0.0095984,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2759e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.003939
0.09,0.1111,3.0175,46.987,3.0249,47.101,0.007769,0,0.007769,0,0.211,3.2856,28.61,-80.6,9.7882,69.026,0,0,0,120669,59693,355.08,0.66033,NaN,128.33,NaN,0.029631,3935462,6862,0.11859,0.80162,0.077564,0.67191,0.0095985,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8757e-4,7,248.29,86,0,NaN,28.93,999.66,348.83,0.01,0.0041268
0.1,0.14363,3.4875,47.292,3.496,47.408,0.010043,0,0.010043,0,0.24387,3.307,28.61,-80.6,9.7882,66.38,0,0,0,120628,59652,354.99,0.66018,NaN,128.37,NaN,0.029776,3954714,6896.8,0.1651,0.80162,0.10693,0.67191,0.0095986,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4794e-4,7,248.29,86,0,NaN,28.929,999.65,348.83,0.01,0.0043418
0.11,0.18087,3.9606,47.598,3.9703,47.715,0.012648,0,0.012648,0,0.27695,3.3284,28.61,-80.6,9.7882,64.152,0,0,0,120588,59612,354.89,0.66004,NaN,128.41,NaN,0.03051,4052248,6931.5,0.22031,0.80162,0.1359,0.6719,0.0095992,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.087e-4,7,248.29,86,0,NaN,28.929,999.65,348.83,0.01,0.0045673
0.12,0.22285,4.4368,47.904,4.4476,48.021,0.015584,0,0.015584,0,0.31025,3.3498,28.61,-80.6,9.7882,62.018,0,0,0,120547,59572,354.8,0.65989,NaN,128.45,NaN,0.031292,4156164,6966.2,0.28526,0.80163,0.16728,0.6719,0.0095998,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6986e-4,7,248.29,86,0,NaN,28.929,999.65,348.83,0.01,0.0048223
0.13,0.26962,4.916,48.21,4.928,48.328,0.018854,0,0.018854,0,0.34376,3.3712,28.61,-80.6,9.7882,59.976,0,0,0,120507,59531,354.7,0.65974,NaN,128.49,NaN,0.03212,4266147,7000.9,0.36033,0.80163,0.20055,0.6719,0.0096005,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3141e-4,7,248.29,86,0,NaN,28.929,999.65,348.83,0.01,0.0049665
0.14,0.32119,5.3982,48.517,5.4114,48.635,0.02246,0,0.02246,0,0.37748,3.3926,28.61,-80.6,9.7882,58.027,0,0,0,120467,59491,354.61,0.65959,NaN,128.53,NaN,0.032992,4381889,7035.6,0.44582,0.80164,0.23519,0.67189,0.0096012,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9335e-4,7,248.29,86,0,NaN,28.929,999.65,348.83,0.01,0.0051135
0.15,0.3776,5.8835,48.823,5.8979,48.942,0.026404,0,0.026404,0,0.41142,3.414,28.61,-80.6,9.7882,56.167,0,0,0,120426,59450,354.52,0.65944,NaN,128.56,NaN,0.033905,4503089,7070.4,0.54197,0.80164,0.27074,0.67189,0.009602,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5568e-4,7,248.29,86,0,NaN,28.929,999.64,348.83,0.01,0.0052611
0.16,0.43887,6.3719,49.13,6.3875,49.249,0.030689,0,0.030689,0,0.44557,3.4355,28.61,-80.6,9.7882,54.341,0,0,0,120386,59410,354.42,0.6593,NaN,128.6,NaN,0.034802,4622310,7105.1,0.64939,0.80165,0.30788,0.67189,0.0096027,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1841e-4,7,248.29,86,0,NaN,28.928,999.64,348.83,0.01,0.0054393
0.17,0.50505,6.8634,49.436,6.8801,49.557,0.035317,0,0.035317,0,0.47993,3.4569,28.61,-80.6,9.7882,52.596,0,0,0,120345,59370,354.33,0.65915,NaN,128.64,NaN,0.035739,4746699,7139.8,0.76796,0.80165,0.34526,0.67188,0.0096036,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8154e-4,7,248.29,86,0,NaN,28.928,999.64,348.83,0.01,0.0055979
0.18,0.57616,7.3579,49.472,7.3759,49.592,0.040289,0,0.040289,0,0.51452,3.4594,28.61,-80.6,9.7882,50.932,0,0,0,120305,59329,354.24,0.659,NaN,128.68,NaN,0.036712,4875998,7141.8,0.89779,0.80166,0.38251,0.67188,0.0096045,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4505e-4,7,248.29,86,0,NaN,28.928,999.64,348.83,0.01,0.005884
0.19,0.65221,7.8528,49.235,7.872,49.356,0.045607,0,0.045607,0,0.54912,3.4429,28.61,-80.6,9.7882,49.353,0,0,0,120265,59289,354.15,0.65886,NaN,128.72,NaN,0.037716,5009284,7111.1,1.0382,0.80166,0.4191,0.67187,0.0096054,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010086,7,248.29,86,0,NaN,28.928,999.63,348.83,0.01,0.0061593
0.2,0.7332,8.3453,48.998,8.3657,49.118,0.05127,0,0.05127,0,0.58356,3.4263,28.61,-80.6,9.7882,47.865,0,0,0,120226,59251,354.06,0.65871,NaN,128.75,NaN,0.038742,5145565,7080.4,1.1882,0.80167,0.45458,0.67187,0.0096064,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010719,7,248.29,86,0,NaN,28.927,999.63,348.83,0.01,0.0063381
0.21,0.8191,8.8354,48.761,8.857,48.881,0.057277,0,0.057277,0,0.61783,3.4097,28.61,-80.6,9.7882,46.943,0,0,0,120187,59212,353.97,0.65857,NaN,128.79,NaN,0.040199,5339016,7049.7,1.3423,0.80168,0.47698,0.67186,0.0096079,0.12021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011348,7,248.29,86,0,NaN,28.927,999.62,348.83,0.01,0.0065202
0.22,0.9099,9.3232,48.524,9.346,48.643,0.063626,0,0.063626,0,0.65194,3.3931,28.61,-80.6,9.7882,46.093,0,0,0,120149,59173,353.88,0.65843,NaN,128.83,NaN,0.041661,5533124,7019,1.5048,0.80168,0.4979,0.67185,0.0096094,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011975,7,248.29,86,0,NaN,28.927,999.62,348.83,0.01,0.0067597
0.23,1.0056,9.8086,48.287,9.8325,48.405,0.070315,0,0.070315,0,0.68588,3.3765,28.61,-80.6,9.7882,45.306,0,0,0,120110,59134,353.79,0.65829,NaN,128.86,NaN,0.043126,5727731,6988.3,1.6757,0.80169,0.51741,0.67184,0.009611,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012598,7,248.29,86,0,NaN,28.926,999.62,348.83,0.01,0.0069411
0.24,1.1061,10.292,48.049,10.317,48.166,0.077343,0,0.077343,0,0.71966,3.3599,28.61,-80.6,9.7882,44.578,0,0,0,120071,59095,353.7,0.65815,NaN,128.9,NaN,0.044594,5922697,6957.6,1.8548,0.8017,0.53561,0.67183,0.0096127,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013219,7,248.29,86,0,NaN,28.926,999.61,348.83,0.01,0.0070961
0.25,1.2114,10.772,47.811,10.799,47.928,0.084708,0,0.084708,0,0.75327,3.3433,28.61,-80.6,9.7882,43.902,0,0,0,120032,59056,353.61,0.658,NaN,128.94,NaN,0.046064,6117904,6926.9,2.0419,0.80171,0.55259,0.67182,0.0096144,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013836,7,248.29,86,0,NaN,28.926,999.61,348.83,0.01,0.0072503
0.26,1.3215,11.25,47.573,11.278,47.689,0.092408,0,0.092408,0,0.78671,3.3266,28.61,-80.6,9.7882,42.719,0,0,0,119993,59017,353.53,0.65786,NaN,128.97,NaN,0.047044,6248099,6896.3,2.2448,0.80172,0.58247,0.67182,0.0096155,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001445,7,248.29,86,0,NaN,28.925,999.6,348.83,0.01,0.0074333
0.27,1.4364,11.726,47.334,11.755,47.45,0.10044,0,0.10044,0,0.81999,3.3099,28.61,-80.6,9.7882,41.591,0,0,0,119954,58978,353.44,0.65772,NaN,129.01,NaN,0.048039,6380164,6865.6,2.4558,0.80173,0.61109,0.67181,0.0096167,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015061,7,248.29,86,0,NaN,28.925,999.6,348.83,0.01,0.0076608
0.28,1.556,12.2,47.096,12.23,47.211,0.10881,0,0.10881,0,0.8531,3.2933,28.61,-80.6,9.7882,40.514,0,0,0,119915,58939,353.35,0.65758,NaN,129.05,NaN,0.049046,6513911,6834.9,2.6743,0.80174,0.63843,0.6718,0.009618,0.12031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001567,7,248.29,86,0,NaN,28.924,999.59,348.83,0.01,0.0079595
0.29,1.6804,12.671,46.857,12.702,46.971,0.1175,0,0.1175,0,0.88604,3.2765,28.61,-80.6,9.7882,39.485,0,0,0,119876,58900,353.26,0.65743,NaN,129.08,NaN,0.050065,6649161,6804.2,2.9002,0.80174,0.66448,0.6718,0.0096193,0.12033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016275,7,248.29,86,0,NaN,28.924,999.59,348.83,0.01,0.0083596
0.3,1.8094,13.14,46.618,13.172,46.732,0.12653,0,0.12653,0,0.91882,3.2598,28.61,-80.6,9.7882,38.503,0,0,0,119837,58861,353.17,0.65729,NaN,129.12,NaN,0.051093,6785753,6773.5,3.1332,0.80175,0.68924,0.67179,0.0096206,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016877,7,248.29,86,0,NaN,28.923,999.58,348.83,0.01,0.0086397
0.31,1.9431,13.606,46.378,13.639,46.492,0.13588,0,0.13588,0,0.95142,3.2431,28.61,-80.6,9.7882,37.592,0,0,0,119798,58822,353.09,0.65715,NaN,129.16,NaN,0.052153,6926484,6742.8,3.3725,0.80176,0.71204,0.67178,0.009622,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017476,7,248.29,86,0,NaN,28.923,999.57,348.83,0.01,0.0089969
0.32,2.0815,14.07,46.139,14.104,46.252,0.14555,0,0.14555,0,0.98386,3.2263,28.61,-80.6,9.7882,36.721,0,0,0,119759,58783,353,0.65701,NaN,129.19,NaN,0.05322,7068163,6712.1,3.6183,0.80177,0.73362,0.67178,0.0096234,0.12037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018071,7,248.29,86,0,NaN,28.922,999.57,348.83,0.01,0.0093324
0.33,2.2245,14.531,45.899,14.567,46.011,0.15555,0,0.15555,0,1.0161,3.2096,28.61,-80.6,9.7882,35.89,0,0,0,119720,58745,352.91,0.65686,NaN,129.23,NaN,0.054293,7210666,6681.4,3.8704,0.80178,0.75402,0.67177,0.0096249,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018664,7,248.29,86,0,NaN,28.922,999.56,348.83,0.01,0.0095399
0.34,2.3721,14.991,45.659,15.027,45.771,0.16588,0,0.16588,0,1.0482,3.1928,28.61,-80.6,9.7882,35.095,0,0,0,119681,58706,352.83,0.65672,NaN,129.27,NaN,0.055372,7353878,6650.7,4.1284,0.80179,0.77326,0.67176,0.0096264,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019254,7,248.29,86,0,NaN,28.921,999.55,348.83,0.01,0.0097987
0.35,2.5243,15.447,45.419,15.485,45.53,0.17652,0,0.17652,0,1.0802,3.176,28.61,-80.6,9.7882,34.334,0,0,0,119642,58667,352.74,0.65658,NaN,129.3,NaN,0.056455,7497693,6620,4.3922,0.80179,0.79141,0.67175,0.0096279,0.12041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019841,7,248.29,86,0,NaN,28.921,999.55,348.82,0.01,0.010143
0.36,2.6811,15.902,45.179,15.94,45.289,0.18748,0,0.18748,0,1.112,3.1592,28.61,-80.6,9.7882,33.366,0,0,0,119604,58628,352.65,0.65644,NaN,129.34,NaN,0.057357,7617481,6589.3,4.6635,0.8018,0.81407,0.67175,0.0096293,0.12043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020424,7,248.29,86,0,NaN,28.92,999.54,348.82,0.01,0.010339
0.37,2.8423,16.354,44.938,16.394,45.048,0.19876,0,0.19876,0,1.1436,3.1424,28.61,-80.6,9.7882,32.431,0,0,0,119565,58589,352.57,0.6563,NaN,129.38,NaN,0.05827,7738601,6558.6,4.9391,0.80181,0.83541,0.67174,0.0096306,0.12044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021005,7,248.29,86,0,NaN,28.92,999.53,348.82,0.01,0.010509
0.38,3.0081,16.803,44.698,16.844,44.807,0.21035,0,0.21035,0,1.175,3.1256,28.61,-80.6,9.7882,31.529,0,0,0,119526,58550,352.48,0.65615,NaN,129.41,NaN,0.059191,7860930,6527.9,5.2188,0.80182,0.85545,0.67173,0.009632,0.12046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021582,7,248.29,86,0,NaN,28.919,999.52,348.82,0.01,0.010727
0.39,3.1784,17.25,44.457,17.292,44.565,0.22226,0,0.22226,0,1.2063,3.1087,28.61,-80.6,9.7882,30.659,0,0,0,119487,58511,352.39,0.65601,NaN,129.45,NaN,0.060121,7984355,6497.2,5.502,0.80183,0.87421,0.67172,0.0096334,0.12047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022156,7,248.29,86,0,NaN,28.919,999.52,348.82,0.01,0.010998
0.4,3.3531,17.695,44.216,17.738,44.324,0.23447,0,0.23447,0,1.2373,3.0919,28.61,-80.6,9.7882,29.818,0,0,0,119448,58472,352.31,0.65587,NaN,129.49,NaN,0.061058,8108767,6466.5,5.7885,0.80184,0.89173,0.67172,0.0096348,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022727,7,248.29,86,0,NaN,28.918,999.51,348.82,0.01,0.01118
0.41,3.5323,18.137,43.974,18.181,44.082,0.247,0,0.247,0,1.2683,3.075,28.61,-80.6,9.7882,29.272,0,0,0,119409,58433,352.22,0.65573,NaN,129.52,NaN,0.06219,8259055,6435.8,6.0795,0.80185,0.90277,0.67171,0.0096366,0.1205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023295,7,248.29,86,0,NaN,28.917,999.5,348.82,0.01,0.011338
0.42,3.7159,18.577,43.733,18.622,43.84,0.25984,0,0.25984,0,1.299,3.0581,28.61,-80.6,9.7882,28.748,0,0,0,119370,58394,352.14,0.65558,NaN,129.56,NaN,0.063321,8409256,6405.1,6.3746,0.80186,0.91308,0.6717,0.0096384,0.12052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002386,7,248.29,86,0,NaN,28.917,999.49,348.82,0.01,0.011528
0.43,3.9038,19.015,43.491,19.061,43.597,0.27298,0,0.27298,0,1.3296,3.0412,28.61,-80.6,9.7882,28.246,0,0,0,119331,58355,352.05,0.65544,NaN,129.6,NaN,0.064452,8559321,6374.4,6.6738,0.80187,0.92271,0.67169,0.0096403,0.12054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024422,7,248.29,86,0,NaN,28.916,999.48,348.82,0.01,0.011855
0.44,4.0961,19.45,43.249,19.497,43.355,0.28643,0,0.28643,0,1.36,3.0243,28.61,-80.6,9.7882,27.764,0,0,0,119292,58316,351.97,0.6553,NaN,129.63,NaN,0.06558,8709201,6343.7,6.977,0.80188,0.93171,0.67168,0.0096422,0.12056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024981,7,248.29,86,0,NaN,28.915,999.48,348.82,0.01,0.012174
0.45,4.2928,19.882,43.007,19.931,43.112,0.30018,0,0.30018,0,1.3903,3.0074,28.61,-80.6,9.7882,27.301,0,0,0,119253,58277,351.88,0.65516,NaN,129.67,NaN,0.066708,8858855,6313,7.2839,0.80189,0.9401,0.67167,0.0096441,0.12058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025537,7,248.29,86,0,NaN,28.915,999.47,348.82,0.01,0.012483
0.46,4.4938,20.312,42.884,20.362,42.989,0.31423,0,0.31423,0,1.4204,2.9988,28.61,-80.6,9.7882,26.751,0,0,0,119214,58239,351.8,0.65502,NaN,129.7,NaN,0.067759,8998356,6296.6,7.5923,0.8019,0.94975,0.67166,0.0096459,0.1206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026089,7,248.29,86,0,NaN,28.914,999.46,348.82,0.01,0.012819
0.47,4.699,20.741,42.879,20.792,42.984,0.32859,0,0.32859,0,1.4504,2.9984,28.61,-80.6,9.7882,26.219,0,0,0,119178,58202,351.72,0.65488,NaN,129.74,NaN,0.068812,9138235,6294.4,7.9042,0.80191,0.95873,0.67165,0.0096477,0.12062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002664,7,248.29,86,0,NaN,28.913,999.45,348.82,0.01,0.013116
0.48,4.9086,21.17,42.874,21.222,42.978,0.34324,0,0.34324,0,1.4804,2.998,28.61,-80.6,9.7882,25.703,0,0,0,119144,58168,351.64,0.65476,NaN,129.77,NaN,0.069872,9278858,6292.2,8.2205,0.80192,0.9671,0.67164,0.0096496,0.12063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027191,7,248.29,86,0,NaN,28.912,999.44,348.82,0.01,0.013365
0.49,5.1224,21.599,42.868,21.652,42.972,0.3582,0,0.3582,0,1.5104,2.9976,28.61,-80.6,9.7882,25.202,0,0,0,119110,58134,351.57,0.65463,NaN,129.8,NaN,0.070936,9420188,6290,8.541,0.80193,0.97488,0.67163,0.0096515,0.12065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027742,7,248.29,86,0,NaN,28.912,999.43,348.82,0.01,0.013611
0.5,5.3406,22.028,42.862,22.082,42.966,0.37345,0,0.37345,0,1.5403,2.9972,28.61,-80.6,9.7882,24.717,0,0,0,119075,58100,351.49,0.65451,NaN,129.83,NaN,0.072006,9562192,6287.9,8.8656,0.80195,0.9821,0.67162,0.0096535,0.12067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028293,7,248.29,86,0,NaN,28.911,999.42,348.82,0.01,0.013941
0.51,5.563,22.457,42.856,22.511,42.96,0.389,0,0.389,0,1.5703,2.9968,28.61,-80.6,9.7882,24.353,0,0,0,119041,58066,351.42,0.65438,NaN,129.87,NaN,0.073155,9714631,6285.7,9.1989,0.80196,0.98729,0.67161,0.0096556,0.1207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028843,7,248.29,86,0,NaN,28.91,999.41,348.82,0.01,0.014273
0.52,5.7897,22.885,42.85,22.941,42.954,0.40486,0,0.40486,0,1.6003,2.9963,28.61,-80.6,9.7882,24,0,0,0,119007,58031,351.35,0.65426,NaN,129.9,NaN,0.074306,9867427,6283.5,9.5372,0.80197,0.99214,0.6716,0.0096578,0.12072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029394,7,248.29,86,0,NaN,28.909,999.4,348.82,0.01,0.01447
0.53,6.0207,23.314,42.844,23.371,42.948,0.42101,0,0.42101,0,1.6303,2.9959,28.61,-80.6,9.7882,23.658,0,0,0,118973,57997,351.27,0.65413,NaN,129.93,NaN,0.075459,10020561,6281.3,9.8804,0.80198,0.99666,0.67158,0.00966,0.12074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029944,7,248.29,86,0,NaN,28.908,999.39,348.82,0.01,0.014667
0.54,6.256,23.742,42.837,23.8,42.942,0.43746,0,0.43746,0,1.6602,2.9955,28.61,-80.6,9.7882,23.326,0,0,0,118939,57963,351.2,0.65401,NaN,129.96,NaN,0.076616,10174017,6279.1,10.228,0.802,1.0009,0.67157,0.0096622,0.12076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030495,7,248.29,86,0,NaN,28.908,999.38,348.82,0.01,0.014867
0.55,6.4955,24.171,42.831,24.23,42.936,0.45421,0,0.45421,0,1.6902,2.9951,28.61,-80.6,9.7882,23.005,0,0,0,118905,57929,351.13,0.65388,NaN,129.99,NaN,0.077774,10327779,6276.9,10.581,0.80201,1.0048,0.67156,0.0096645,0.12079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031045,7,248.29,86,0,NaN,28.907,999.37,348.82,0.01,0.015065
0.56,6.7394,24.599,42.825,24.659,42.93,0.47126,0,0.47126,0,1.7202,2.9946,28.61,-80.6,9.7882,22.816,0,0,0,118871,57895,351.05,0.65376,NaN,130.02,NaN,0.07902,10493201,6274.8,10.947,0.80203,1.007,0.67155,0.009667,0.12081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031596,7,248.29,86,0,NaN,28.906,999.36,348.82,0.01,0.015284
0.57,6.9875,25.028,42.819,25.089,42.923,0.48862,0,0.48862,0,1.7501,2.9942,28.61,-80.6,9.7882,22.633,0,0,0,118837,57861,350.98,0.65363,NaN,130.06,NaN,0.080267,10658709,6272.6,11.319,0.80204,1.0091,0.67153,0.0096695,0.12084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032146,7,248.29,86,0,NaN,28.905,999.34,348.82,0.01,0.015513
0.58,7.24,25.456,42.812,25.518,42.917,0.50627,0,0.50627,0,1.7801,2.9937,28.61,-80.6,9.7882,22.456,0,0,0,118803,57827,350.91,0.65351,NaN,130.09,NaN,0.081515,10824296,6270.4,11.696,0.80206,1.0111,0.67152,0.0096721,0.12086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032696,7,248.29,86,0,NaN,28.904,999.33,348.81,0.01,0.015764
0.59,7.4967,25.884,42.806,25.947,42.91,0.52422,0,0.52422,0,1.81,2.9933,28.61,-80.6,9.7882,22.284,0,0,0,118768,57793,350.84,0.65339,NaN,130.12,NaN,0.082763,1.099e7,6268.2,12.08,0.80207,1.013,0.67151,0.0096747,0.12089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033246,7,248.29,86,0,NaN,28.903,999.32,348.81,0.01,0.015982
0.6,7.7576,26.312,42.799,26.377,42.904,0.54247,0,0.54247,0,1.8399,2.9928,28.61,-80.6,9.7882,22.117,0,0,0,118734,57759,350.76,0.65326,NaN,130.15,NaN,0.084012,11155690,6266,12.469,0.80209,1.0148,0.67149,0.0096774,0.12092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033796,7,248.29,86,0,NaN,28.902,999.31,348.81,0.01,0.016179
