time [s],fill pressure [Pa],run mass [kg],fill mass [kg],run pressure [Pa],head loss [Pa],flow rate [kg]
0.0,5059511.399978189,0.01,19.99,5063694.790229972,500000.0,1
0.01,5058894.157500045,0.02,19.979999999999997,5082734.097244888,500000.0,1
0.02,5058276.572944659,0.03,19.969999999999995,5101518.695593475,500000.0,1
0.03,5057658.645835502,0.04,19.959999999999994,5120052.318618883,500000.0,1
0.04,5057040.375694979,0.05,19.949999999999992,5138338.6587208025,500000.0,1
0.05,5056421.762044431,0.060000000000000005,19.93999999999999,5156381.367378881,500000.0,1
0.060000000000000005,5055802.804404104,0.07,19.92999999999999,5174184.05515481,500000.0,1
0.07,5055183.502293187,0.08,19.919999999999987,5191750.291678096,500000.0,1
0.08,5054563.855229775,0.09,19.909999999999986,5209083.60562007,500000.0,1
0.09,5053943.862730889,0.09999999999999999,19.899999999999984,5226187.484660156,500000.0,1
0.09999999999999999,5053323.524312451,0.10999999999999999,19.889999999999983,5243065.375448207,500000.0,1
0.10999999999999999,5052702.839489282,0.11999999999999998,19.87999999999998,5259720.683566218,500000.0,1
0.11999999999999998,5052081.807775137,0.12999999999999998,19.86999999999998,5276156.77349235,500000.0,1
0.12999999999999998,5051460.428682641,0.13999999999999999,19.859999999999978,5292376.968570068,500000.0,1
0.13999999999999999,5050838.701723338,0.15,19.849999999999977,5308384.550984571,500000.0,1
0.15,5050216.626407672,0.16,19.839999999999975,5324182.761748668,500000.0,1
0.16,5049594.202244955,0.17,19.829999999999973,5339774.800699842,500000.0,1
0.17,5048971.428743411,0.18000000000000002,19.819999999999972,5355163.8265100205,500000.0,1
0.18000000000000002,5048348.305410137,0.19000000000000003,19.80999999999997,5370352.956709358,500000.0,1
0.19000000000000003,5047724.831751121,0.20000000000000004,19.79999999999997,5385345.267725013,500000.0,1
0.20000000000000004,5047101.007271231,0.21000000000000005,19.789999999999967,5400143.794935903,500000.0,1
0.21000000000000005,5046476.831474203,0.22000000000000006,19.779999999999966,5414751.532744004,500000.0,1
0.22000000000000006,5045852.30386265,0.23000000000000007,19.769999999999964,5429171.434662739,500000.0,1
0.23000000000000007,5045227.423938059,0.24000000000000007,19.759999999999962,5443406.41342275,500000.0,1
0.24000000000000007,5044602.191200774,0.25000000000000006,19.74999999999996,5457459.341095333,500000.0,1
0.25000000000000006,5043976.605150023,0.26000000000000006,19.73999999999996,5471333.0492335195,500000.0,1
0.26000000000000006,5043350.665283859,0.2700000000000001,19.729999999999958,5485030.329030814,500000.0,1
0.2700000000000001,5042724.371099214,0.2800000000000001,19.719999999999956,5498553.931497434,500000.0,1
0.2800000000000001,5042097.722091868,0.2900000000000001,19.709999999999955,5511906.567653756,500000.0,1
0.2900000000000001,5041470.71775645,0.3000000000000001,19.699999999999953,5525090.908740694,500000.0,1
0.3000000000000001,5040843.3575864425,0.3100000000000001,19.68999999999995,5538109.586446602,500000.0,1
0.3100000000000001,5040215.641074165,0.3200000000000001,19.67999999999995,5550965.193150255,500000.0,1
0.3200000000000001,5039587.567710763,0.3300000000000001,19.66999999999995,5563660.282179306,500000.0,1
0.3300000000000001,5038959.136986248,0.34000000000000014,19.659999999999947,5576197.368083826,500000.0,1
0.34000000000000014,5038330.348389436,0.35000000000000014,19.649999999999945,5588578.926924106,500000.0,1
0.35000000000000014,5037701.201407985,0.36000000000000015,19.639999999999944,5600807.396572334,500000.0,1
0.36000000000000015,5037071.695528374,0.37000000000000016,19.629999999999942,5612885.177027314,500000.0,1
0.37000000000000016,5036441.830235915,0.38000000000000017,19.61999999999994,5624814.630741589,500000.0,1
0.38000000000000017,5035811.60501472,0.3900000000000002,19.60999999999994,5636598.082960347,500000.0,1
0.3900000000000002,5035181.019347731,0.4000000000000002,19.599999999999937,5648237.822071352,500000.0,1
0.4000000000000002,5034550.072716696,0.4100000000000002,19.589999999999936,5659736.099965191,500000.0,1
0.4100000000000002,5033918.764602174,0.4200000000000002,19.579999999999934,5671095.132405207,500000.0,1
0.4200000000000002,5033287.094483527,0.4300000000000002,19.569999999999933,5682317.099406324,500000.0,1
0.4300000000000002,5032655.061838923,0.4400000000000002,19.55999999999993,5693404.145622132,500000.0,1
0.4400000000000002,5032022.666145312,0.45000000000000023,19.54999999999993,5704358.380739522,500000.0,1
0.45000000000000023,5031389.906878446,0.46000000000000024,19.539999999999928,5715181.879880217,500000.0,1
0.46000000000000024,5030756.783512885,0.47000000000000025,19.529999999999927,5725876.6840085,500000.0,1
0.47000000000000025,5030123.2955219485,0.48000000000000026,19.519999999999925,5736444.80034455,500000.0,1
0.48000000000000026,5029489.442377751,0.49000000000000027,19.509999999999923,5746888.20278269,500000.0,1
0.49000000000000027,5028855.223551187,0.5000000000000002,19.499999999999922,5757208.832314002,500000.0,1
0.5000000000000002,5028220.638511936,0.5100000000000002,19.48999999999992,5767408.597452634,500000.0,1
0.5100000000000002,5027585.686728442,0.5200000000000002,19.47999999999992,5777489.37466533,500000.0,1
0.5200000000000002,5026950.3676678995,0.5300000000000002,19.469999999999917,5787453.00880356,500000.0,1
0.5300000000000002,5026314.680796304,0.5400000000000003,19.459999999999916,5797301.313537686,500000.0,1
0.5400000000000003,5025678.625578382,0.5500000000000003,19.449999999999914,5807036.0717927795,500000.0,1
0.5500000000000003,5025042.201477636,0.5600000000000003,19.439999999999912,5816659.03618547,500000.0,1
0.5600000000000003,5024405.407956303,0.5700000000000003,19.42999999999991,5826171.929461434,500000.0,1
0.5700000000000003,5023768.244475395,0.5800000000000003,19.41999999999991,5835576.444933057,500000.0,1
