time,thrust,combustion_chamber.pressure,ox_tank.pressure,combustion_chamber.temperature,ox_tank.temperature,combustion_chamber.fuel_grain.geometry.effective_radius,OF,combustion_chamber.cstar,specific_impulse,fuel_flow,ox_flow,mass_flow,mass_flow_out,combustion_chamber.ideal_gas_constant,propellant_CG,propellant_mass,combustion_chamber.fuel_grain.regression_rate,combustion_chamber.fuel_grain.flux,combustion_chamber.fuel_grain.geometry.port_area,combustion_chamber.fuel_grain.geometry.burn_area,combustion_chamber.fuel_grain.geometry.length_regressed,nozzle.exit_pressure,ox_tank.ox_mass,ox_tank.oxidizer_center_of_mass,fuel_grain.fuel_mass,fuel_grain.total_CG
11.854999999999924,4546.119480882555,2036582.763709163,3120292.864840653,3112.8883168303055,273.0712599464399,0.0781332321881168,9.165439319049279,1390.4594940778309,198.37767211041918,0.22959359472711774,2.10432616051379,2.333919755240908,2.33603340366627,295.2505109457624,2.1557504809397074,10.560446044647351,0.0005922382696479054,109.32061686955187,0.019178801027365158,0.39556308542260543,0.024447002568412896,77660.34344029592,7.267053087702598,1.6870336516157727,3.293392956944754,3.19
11.894999999999923,4530.90197351357,2030966.9008709507,3110249.025089146,3112.949949518407,272.94563606205185,0.07815249406093056,9.157211581723743,1390.5637544485546,198.27000974203716,0.22913400577222467,2.098228571424171,2.3273625771963955,2.3294780950465057,295.28331141457204,2.1540029167473946,10.468797164691043,0.0005908885187556309,108.94560884949163,0.01918825833897337,0.3956731104452436,0.02447064584743342,77464.26730519166,7.182880041282046,1.6800703804810773,3.2859171234089977,3.19
11.934999999999922,4516.1920105200725,2025316.8731035125,3100152.456744072,3113.0102697547704,272.8190523948445,0.07817170695926455,9.148907650615904,1390.6709389367118,198.1876286605348,0.22867127070474297,2.092092338026683,2.320763608731426,2.322880399581299,295.3175966107755,2.1522224173855853,10.377409360320339,0.000589531783310155,108.5690968661533,0.01919769392709585,0.3957828827399281,0.024494234817739623,77266.07619473695,7.0989508984250795,1.6729529103881158,3.2784584618952586,3.19
11.974999999999921,4501.391359865892,2019632.0688869935,3090002.081435742,3113.0715819933207,272.6914889779034,0.07819087067643733,9.140530283557254,1390.779122309024,198.1044609029544,0.22820520566119357,2.085916593211551,2.3141217988727445,2.316239750533931,295.35217926101217,2.1504089146230623,10.286284271593377,0.0005881675947198507,108.19095836841052,0.019207107672456203,0.39589240091901445,0.02451776918114051,77066.61081028586,7.015267204904013,1.6656775304401539,3.271017066689364,3.19
12.01499999999992,4486.49338375992,2013909.9588357653,3079796.7815792165,3113.1333660349055,272.5629251250663,0.07820998499940679,9.132089444360178,1390.8881150312177,198.01998347069917,0.22773573134777297,2.9115842956824998,3.139320027030273,2.309558697496912,295.3870299235018,2.1485623554139393,10.195423575766235,0.0005867957543449335,107.81114616575353,0.019216499452598283,0.396001663557865,0.024541248631495708,76865.75862514853,6.93183054117555,1.6582404090474894,3.2635930345906847,3.19
12.05499999999992,5733.878501848304,2482133.409870239,3065360.7563021164,3219.3862563264115,272.38052908261733,0.07823377704264282,6.50078968974076,1441.9988718202062,253.8146680640453,0.2836239933460599,1.8437799317071681,2.127403925053228,2.3028346858337545,307.7210144231784,2.1460477062642704,10.069716803076682,0.0007305407711016099,149.95921030699725,0.019228192827237492,0.396137702620835,0.024570482068093726,92316.2346481557,6.81536716934825,1.647558676938251,3.254349633728432,3.19
12.094999999999919,4619.294350011287,2068209.2187621132,3056165.7325286726,2953.091299416965,272.26402338656067,0.07825129615419597,13.194522058186418,1330.6021374356358,172.00121756421063,0.208971538296836,2.7572795715907508,2.966251109887587,2.737632251675409,287.2732489056954,2.1443093535828655,9.98915749224155,0.0005381281960398774,94.63141361100499,0.019236805438949324,0.39623790052461827,0.02459201359737331,71137.84544145367,6.7416159720799635,1.6405838661703103,3.2475415201615854,3.19
12.134999999999918,5322.670390567553,2333105.9353778143,3042230.3246594868,3176.174956387757,272.0869637645407,0.07827420645033428,7.866436452656956,1415.622689657856,219.48225012238117,0.2734184326962327,2.1508287257899776,2.42424715848621,2.4720722629099328,299.87990740754793,2.14179936972651,9.86996082376903,0.0007038447356410366,141.78306535678178,0.019248071333517858,0.39636896634504293,0.02462017833379464,90498.53133002535,6.631324789216333,1.6298744617254732,3.2386360345526963,3.19
12.174999999999917,4951.557862238452,2184241.471869688,3031270.1731971893,3059.601429483156,271.94728884179307,0.07829359747835975,10.633281915784606,1367.4736180730392,192.56218203290476,0.2315575276540461,2.462216471267562,2.6937739989216083,2.621210219601742,291.25289558045245,2.139725604889478,9.776388130558226,0.0005959232421866133,110.3466331300285,0.019257609242347096,0.3964799290243256,0.024644023105867743,80097.02201348504,6.545291640184734,1.6212555200522851,3.231096490373492,3.19
12.214999999999916,5133.024726785829,2261437.340468938,3018578.5166678857,3132.649374394568,271.7850845823444,0.07831480837583987,8.92573330703916,1396.0036441842124,205.97179215580283,0.25342606856975614,2.2620135011050624,2.5154395696748186,2.5403678110819774,295.77599934000125,2.1373456287867487,9.669650194269293,0.0006520002715816622,126.35154340477304,0.019268045000032555,0.3966013371499278,0.024670112500081384,86501.23545716643,6.446802981334032,1.6111089474004145,3.222847212935261,3.19
