,Apogee,Drift
0,13930.6053872434,8934.3209320957
1,15301.743956100443,370.6157280397224
2,14845.944722204877,5630.413318582436
3,14017.51553971426,8838.78402602214
4,14474.491511395765,7334.774979278656
5,13120.511528436497,10935.728577550815
6,12914.172174893894,11289.286515507836
7,15059.331712915398,4633.672443082957
8,14589.708894680272,6758.324716832291
9,14335.32375891932,7736.581144902452
10,14621.772528687467,6800.482359792362
11,15335.73472089091,1884.1527237684343
12,13845.295667853074,9284.097672049256
13,12209.170598716022,12401.206070600734
14,15332.118822609866,2093.6401387924366
15,15305.873932792443,2136.6710261964577
16,14825.553844492626,5819.577757970702
17,15275.874432481414,3509.1412120171544
18,15303.143086219274,401.12551777867003
19,14068.862974247542,8669.869629583347
20,13945.931620726598,8961.71398540725
21,13686.824261289199,9716.754836767446
22,14549.606962492293,7079.173577756465
23,15307.592364438467,2767.418515176403
24,15136.756109733735,3286.331839628738
25,13840.81411292492,9332.474189085377
26,15330.143953300862,1381.9056676817872
27,13682.796242235956,9642.940790108243
28,14824.032952237778,5670.798488979689
29,15336.285858331166,1793.5784295484082
30,14407.069316852327,7689.22235506562
31,13765.862939282535,9485.868343612634
32,15323.677362575909,1607.9704804745438
33,13044.594822214363,11033.845323035748
34,14578.42346186853,7041.741331854635
35,15277.812296545102,815.3057518337918
36,15126.342786039822,3821.446786141366
37,15282.197352374205,2769.455038349507
38,14856.08633767417,5433.844175869643
39,14157.509704226793,8397.387883142828
40,15222.881548424493,2687.838515551599
41,13163.998306871777,10902.347259090748
42,15325.711289126857,2078.3453941100443
43,15159.16129526715,3298.788994314033
44,14455.759279501906,7412.45554621234
45,15331.140428987183,1401.990482212099
46,14268.620554263885,7980.733417207965
47,15254.103261770824,2284.5899063229317
48,15297.772127160015,1248.6689923540005
49,15311.00814328534,2029.3610351216164
