time,thrust,OF,ox_tank.pressure,ox_tank.temperature,combustion_chamber.temperature,propellant_mass,propellant_CG,combustion_chamber.fuel_grain.geometry.length_regressed,nozzle.exit_pressure,ox_tank.ox_mass,ox_tank.oxidizer_center_of_mass,fuel_grain.fuel_mass,fuel_grain.total_CG
0.007,240.5563673590232,10.686286484180934,5176932.309105344,294.15846960360483,2735.230086472183,55.744968187916506,1.8446600016636814,6.724180503063682e-06,5875.2992391176385,44.39035867069715,1.462166994509935,11.354609517219357,3.34
0.014,840.9420755480517,10.235458018321832,5175614.159813098,294.14718721237216,2874.1337642430944,55.70930965231989,1.8455974171452745,1.3430748604556215e-05,23558.555700483183,44.3575202342147,1.4631562135598168,11.351789418105195,3.34
0.021,1903.745596733813,10.013031682433356,5174355.009580525,294.1364077375865,2927.2462368180063,55.675194772184696,1.8464904540844698,1.9982760235236782e-05,38899.576875684186,44.326160462492034,1.4641002154173615,11.349034309692662,3.34
0.028,2799.3467366512273,9.816573145422929,5173151.701602538,294.1261044306461,2960.503059909881,55.64254164705215,1.847341584409945,2.638522914224553e-05,51858.68461250808,44.29619956334152,1.4650014928362587,11.346342083710633,3.34
0.035,3532.346240301982,9.642894910915347,5171999.020022323,294.11623287610064,2984.3050422168453,55.61121478785341,1.8481547790937685,3.2649088681505965e-05,62699.46072575281,44.26750664514965,1.4658640637909237,11.343708142703761,3.34
0.042,4160.606154828417,9.491839700147606,5170891.33546963,294.10674507517325,3002.3351243729094,55.5810678205148,1.84893428953312,3.8787108299203176e-05,71696.41980698983,44.23994070337055,1.4666922364570516,11.341127117144248,3.34
0.049,4649.923603780121,9.362661579725566,5169822.995239155,294.09759278895325,3016.3352879475333,55.55195361865111,1.8496843606448137,4.481287168460436e-05,79103.42764633695,44.21336032353448,1.467490318112258,11.338593295116628,3.34
0.056,5043.226337360511,9.25391020777484,5168788.552661554,294.0887295066827,3027.373513590862,55.523730282532284,1.8504090642295856,5.074009422502691e-05,85165.13085182529,44.18762937320563,1.468262445344638,11.336100909326651,3.34
0.063,5360.733835755804,9.163687480024183,5167782.928818614,294.0801118356092,3036.111615759541,55.49626537550075,1.8511121830851882,5.658207071626013e-05,90096.69386987516,44.162621006162745,1.469012465308072,11.333644369338005,3.34
0.07,5625.936475709386,9.089823305197157,5166801.512464865,294.0717003619087,3042.999560466014,55.46943856014824,1.8517971409448544,6.235126858503029e-05,94071.82772523027,44.138220127526736,1.4697438633255104,11.331218432621505,3.34
0.07700000000000001,5839.119060199565,9.030058294802002,5165840.21355986,294.0634601141629,3048.453205422232,55.44314302742555,1.8524669664880336,6.805904749820609e-05,97270.30385530062,44.11432470496669,1.4704597251210163,11.32881832245886,3.34
0.08400000000000002,6009.58779762256,8.982243227612694,5164895.47888655,294.05536070169927,3052.7572059030663,55.417285934008966,1.8531242849114937,7.371549765252125e-05,99831.79063888827,44.090846138067405,1.4711627272162506,11.32643979594156,3.34
0.09100000000000003,6145.475128476103,8.94439029432933,5163964.272880949,294.04737615434163,3056.146499752201,55.39178792613511,1.8537713345718505,7.93293979361763e-05,101878.05194270458,44.06770876457127,1.4718551530565425,11.324079161563837,3.34
0.09800000000000003,6253.472325856773,8.914765565580241,5163044.040497144,294.0394846076495,3058.800525728541,55.366582187894195,1.8544099963166167,8.490824820605457e-05,103505.48723997506,44.04484892224404,1.4725389222776921,11.321733265650156,3.34
0.10500000000000004,6339.079583131066,8.891852437036434,5162132.655169039,294.03166785983365,3060.865683380369,55.34161309428487,1.8550418332513656,9.045836630166209e-05,104795.53798376216,44.02221364272383,1.4732156308095037,11.319399451561036,3.34
0.11200000000000004,6406.771808973398,8.87437802713069,5161228.365809274,294.0239109198805,3062.470218671745,55.31683483412728,1.8556681308139047,9.598500517930053e-05,105815.11000733468,43.99975932368893,1.4738865914525032,11.317075510438354,3.34
0.11900000000000005,6460.169685006053,8.86128463571349,5160329.742415714,294.01620154324496,3063.7003600153603,55.29220999295947,1.8562899375237374,0.0001014924879302795,106618.24422933334,43.97745036852902,1.4745528752660022,11.314759624430454,3.34
0.12600000000000006,6502.180516192959,8.851705625500239,5159435.625132688,294.0085297967307,3064.629562737332,55.267708223704894,1.856908102935902,0.00010698434258410357,107246.74626573203,43.95525791369725,1.4752153501905148,11.312450310007643,3.34
0.13300000000000006,6535.147773104077,8.844934065643562,5158545.078267208,294.00088766549044,3065.328089962039,55.24330504527127,1.8575233117647085,0.00011246342917565813,107738.04047793467,43.93315868074057,1.4758747158194274,11.310146364530699,3.34
0.14000000000000007,6560.940016246552,8.840401055745575,5157657.350443556,293.9932687123611,3065.844667463229,55.21898080068176,1.858136113367965,0.000117932053134376,108120.9723783915,43.911133982110826,1.4765315334718092,11.307846818570935,3.34
0.14700000000000008,6581.044182473943,8.837649410513423,5156771.840318409,293.9856677846371,3066.216611883153,55.19471976011898,1.85874694705294,0.00012339206505580978,108417.92785483635,43.88916886616253,1.4771862520215877,11.30555089395645,3.34
0.15400000000000008,6596.643187579601,8.836312858612592,5155888.067915782,293.9780807688432,3066.469883720209,55.17050937071116,1.8593561631947821,0.0001288449454598249,108646.65989273915,43.867251402579704,1.4778392294634581,11.303257968131458,3.34
0.1610000000000001,6608.67600531008,8.83609941162769,5155005.650979447,293.97050438838545,3066.6326883311444,55.146339637480196,1.859964040631568,0.00013429187555580042,108821.44056569254,43.845372093080535,1.4784907506829883,11.300967544399665,3.34
0.1680000000000001,6617.887907148624,8.836776027048252,5154124.285577437,293.9629360375509,3066.724173606977,55.12220261553098,1.8605708009120598,0.000139733795819851,108953.53715649199,43.82352338823833,1.4791410420152349,11.298679227292654,3.34
0.1750000000000001,6624.869447748565,8.838157644679212,5153243.730416888,293.9553736472394,3066.7592068085505,55.09809199935297,1.8611766198051358,0.00014517145369367742,109051.87676789422,43.801699296840354,1.4797902830073912,11.296392702512613,3.34
0.1820000000000001,6630.088165966065,8.840097398828643,5152363.794142947,293.9478155762194,3066.7495790135667,55.07400279025591,1.8617816366097082,0.00015060544241672646,109123.53082864563,43.77989506965242,1.4804386159345178,11.29410772060349,3.34
0.1890000000000001,6633.913973419756,8.842478844192499,5151484.32512926,293.94026052370145,3066.7046329066548,55.04993102905833,1.8623859616312732,0.0001560362323674561,109174.09654241551,43.75810694528629,1.4810861534418114,11.291824083772033,3.34
0.19600000000000012,6636.63939345244,8.84520973082654,5150605.203305304,293.9327074593428,3066.631765444026,55.025873582120276,1.8629896821618457,0.00016146419622970417,109208.00154611884,43.73633194681488,1.4817329846572014,11.2895416353054,3.34
0.20300000000000012,6638.495660592636,8.848217023469596,5149726.333633352,293.9251555673717,3066.5368295310122,55.001827970584856,1.8635928672490556,0.00016688962912602085,109228.74663571875,43.71456771947974,1.482379180066193,11.28726025110512,3.34
0.21000000000000013,6639.665505752483,8.851442927993443,5148847.6409142045,293.9176042020874,3066.42445414617,54.97779223442094,1.864195571490987,0.0001723127646778869,109239.09875716969,43.69281240148713,1.4830247953907105,11.284979832933809,3.34
0.21700000000000014,6640.293296070933,8.854841728420963,5147969.065658537,293.910052852484,3066.2982989405177,54.95376482437289,1.864797838050377,0.00017773378778774266,109241.24420867962,43.67106452133255,1.4836698746698567,11.282700303040338,3.34
0.22400000000000014,6640.493068417311,8.858377273504162,5147090.560809846,293.9025011141678,3066.1612563972726,54.92974451621267,1.8653997010454744,0.00018315284479383963,109236.91010530699,43.649322916322916,1.4843144527033956,11.280421599889754,3.34
0.2640000000000001,6640.351913683213,8.862020982128987,5146212.089146329,293.89494866708907,3066.0128060092984,54.90573034276765,1.866001187444337,0.0001885700515266166,109226.41117267298,43.62758666799207,1.484958556987591,11.278143674775578,3.34
