,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
79,88.2,1.1,3.5807080220850924,1.2149,1366.5446,1.4353
80,102.9,1.1,4.1900806254581,1.2135,1369.758,1.4352
81,117.6,1.1,4.800979791794243,1.2122,1372.435,1.4351
82,132.3,1.1,5.413921512460613,1.2111,1374.8416000000002,1.4351
83,147.0,1.1,6.028296083657986,1.2101,1377.2340999999997,1.435
84,161.7,1.1,6.643931300846412,1.2092,1378.8384999999998,1.435
85,176.4,1.1,7.261052111632502,1.2083,1380.6968000000002,1.4349
86,191.0,1.1,7.8749896924218685,1.2076,1382.289,1.4349
87,205.7,1.1,8.494383878427485,1.2068,1383.8795999999998,1.4348
88,220.4,1.1,9.11459410280799,1.2062,1385.2045,1.4348
89,235.1,1.1,9.735795925128375,1.2055,1386.5280000000002,1.4348
90,249.8,1.1,10.3578388688477,1.2049,1387.5861999999997,1.4347
91,264.5,1.1,10.980571238791098,1.2043,1388.6432,1.4347
92,279.2,1.1,11.604322527015794,1.2038,1389.699,1.4347
93,293.9,1.1,12.229018432987973,1.2033,1390.49,1.4346
94,308.6,1.1,12.854048650449851,1.2028,1391.28,1.4346
95,323.3,1.1,13.479819879919946,1.2023,1392.069,1.4346
96,338.0,1.1,14.106844741235392,1.2019,1393.386,1.4346
97,352.7,1.1,14.733895897735819,1.2014,1393.9102,1.4345
98,73.5,1.3,2.8754743554634015,1.2328,1391.1354999999999,1.4361
99,88.2,1.3,3.462489694971146,1.2311,1395.4605000000001,1.4361
100,102.9,1.3,4.051659644839942,1.2296,1398.4516,1.436
101,117.6,1.3,4.642716146861429,1.2283,1401.4212000000002,1.4359
102,132.3,1.3,5.2354570637119116,1.2272,1403.85,1.4359
103,147.0,1.3,5.829400801046913,1.2262,1406.5326000000002,1.4358
104,161.7,1.3,6.424825174825174,1.2252,1408.4182999999998,1.4358
105,176.4,1.3,7.021733938380702,1.2244,1410.561,1.4357
106,191.0,1.3,7.615326342649815,1.2236,1411.9056000000003,1.4357
107,205.7,1.3,8.214200143758484,1.2228,1413.51,1.4357
108,220.4,1.3,8.814237152569486,1.2221,1415.1127999999999,1.4356
109,235.1,1.3,9.414921308718112,1.2214,1416.4475,1.4356
110,249.8,1.3,10.016841767583609,1.2208,1417.7808000000002,1.4356
111,264.5,1.3,10.619078207804721,1.2202,1418.8463999999997,1.4355
112,279.2,1.3,11.22231600948591,1.2197,1419.9107999999999,1.4355
