index,mass,CG
0,66.866,1.2608089216962923
1,65.71341560175472,1.2731105516653678
2,64.56083120350944,1.2854353391944617
3,63.408246805264156,1.2977920509905732
4,62.255662407018875,1.3101898761584747
5,61.10307800877359,1.322638483548791
6,59.950493610528326,1.335148084489037
7,58.797909212283045,1.3477295017980777
8,57.645324814037764,1.3603942461124754
9,56.49274041579248,1.373154600707778
10,55.3401560175472,1.3860237161841058
11,54.18757161930192,1.3990157166098898
12,53.03498722105664,1.4121458189884988
13,51.88240282281136,1.4254304682399315
14,50.72981842456609,1.4388874902865794
15,49.57723402632081,1.4525362663145664
16,48.42464962807553,1.4663979318708027
17,47.27206522983025,1.4804956051770792
18,46.119480831584966,1.4948546499295634
19,44.966896433339684,1.5095029789484793
20,43.8143120350944,1.52447140640445
21,42.661727636849136,1.5397940580479672
22,41.509143238603855,1.5555088510027557
23,40.35655884035857,1.5716580573788506
24,39.20397444211329,1.5882889693859001
25,38.05139004386801,1.605454688007417
26,36.89880564562273,1.6232150629387865
27,35.74622124737746,1.6416378188130099
28,34.59363684913218,1.6607999123139592
29,33.4410524508869,1.6807891774073893
30,32.28846805264162,1.7017063327307225
31,31.135883654396338,1.7236674477746392
32,29.98329925615106,1.7468069951688399
33,28.83071485790578,1.7712816585172335
34,27.678130459660498,1.7972751238010207
35,26.52554606141522,1.825004164888383
36,25.372961663169942,1.854726451659624
37,24.22037726492466,1.886750680655852
38,23.06779286667938,1.9214498817268344
39,21.915208468434102,1.9592791370227405
40,20.762624070188824,2.0007995405018217
41,19.610039671943543,2.046711166449424
42,18.457455273698262,2.0978993597745017
43,17.304870875452984,2.15550130363794
44,16.152286477207706,2.2210045918897023
45,14.999702078962425,2.296398808378423
46,13.847117680717147,2.3844211757425917
47,12.694533282471866,2.488988412409003
48,11.541948884226588,2.6235203559917384
49,10.389364485981307,2.8112347598460685
50,9.23678008773603,3.0457959417233313
51,8.084195689490748,3.347241095500771
52,6.93161129124547,3.7489345080371326
