Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.8029320415676161921005137086,0.802932041567616,0.784467423674838,0.802932041567616,0.784467423674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,1313633
0.02,0,0.8029713415676161921005137086,0.802971341567616,0.784506723674838,0.802971341567616,0.784506723674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,2627266
0.03,0,0.8030368415676161921005137086,0.803036841567616,0.784572223674838,0.803036841567616,0.784572223674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,3940899
0.04,0,0.8031287415676161921005137086,0.803128741567616,0.784664123674838,0.803128741567616,0.784664123674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,5254532
0.05,0,0.8032469415676161921005137086,0.803246941567616,0.784782323674838,0.803246941567616,0.784782323674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,6568164
0.06,0,0.8033916415676161921005137086,0.803391641567616,0.784927023674838,0.803391641567616,0.784927023674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,7881798
0.07,0,0.8035629415676161921005137086,0.803562941567616,0.785098323674838,0.803562941567616,0.785098323674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,9195430
0.08,0,0.8037611415676161921005137086,0.803761141567616,0.785296523674838,0.803761141567616,0.785296523674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,10509060
0.09,0,0.8039862415676161921005137086,0.803986241567616,0.785521623674838,0.803986241567616,0.785521623674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,11822700
0.10,0,0.8042384415676161921005137086,0.804238441567616,0.785773823674838,0.804238441567616,0.785773823674838,0,0,0,0,14.652389874569294696805874577,174.07885192010852611437933421,165.00050160768753740540612355,13136330
